,,,,,,RSU,No.,5,,,,,
FY25,Article,5 Student,and,Staff Support-,Proposed,,,,,,,,
From,Date:,3/1/2024,,To Date: 3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,Percent
,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,
,1000.0000.2220.52310.020,,,Retirement,$157.17,,$250.04,,"$1,268.10","$1,597.00","$1,872.00",$275.00,17.22
,1000.0000.2220.52320.020,,,Retirement,$201.15,,$583.73,,$693.98,$587.00,$571.00,($16.00),(2.73)
,1000.0000.2220.54330.020,,Software,,"$1,042.50","$1,060.35",,,"$1,043.00","$1,129.00","$1,320.00",$191.00,16.92
,1000.0000.2220.56100.020,,,Instructional Supplies,$114.10,,$0.00,,$327.47,$350.00,$350.00,$0.00,0.00
,1000.0000.2220.56400.020,,Books,,"$6,447.38","$6,676.73",,,"$6,269.74","$6,825.00","$6,846.00",$21.00,0.31
Program:,,OVERHEAD - 0000,,,"$70,694.54","$62,150.43",,"$78,926.24",,"$74,345.00","$82,016.00","$7,671.00",10.32
Function:,LIBRARY,SERVICES,- 2220,,"$70,694.54","$62,150.43",,"$78,926.24",,"$74,345.00","$82,016.00","$7,671.00",10.32
,1000.0000.2230.51010.020,,Teacher,Salaries,"($3,486.91)",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.52010.020,,Teacher,Benefits,$902.10,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.52310.020,,,Retirement,$141.65,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.55350.020,,Online,Subscription - Instructional,MSS $0.00,,$590.00,,$0.00,$0.00,$0.00,$0.00,0.00
Program:,,OVERHEAD - 0000,,,"($2,443.16)",,$590.00,,$0.00,$0.00,$0.00,$0.00,0.00
Function:,,INSTRUCTION,RELATED,TECHNOLOGY -,"($2,443.16)",,$590.00,,$0.00,$0.00,$0.00,$0.00,0.00
2230,,,,,,,,,,,,,
Cost,Center:,MORSE STREET,- 020,,"$225,365.86","$275,143.57",,"$310,684.81",,"$312,559.00","$338,801.00","$26,242.00",8.40
,1000.0000.2120.51010.030,,,Guidance Salaries,"$30,496.55","$40,908.70",,"$33,431.18",,"$40,321.00","$40,321.00",$0.00,0.00
,1000.0000.2120.52010.030,,Benefits,,$36.94,"$2,492.11",,,"$2,713.50","$2,649.00","$6,587.00","$3,938.00",148.66
,1000.0000.2120.52310.030,,,Retirement,"$88,097.05","$1,442.31",,,"$1,539.62","$1,802.00","$1,953.00",$151.00,8.38
,1000.0000.2120.53000.030,,,Purchased Professional,$0.00,,$0.00,,$300.00,$300.00,$100.00,($200.00),(66.67)
,1000.0000.2120.54330.030,,Software,,$0.00,,$333.33,,$333.33,$334.00,$334.00,$0.00,0.00
,03/13/2024,,,,,,,,,,,45,
,,,,,,RSU,No.,5,,,,,
FY25,Article,5 Student,,and Staff Support-,Proposed,,,,,,,,
From,Date:,3/1/2024,,To Date:,3/31/2024 Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,Percent
,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,
,1000.0000.2120.56100.030,,,Supplies,$13.99,,$338.11,,$228.81,$350.00,$350.00,$0.00,0.00
,1000.0000.2120.56400.030,,,Books,$67.37,,$148.29,,$130.69,$150.00,$150.00,$0.00,0.00
,1000.0000.2120.57300.030,,,Equipment,$0.00,,$0.00,,$46.96,$750.00,$0.00,($750.00),(100.00)
,1000.0000.2120.58100.030,,,Dues & Fees,$0.00,,$0.00,,$0.00,$0.00,$276.00,$276.00,0.00
Program:,OVERHEAD,- 0000,,,"$118,711.90","$45,662.85",,"$38,724.09",,"$46,656.00","$50,071.00","$3,415.00",7.32
Function:,,COUNSELING -,2120,,"$118,711.90","$45,662.85",,"$38,724.09",,"$46,656.00","$50,071.00","$3,415.00",7.32
,1000.0000.2130.51010.030,,,Nurse Salary,"$57,691.95","$55,055.86",,"$59,853.97",,"$60,909.00","$60,453.00",($456.00),(0.75)
,1000.0000.2130.51200.030,,,Nurse Substitute - PES,$0.00,,$420.00,,"$3,290.00",$0.00,$0.00,$0.00,0.00
,1000.0000.2130.52000.030,,,Employee Benefits,$0.00,,$0.00,,$176.21,$0.00,$0.00,$0.00,0.00
,1000.0000.2130.52010.030,,,Nurse Benefits,"$4,185.48","$15,761.51",,"$15,864.10",,"$18,694.00","$24,802.00","$6,108.00",32.67
,1000.0000.2130.52030.030,,,Nurse Sub Benefits - PES,$0.00,,$15.76,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2130.52300.030,,,Retirement - Stipends,$0.00,,$0.00,,$5.38,$0.00,$0.00,$0.00,0.00
,1000.0000.2130.52310.030,,,Retirement,$129.80,"$1,679.37",,,"$8,759.09","$2,723.00","$2,891.00",$168.00,6.17
,1000.0000.2130.53000.030,,,Purchased Professional,$0.00,,$0.00,,$244.00,$300.00,$300.00,$0.00,0.00
,1000.0000.2130.54310.030,,,Repairs & Maintenance,$0.00,,$0.00,,$0.00,$135.00,$135.00,$0.00,0.00
,1000.0000.2130.56000.030,,,Supplies,$311.72,,$229.04,,$287.54,$309.00,$309.00,$0.00,0.00
,1000.0000.2130.58100.030,,,Dues & Fees,$0.00,,$0.00,,$0.00,$0.00,$130.00,$130.00,0.00
Program:,OVERHEAD,- 0000,,,"$62,318.95","$73,161.54",,"$88,480.29",,"$83,070.00","$89,020.00","$5,950.00",7.16
Function:,HEALTH,SERVICES,-,2130,"$62,318.95","$73,161.54",,"$88,480.29",,"$83,070.00","$89,020.00","$5,950.00",7.16
,1000.0000.2213.51500.030,,,Stipends-Acad Leadership and,LCC $0.00,"$5,646.00",,,"$5,496.00","$6,021.00","$5,721.00",($300.00),(4.98)
,03/13/2024,,,,,,,,,,,46,
