,,,,RSU,5,Debt,,,,,,,
,,,,,Approved,,Board,Adopted,,,,,
,,,,,2020-2021,,,2021-2022,,,Difference,,
RSU,Operating,Budget,,,,,,,,,,,
,Total Operating,Budget,,$,,"34,882,700",$,"35,602,864",$,,"7 20,164",,
,Adult Education,Budget,,$,,"1 02,000",$,"1 12,000",$,,"1 0,000",,
Total,RSU,Operating Budget,w/Adult Ed,$,,"34,984,700",$,"35,714,864",$,,"7 30,164",,2.09%
State,and,Non-Shared Debt,,,,,,,,,,,Notes
,Durham PK-8,Non-Shared,Debt,$,,"1 52,268",$,"1 26,381",$,,"(25,887)",,1
,Freeport,Middle School,Refunding,$,,"1 48,043",$,,- $,,"(148,043)",,2
,Durham PK-8,State Debt,Shared,$,1,",126,936",$,"1 ,082,568",$,,"(44,368)",,3
,Freeport High,School Renovation,,$,1,",076,625",$,"1 ,042,375",$,,"(34,250)",,4
,CO Purchase,,,$,,"1 2,094",$,"1 1,531",$,,,(563),5
,Freeport High,School Refunding,,$,,"2 45,100",$,"2 34,100",$,,"(11,000)",,6
Total,State and,Non-Shared,Debt,$,1,",427,247",$,"1 ,208,949",$,,"(264,111)",,
,Notes:,,,Bond,ID,,,,Lender,,,,
,1. Non-Shared,Portion of,Durham School,Durham,- 2009C,,,,,MMBB,,,
,2. Freeport,Middle School,,Relieved,,,,,,,,,
,3. Durham,PK-8 School -,Shared,RSU,#05-2009C,,,,,MMBB,,,
,4. FHS,Renovation - Town,of Freeport,General,Obligation,Bond,,,US,BANK,,,
,5. CO,Purchase - Town of,Freeport,General,Obligation,Bond,,,Town,of,Freeport,,
,6. Freport,High School,Refunding Bond,General,Obligation,Bond,,,Town,of,Freeport,,
,,,,,,,,,,,11,of 11,
