,,,,,,RSU,No.,5,,,,,,
Article,4,Other,Instruction-,Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.9100.1000.51500.040,,Stipends,,"$10,968.00",$0.00,"$10,968.00",,$0.00,$0.00,"$10,968.00",$0.00,"$10,968.00",100.00%
,1000.9100.1000.52000.040,,Stipend Benefits,,$181.00,$0.00,,$181.00,$0.00,$0.00,$181.00,$0.00,$181.00,100.00%
,1000.9100.1000.52300.040,,RETIREMENT,,$478.00,$0.00,,$478.00,$0.00,$0.00,$478.00,$0.00,$478.00,100.00%
,1000.9100.1000.58100.040,,Dues & Fees,,$385.00,$0.00,,$385.00,$0.00,$0.00,$385.00,$0.00,$385.00,100.00%
,,,Program: CO-CURRICULAR,K-8 - 9100,"$12,012.00",$0.00,"$12,012.00",,$0.00,$0.00,"$12,012.00",$0.00,"$12,012.00",100.00%
,,Function:,REGULAR,INSTRUCTION - 1000,"$12,012.00",$0.00,"$12,012.00",,$0.00,$0.00,"$12,012.00",$0.00,"$12,012.00",100.00%
,,,Cost Center: MAST,LANDING - 040,"$12,012.00",$0.00,"$12,012.00",,$0.00,$0.00,"$12,012.00",$0.00,"$12,012.00",100.00%
,1000.9100.1000.51500.050,,Stipends,,"$34,242.00",$0.00,"$34,242.00",,$0.00,$0.00,"$34,242.00",$0.00,"$34,242.00",100.00%
,1000.9100.1000.52000.050,,Stipend Benefits,,$615.00,$0.00,,$615.00,$0.00,$0.00,$615.00,$0.00,$615.00,100.00%
,1000.9100.1000.52300.050,,Retirement,,"$1,627.00",$0.00,"$1,627.00",,$0.00,$0.00,"$1,627.00",$0.00,"$1,627.00",100.00%
,1000.9100.1000.56100.050,,Instructional,Supplies,"$3,900.00",$0.00,"$3,900.00",,$0.00,$0.00,"$3,900.00",$0.00,"$3,900.00",100.00%
,1000.9100.1000.58100.050,,Dues & Fees,,"$2,350.00",$0.00,"$2,350.00",,$0.00,$0.00,"$2,350.00",$0.00,"$2,350.00",100.00%
,,,Program: CO-CURRICULAR,K-8 - 9100,"$42,734.00",$0.00,"$42,734.00",,$0.00,$0.00,"$42,734.00",$0.00,"$42,734.00",100.00%
,1000.9200.1000.51500.050,,Stipends-Coaches,,"$78,289.00",$0.00,"$78,289.00",,$0.00,$0.00,"$78,289.00",$0.00,"$78,289.00",100.00%
,1000.9200.1000.52000.050,,Benefits,,"$1,323.00",$0.00,"$1,323.00",,$0.00,$0.00,"$1,323.00",$0.00,"$1,323.00",100.00%
,1000.9200.1000.52300.050,,Retirement,,"$3,500.00",$0.00,"$3,500.00",,$0.00,$0.00,"$3,500.00",$0.00,"$3,500.00",100.00%
,1000.9200.1000.53000.050,,Game Officials,,"$26,647.00",$0.00,"$26,647.00",,$0.00,$0.00,"$26,647.00",$0.00,"$26,647.00",100.00%
,1000.9200.1000.56100.050,,Program Supplies,,"$28,245.00",$0.00,"$28,245.00",,$0.00,$0.00,"$28,245.00",$0.00,"$28,245.00",100.00%
,1000.9200.1000.58100.050,,Dues and Fees,,"$18,168.00",$0.00,"$18,168.00",,$0.00,$0.00,"$18,168.00",$0.00,"$18,168.00",100.00%
,,Program:,EXTRA-CURRICULAR,K-8 - 9200,"$156,172.00",$0.00,"$156,172.00",,$0.00,$0.00,"$156,172.00",$0.00,"$156,172.00",100.00%
,,Function:,REGULAR,INSTRUCTION - 1000,"$198,906.00",$0.00,"$198,906.00",,$0.00,$0.00,"$198,906.00",$0.00,"$198,906.00",100.00%
,1000.9200.2330.51010.050,,Athletic Director,Salary -,"$34,320.00",$0.00,"$34,320.00",,"$1,339.61","$1,339.61","$32,980.39","$33,490.22",($509.83),-1.49%
,1000.9200.2330.51180.050,,Athletic Office,Support Staff Wages,"$6,862.00",$0.00,"$6,862.00",,$441.19,$441.19,"$6,420.81","$7,441.14","($1,020.33)",-14.87%
,,,-,,,,,,,,,,,
,1000.9200.2330.52010.050,,Athletic Director,Benefits -,"$12,627.00",$0.00,"$12,627.00",,$211.21,$211.21,"$12,415.79",$0.00,"$12,415.79",98.33%
,1000.9200.2330.52080.050,,Athletic Office,Support Staff,"$1,600.00",$0.00,"$1,600.00",,$36.25,$36.25,"$1,563.75",$0.00,"$1,563.75",97.73%
,,,Benefits -,,,,,,,,,,,
,1000.9200.2330.52310.050,,Athletic Director,Retirement -,"$1,534.00",$0.00,"$1,534.00",,$59.57,$59.57,"$1,474.43",$0.00,"$1,474.43",96.12%
,,Program:,EXTRA-CURRICULAR,K-8 - 9200,"$56,943.00",$0.00,"$56,943.00",,"$2,087.83","$2,087.83","$54,855.17","$40,931.36","$13,923.81",24.45%
,Function:,SPECIAL,AREA ADMINISTRATION,- 2330,"$56,943.00",$0.00,"$56,943.00",,"$2,087.83","$2,087.83","$54,855.17","$40,931.36","$13,923.81",24.45%
,Cost,Center:,FREEPORT MIDDLE,SCHOOL - 050,"$255,849.00",$0.00,"$255,849.00",,"$2,087.83","$2,087.83","$253,761.17","$40,931.36","$212,829.81",83.19%
,1000.4300.1000.51210.300,,Summer School,Tutor Wages - FHS,$0.00,$0.00,,$0.00,"$4,644.17","$4,644.17","($4,644.17)",$0.00,"($4,644.17)",0.00%
,1000.4300.1000.52010.300,,Summer School,Teacher Benefits -,$0.00,$0.00,,$0.00,$538.65,$538.65,($538.65),$0.00,($538.65),0.00%
,,,FHS,,,,,,,,,,,
,,,,,,Page,20 of,44,,,,,,
