,,,,,,,,Final FY22 Version,,,,,,,
100,1000-1100-1000-56400-040,,,Books,,"6,775.00","9,481.60","6,775.00","9,628.51","8,436.00","3,598.94","6,097.32","-2,338.68",-27.72%,
101,1000-1100-1000-57300-040,,,Equipment,,"12,831.00","10,099.97","12,766.00","12,170.20","11,960.00","4,411.93","6,385.24","-5,574.76",-46.61%,
102,1000-1100-1000-58100-040,,,Dues and Fees,,0.00,0.00,0.00,0.00,135.00,50.00,210.00,75.00,55.56%,
,,,,,Totals,"1,554,410.00","1,642,451.97","1,583,296.00","1,650,954.60","1,726,348.00","1,640,733.46","1,797,938.45","71,590.45",4.15%,
103,,,Cost Center:,050 - FREEPORT,MIDDLE SCHOOL,,,,,,,,,,
104,1000-1100-1000-51010-050,,,Teacher Salaries,,"1,448,860.00","1,581,220.30","1,597,558.00","1,711,234.97","1,589,974.00","2,002,626.81","1,698,538.39","108,564.39",6.83%,
105,1000-1100-1000-51020-050,,,Ed Tech Salaries,,"59,539.00","102,807.31","64,615.00","85,223.84","72,470.00","133,051.50","124,928.99","52,458.99",72.39%,
106,1000-1100-1000-51230-050,,,Substitute Wages,,"35,000.00","37,527.00","35,000.00","18,906.98","40,000.00","21,701.42","80,000.00","40,000.00",100.00%,
107,1000-1100-1000-51500-050,,,Stipends,,"3,750.00","3,330.56","3,863.00","2,565.00","24,437.00",0.00,"24,437.00",0.00,0.00%,
108,1000-1100-1000-52000-050,,,Stipend Benefits,,188.00,429.35,193.00,"7,926.52",354.00,0.00,354.00,0.00,0.00%,
109,1000-1100-1000-52010-050,,,Teacher Benefits,,"486,345.00","418,577.65","399,250.00","407,266.52","429,297.00","91,827.79","503,147.48","73,850.48",17.20%,
110,1000-1100-1000-52020-050,,,Ed Tech Benefits,,"51,571.00","34,092.88","36,932.00","27,830.97","39,728.00","3,362.74","8,352.50","-31,375.50",-78.98%,
111,1000-1100-1000-52030-050,,,Substitute Benefits,,"1,750.00","2,098.35","1,750.00","1,106.35",780.00,165.12,"1,384.00",604.00,77.44%,
112,1000-1100-1000-52300-050,,,Retirement,,149.00,54.69,161.00,107.53,"1,017.00",0.00,"1,017.00",0.00,0.00%,
113,1000-1100-1000-52310-050,,,Retirement,,"57,520.00","65,259.57","66,458.00","89,119.68","66,143.00","15,547.53","72,324.22","6,181.22",9.35%,
114,1000-1100-1000-52320-050,,,Retirement,,"2,364.00","4,081.34","2,688.00","3,611.55","3,152.00",777.24,"3,442.87",290.87,9.23%,
115,1000-1100-1000-52330-050,,,Retirement,,"1,390.00",656.21,"1,456.00",409.58,"1,664.00",517.69,"3,328.00","1,664.00",100.00%,
116,1000-1100-1000-53400-050,,,Purchased,Professional,"19,801.00","21,183.25","32,396.00","30,545.28","32,297.00","22,086.20","21,768.00","-10,529.00",-32.60%,
