,,,,,,,RSU,No.,5,,,,,,
,Article 7,School,Administration-,,Adopted,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
,Account Number,,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2400.52380.050,,Retirement,,,"$3,748.00",$0.00,,"$3,748.00",$98.56,$98.56,"$3,649.44",$0.00,"$3,649.44",97.37%
,1000.0000.2400.53400.050,,Other,Professional Services,,$240.00,$0.00,,$240.00,$0.00,$0.00,$240.00,$0.00,$240.00,100.00%
,1000.0000.2400.55310.050,,Postage,,,"$2,020.00",$0.00,,"$2,020.00",$0.00,$0.00,"$2,020.00",$0.00,"$2,020.00",100.00%
,1000.0000.2400.55800.050,,Travel,,,$810.00,$0.00,,$810.00,$0.00,$0.00,$810.00,$0.00,$810.00,100.00%
,1000.0000.2400.56000.050,,Supplies,,,$500.00,$0.00,,$500.00,$0.00,$0.00,$500.00,$45.95,$454.05,90.81%
,1000.0000.2400.58100.050,,Dues &,Fees,,$900.00,$0.00,,$900.00,$0.00,$0.00,$900.00,$0.00,$900.00,100.00%
,,,Program:,OVERHEAD,- 0000,"$417,235.00",$0.00,"$417,235.00",,"$7,937.82","$7,937.82","$409,297.18","$219,115.55","$190,181.63",45.58%
,,Function:,SCHOOL,ADMINISTRATION,- 2400,"$417,235.00",$0.00,"$417,235.00",,"$7,937.82","$7,937.82","$409,297.18","$219,115.55","$190,181.63",45.58%
,,Cost Center:,FREEPORT,MIDDLE SCHOOL,- 050,"$417,235.00",$0.00,"$417,235.00",,"$7,937.82","$7,937.82","$409,297.18","$219,115.55","$190,181.63",45.58%
,1000.0000.2400.51040.300,,Admin,Salaries,,"$262,268.00",$0.00,"$262,268.00",,"$15,195.16","$15,195.16","$247,072.84","$379,878.84","($132,806.00)",-50.64%
,1000.0000.2400.51180.300,,Support,Wages,,"$123,286.00",$0.00,"$123,286.00",,"$2,028.80","$2,028.80","$121,257.20","$157,095.18","($35,837.98)",-29.07%
,1000.0000.2400.52040.300,,Admin,Benefits,,"$66,885.00",$0.00,"$66,885.00",,"$2,257.45","$2,257.45","$64,627.55",$576.92,"$64,050.63",95.76%
,1000.0000.2400.52080.300,,Support,Benefits,,"$34,073.00",$0.00,"$34,073.00",,$548.85,$548.85,"$33,524.15",$0.00,"$33,524.15",98.39%
,1000.0000.2400.52340.300,,Retirement,,,"$11,724.00",$0.00,"$11,724.00",,$678.20,$678.20,"$11,045.80",$0.00,"$11,045.80",94.22%
,1000.0000.2400.52380.300,,Retirement,,,"$6,164.00",$0.00,,"$6,164.00",$101.44,$101.44,"$6,062.56",$0.00,"$6,062.56",98.35%
,1000.0000.2400.53400.300,,Admin,Purchased Professional,,$240.00,$0.00,,$240.00,$0.00,$0.00,$240.00,$0.00,$240.00,100.00%
,1000.0000.2400.55310.300,,Postage,,,"$4,804.00",$0.00,,"$4,804.00",$0.00,$0.00,"$4,804.00",$0.00,"$4,804.00",100.00%
,1000.0000.2400.55800.300,,Travel,,,"$1,250.00",$0.00,,"$1,250.00",$0.00,$0.00,"$1,250.00",$0.00,"$1,250.00",100.00%
,1000.0000.2400.56000.300,,Supplies,,,"$1,400.00",$0.00,,"$1,400.00",$0.00,$0.00,"$1,400.00",$0.00,"$1,400.00",100.00%
,1000.0000.2400.56400.300,,Admin,Books,,$780.00,$0.00,,$780.00,$0.00,$0.00,$780.00,$0.00,$780.00,100.00%
,1000.0000.2400.58100.300,,Dues and,Fees,,"$6,736.00",$0.00,,"$6,736.00",$0.00,$0.00,"$6,736.00",$0.00,"$6,736.00",100.00%
,,,Program:,OVERHEAD,- 0000,"$519,610.00",$0.00,"$519,610.00",,"$20,809.90","$20,809.90","$498,800.10","$537,550.94","($38,750.84)",-7.46%
,,Function:,SCHOOL,ADMINISTRATION,- 2400,"$519,610.00",$0.00,"$519,610.00",,"$20,809.90","$20,809.90","$498,800.10","$537,550.94","($38,750.84)",-7.46%
,,Cost Center:,FREEPORT,HIGH SCHOOL,- 300,"$519,610.00",$0.00,"$519,610.00",,"$20,809.90","$20,809.90","$498,800.10","$537,550.94","($38,750.84)",-7.46%
Grand,Total:,,,,,"$2,342,210.00",$0.00,"$2,342,210.00",,"$61,677.20","$61,677.20","$2,280,532.80","$1,569,060.52","$711,472.28",30.38%
,,,,,,,End,of Report,,,,,,,
,,,,,,,,Page 37 of,44,,,,,,
,,,,,,,RSU,No.,5,,,,,,
,Article 8,,Transportation,& Buses-,Adopted,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
,Account Number,,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2700.51020.900,,,Ed Tech Salaries,,$0.00,$0.00,,$0.00,$0.00,$0.00,$0.00,"$6,149.50","($6,149.50)",0.00%
,1000.0000.2700.51040.900,,,Administrator Salary,,"$81,120.00",$0.00,"$81,120.00",,"$5,062.50","$5,062.50","$76,057.50","$78,750.00","($2,692.50)",-3.32%
,1000.0000.2700.51180.900,,,Bus Drivers Salaries,,"$496,536.00",$0.00,"$496,536.00",,"$3,228.86","$3,228.86","$493,307.14","$410,855.63","$82,451.51",16.61%
,1000.0000.2700.51200.900,,,Substitute Salaries,,"$35,000.00",$0.00,"$35,000.00",,$294.84,$294.84,"$34,705.16","$30,880.39","$3,824.77",10.93%
,1000.0000.2700.52000.900,,,Sub Bus Driver,Benefits,$0.00,$0.00,,$0.00,$24.24,$24.24,($24.24),$0.00,($24.24),0.00%
,1000.0000.2700.52040.900,,,Administrator Benefits,,"$22,448.00",$0.00,"$22,448.00",,$498.78,$498.78,"$21,949.22",$0.00,"$21,949.22",97.78%
,1000.0000.2700.52080.900,,,Bus Driver Benefits,,"$267,724.00",$0.00,"$267,724.00",,$725.05,$725.05,"$266,998.95",$0.00,"$266,998.95",99.73%
