,1000.0000.2700.52380.900,,,Retirement,,"$30,779.00",$0.00,"$30,779.00",,$11.80,$11.80,"$30,767.20",$0.00,"$30,767.20",99.96%
,1000.0000.2700.53000.900,,,Purchased Professional,,"$13,955.00",$0.00,"$13,955.00",,$0.00,$0.00,"$13,955.00",$0.00,"$13,955.00",100.00%
,1000.0000.2700.53300.900,,,Employee Training,,"$1,995.00",$0.00,,"$1,995.00",$0.00,$0.00,"$1,995.00",$0.00,"$1,995.00",100.00%
,1000.0000.2700.53400.900,,,Contracted Services,,"$8,858.00",$0.00,,"$8,858.00",$0.00,$0.00,"$8,858.00",$0.00,"$8,858.00",100.00%
,1000.0000.2700.54300.900,,,Purchased Repair/Maint,,"$93,480.00",$0.00,"$93,480.00",,$0.00,$0.00,"$93,480.00",$0.00,"$93,480.00",100.00%
,1000.0000.2700.54450.900,,,Bus Garage Lease,,"$12,875.00",$0.00,"$12,875.00",,$0.00,$0.00,"$12,875.00",$0.00,"$12,875.00",100.00%
,1000.0000.2700.55200.900,,,Insurance,,"$28,978.00",$0.00,"$28,978.00",,"$29,062.00","$29,062.00",($84.00),$0.00,($84.00),-0.29%
,1000.0000.2700.56260.900,,,Fleet Fuel,,"$229,500.00",$0.00,"$229,500.00",,$0.00,$0.00,"$229,500.00",$0.00,"$229,500.00",100.00%
,1000.0000.2700.56700.900,,,Supplies,,"$72,871.00",$0.00,"$72,871.00",,$258.14,$258.14,"$72,612.86",$0.00,"$72,612.86",99.65%
,1000.0000.2700.58310.900,,,Principal-Bus Lease,Purchase,"$139,911.00",$0.00,"$139,911.00",,$0.00,$0.00,"$139,911.00",$0.00,"$139,911.00",100.00%
,,,,Program:,OVERHEAD - 0000,"$1,536,030.00",$0.00,"$1,536,030.00",,"$39,166.21","$39,166.21","$1,496,863.79","$526,635.52","$970,228.27",63.16%
,,,Function:,TRANSPORTATION,- 2700,"$1,536,030.00",$0.00,"$1,536,030.00",,"$39,166.21","$39,166.21","$1,496,863.79","$526,635.52","$970,228.27",63.16%
,1000.0000.2750.51020.900,,,Ed Tech Salaries,,"$9,500.00",$0.00,,"$9,500.00",$0.00,$0.00,"$9,500.00",$0.00,"$9,500.00",100.00%
,1000.0000.2750.51180.900,,,Support Wages,,"$35,620.00",$0.00,"$35,620.00",,"$2,713.54","$2,713.54","$32,906.46","$5,534.55","$27,371.91",76.84%
,1000.0000.2750.52020.900,,,Ed Tech Benefits,,$746.00,$0.00,,$746.00,$0.00,$0.00,$746.00,$0.00,$746.00,100.00%
,1000.0000.2750.52080.900,,,Support Benefits,,"$4,104.00",$0.00,,"$4,104.00",$306.09,$306.09,"$3,797.91",$0.00,"$3,797.91",92.54%
,1000.0000.2750.52320.900,,,Retirement,,$425.00,$0.00,,$425.00,$0.00,$0.00,$425.00,$0.00,$425.00,100.00%
,1000.0000.2750.52380.900,,,Retirement,,$257.00,$0.00,,$257.00,$0.00,$0.00,$257.00,$0.00,$257.00,100.00%
,,,,Program:,OVERHEAD - 0000,"$50,652.00",$0.00,"$50,652.00",,"$3,019.63","$3,019.63","$47,632.37","$5,534.55","$42,097.82",83.11%
,,Function:,,TRANSPORTATION SPECIAL,ED - 2750,"$50,652.00",$0.00,"$50,652.00",,"$3,019.63","$3,019.63","$47,632.37","$5,534.55","$42,097.82",83.11%
,,,Cost,Center: SYSTEM,WIDE - 900,"$1,586,682.00",$0.00,"$1,586,682.00",,"$42,185.84","$42,185.84","$1,544,496.16","$532,170.07","$1,012,326.09",63.80%
Grand,Total:,,,,,"$1,586,682.00",$0.00,"$1,586,682.00",,"$42,185.84","$42,185.84","$1,544,496.16","$532,170.07","$1,012,326.09",63.80%
,,,,,,,End,of Report,,,,,,,
,,,,,,,,Page 38 of,44,,,,,,
,,,,,,,RSU,No.,5,,,,,,
Article,9 Operations,&,Maintenance-,,Adopted,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
1000.0000.2600.51180.010,,Salaries,,,,"$197,358.00",$0.00,"$197,358.00",,"$8,565.82","$8,565.82","$188,792.18","$187,291.78","$1,500.40",0.76%
1000.0000.2600.52080.010,,Custodian,Benefits,,,"$56,719.00",$0.00,"$56,719.00",,"$1,771.08","$1,771.08","$54,947.92",$0.00,"$54,947.92",96.88%
1000.0000.2600.52380.010,,,Retirement,,,"$9,868.00",$0.00,"$9,868.00",,$66.00,$66.00,"$9,802.00",$0.00,"$9,802.00",99.33%
1000.0000.2600.53300.010,,Employee,Training,,,$125.00,$0.00,,$125.00,$0.00,$0.00,$125.00,$0.00,$125.00,100.00%
1000.0000.2600.54300.010,,Purchased,,Repairs/Maint,,"$104,144.00",$0.00,"$104,144.00",,$924.71,$924.71,"$103,219.29","$7,744.81","$95,474.48",91.68%
1000.0000.2600.55200.010,,Insurance,,,,"$43,425.00",$0.00,"$43,425.00",,"$43,509.00","$43,509.00",($84.00),$0.00,($84.00),-0.19%
1000.0000.2600.55320.010,,Telephone,,,,"$9,494.00",$0.00,"$9,494.00",,$0.00,$0.00,"$9,494.00",$0.00,"$9,494.00",100.00%
1000.0000.2600.56000.010,,Supplies,,,,"$28,500.00",$0.00,"$28,500.00",,$0.00,$0.00,"$28,500.00",$303.88,"$28,196.12",98.93%
1000.0000.2600.56011.010,,Materials,for,Repair,,"$9,100.00",$0.00,"$9,100.00",,$0.00,$0.00,"$9,100.00",$0.00,"$9,100.00",100.00%
1000.0000.2600.56013.010,,Major,Maintenance,,,"$16,500.00",$0.00,"$16,500.00",,$0.00,$0.00,"$16,500.00",$0.00,"$16,500.00",100.00%
1000.0000.2600.56220.010,,Electricity,-,Durham,,"$142,000.00",$0.00,"$142,000.00",,$0.00,$0.00,"$142,000.00",$0.00,"$142,000.00",100.00%
1000.0000.2600.56240.010,,Heating,Fuel,,,"$20,000.00",$0.00,"$20,000.00",,$0.00,$0.00,"$20,000.00",$0.00,"$20,000.00",100.00%
,,,Program:,OVERHEAD,- 0000,"$637,233.00",$0.00,"$637,233.00",,"$54,836.61","$54,836.61","$582,396.39","$195,340.47","$387,055.92",60.74%
,Function:,,OPERATION,OF PLANT,- 2600,"$637,233.00",$0.00,"$637,233.00",,"$54,836.61","$54,836.61","$582,396.39","$195,340.47","$387,055.92",60.74%
,Cost,Center:,DURHAM,COMMUNITY,- 010,"$637,233.00",$0.00,"$637,233.00",,"$54,836.61","$54,836.61","$582,396.39","$195,340.47","$387,055.92",60.74%
1000.0000.2600.51180.020,,Custodial,Salaries,,,"$291,862.00",$0.00,"$291,862.00",,"$8,328.04","$8,328.04","$283,533.96","$211,385.57","$72,148.39",24.72%
1000.0000.2600.52080.020,,Custodian,Benefits,,,"$134,821.00",$0.00,"$134,821.00",,"$2,489.33","$2,489.33","$132,331.67",$0.00,"$132,331.67",98.15%
1000.0000.2600.52380.020,,,Retirement,,,"$14,593.00",$0.00,"$14,593.00",,$175.56,$175.56,"$14,417.44",$0.00,"$14,417.44",98.80%
1000.0000.2600.53300.020,,Employee,Training,,,$125.00,$0.00,,$125.00,$0.00,$0.00,$125.00,$0.00,$125.00,100.00%
1000.0000.2600.54100.020,,,Water/Sewage,,,"$20,097.00",$0.00,"$20,097.00",,$181.04,$181.04,"$19,915.96",$0.00,"$19,915.96",99.10%
1000.0000.2600.54300.020,,Purchased,,Repairs/Maint,,"$45,308.00",$0.00,"$45,308.00",,$691.56,$691.56,"$44,616.44","$7,607.16","$37,009.28",81.68%
1000.0000.2600.55200.020,,Insurance,,,,"$19,903.00",$0.00,"$19,903.00",,"$19,987.00","$19,987.00",($84.00),$0.00,($84.00),-0.42%
1000.0000.2600.55320.020,,Telephone,,,,"$4,785.00",$0.00,"$4,785.00",,$0.00,$0.00,"$4,785.00",$0.00,"$4,785.00",100.00%
1000.0000.2600.56000.020,,Supplies,,,,"$24,000.00",$0.00,"$24,000.00",,$0.00,$0.00,"$24,000.00",$0.00,"$24,000.00",100.00%
1000.0000.2600.56011.020,,Materials,for,Repair,,"$4,800.00",$0.00,"$4,800.00",,$0.00,$0.00,"$4,800.00",$0.00,"$4,800.00",100.00%
1000.0000.2600.56013.020,,Major,Maintenance,,,"$5,500.00",$0.00,"$5,500.00",,"$1,450.00","$1,450.00","$4,050.00",$0.00,"$4,050.00",73.64%
1000.0000.2600.56220.020,,Electricity,,,,"$6,000.00",$0.00,"$6,000.00",,$0.00,$0.00,"$6,000.00",$0.00,"$6,000.00",100.00%
1000.0000.2600.56240.020,,Heating,Fuel,,,"$43,500.00",$0.00,"$43,500.00",,$0.00,$0.00,"$43,500.00",$0.00,"$43,500.00",100.00%
,,,Program:,OVERHEAD,- 0000,"$615,294.00",$0.00,"$615,294.00",,"$33,302.53","$33,302.53","$581,991.47","$218,992.73","$362,998.74",59.00%
,Function:,,OPERATION,OF PLANT,- 2600,"$615,294.00",$0.00,"$615,294.00",,"$33,302.53","$33,302.53","$581,991.47","$218,992.73","$362,998.74",59.00%
,,Cost Center:,MORSE,STREET,- 020,"$615,294.00",$0.00,"$615,294.00",,"$33,302.53","$33,302.53","$581,991.47","$218,992.73","$362,998.74",59.00%
1000.0000.2600.51180.030,,Custodial,Salaries,,,"$95,724.00",$0.00,"$95,724.00",,"$3,747.76","$3,747.76","$91,976.24","$90,794.72","$1,181.52",1.23%
,,,,,,,Page,39 of,44,,,,,,
