,,,,,,,RSU No.,5,,,,,,,,
Article,5,Student and,Staff,Support- Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,To,Date: 6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,Adopted,,,
Account,,,,Description,,,,,,,,,,,,
,1000.0000.2130.56000.300,,Supplies,,,"$1,205.06",,"$1,649.88","$1,552.68",,"$1,899.00",,"$1,899.00",,$0.00,0.00
,1000.0000.2130.58100.300,,Dues & Fees,,,$0.00,,$0.00,,$0.00,,$0.00,$130.00,,$130.00,0.00
Program:,OVERHEAD,- 0000,,,"$75,370.07",,"$94,655.45","$93,027.81",,"$102,137.00",,"$110,836.00",,"$8,699.00",,8.52
Function:,HEALTH,SERVICES,- 2130,,"$75,370.07",,"$94,655.45","$93,027.81",,"$102,137.00",,"$110,836.00",,"$8,699.00",,8.52
,1000.0000.2213.51010.300,,9-12,HONORARIUM,,$21.88,,"$4,356.00","$8,000.25",,"$4,000.00",,"$4,600.00",,$600.00,15.00
,1000.0000.2213.51230.300,,Substitute,Salaries,,$0.00,,"$1,875.00",$390.00,,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2213.51500.300,,Stipends-Acad,Leadership and LCC,,"$29,304.53",,"$34,176.00","$32,517.00",,"$24,804.00",,"$22,254.00","($2,550.00)",,(10.28)
,1000.0000.2213.52000.300,,Stipend,Benefits - FHS,,$6.56,,"$1,643.02","$4,765.92",,"$2,872.00",,$591.00,"($2,281.00)",,(79.42)
,1000.0000.2213.52010.300,,9-12,HONORARIUM BENEFITS,,$0.00,,$428.26,"$1,244.77",,$183.00,,$202.00,,$19.00,10.38
,1000.0000.2213.52030.300,,Substitute,Benefit,,$0.00,,$139.24,,$32.22,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2213.52300.300,,Stipend,Retirement - FHS,,$0.00,,"$1,331.41","$1,248.56",,"$2,839.00",,"$1,563.00","($1,276.00)",,(44.95)
,1000.0000.2213.52310.300,,9-12,HONORARIUM RETIREMENT,,$0.00,,$261.32,$306.17,,$152.00,,$206.00,,$54.00,35.53
,1000.0000.2213.52330.300,,Retirement,,,$0.00,,$4.99,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2213.52510.300,,Tuition,Reimbursement-Teacher,,"$11,076.50",,"$26,408.00","$19,634.98",,"$20,000.00",,"$25,000.00","$5,000.00",,25.00
,1000.0000.2213.52520.300,,Tuition,Reimbursement-Support,,$0.00,,$0.00,,$0.00,"$1,300.00",,"$1,500.00",,$200.00,15.38
,1000.0000.2213.53000.300,,Purchased,Professional Services,,"$8,195.03",,"$20,426.29","$16,178.07",,"$39,536.00",,"$42,836.00","$3,300.00",,8.35
,1000.0000.2213.53300.300,,Employee,Training,,$0.00,,$150.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2213.55000.300,,Other Purchased,Services,,$0.00,,$0.00,,$0.00,"$1,000.00",,"$1,000.00",,$0.00,0.00
,1000.0000.2213.55810.300,,Travel,,,$0.00,,$0.00,$729.84,,"$1,000.00",,"$1,000.00",,$0.00,0.00
,1000.0000.2213.56000.300,,Supplies,,,$0.00,,$72.41,,$0.00,,$0.00,$0.00,,$0.00,0.00
Program:,OVERHEAD,- 0000,,,"$48,604.50",,"$91,271.94","$85,047.78",,"$97,686.00",,"$100,752.00",,"$3,066.00",,3.14
Function:,,INSTRUCTIONAL,STAFF TRAINING,- 2213,"$48,604.50",,"$91,271.94","$85,047.78",,"$97,686.00",,"$100,752.00",,"$3,066.00",,3.14
,03/27/2024,,,,,,,,,,,,,,55 of 81,
