,,,,,RSU,No.,5,,,,,
FY25,Article,9,Operations & Maintenance-,Proposed,,,,,,,,
From,Date:,3/1/2024,To Date:,3/31/2024 Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,Percent
,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
,Account,,Description,,,,,,,,,
,1000.0000.2600.52380.020,,Retirement,$0.00,"$1,883.79",,,$910.78,"$5,835.00","$14,593.00","$8,758.00",150.09
,1000.0000.2600.53300.020,,Employee Training,$0.00,,$0.00,,$0.00,$125.00,$125.00,$0.00,0.00
,1000.0000.2600.54100.020,,Water/Sewage,"$19,305.00","$27,400.03",,"$19,511.74",,"$28,000.00","$20,097.00","($7,903.00)",(28.22)
,1000.0000.2600.54300.020,,Purchased Repairs/Maint,"$41,172.79","$24,125.60",,"$39,979.87",,"$47,000.00","$45,308.00","($1,692.00)",(3.60)
,1000.0000.2600.55200.020,,Insurance,"$12,877.54","$15,192.75",,"$15,318.31",,"$22,746.00","$19,903.00","($2,843.00)",(12.50)
,1000.0000.2600.55320.020,,Telephone,"$2,542.91","$2,895.16",,,"$4,645.51","$3,400.00","$4,785.00","$1,385.00",40.74
,1000.0000.2600.55800.020,,Travel,$23.39,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2600.56000.020,,Supplies,"$14,382.35","$17,664.18",,"$28,630.04",,"$20,000.00","$24,000.00","$4,000.00",20.00
,1000.0000.2600.56011.020,,Materials for Repair,"$4,016.92","$2,547.97",,,"$4,715.14","$4,050.00","$4,800.00",$750.00,18.52
,1000.0000.2600.56013.020,,Major Maintenance,"$3,641.41","$11,307.06",,,"$6,120.56","$6,000.00","$5,500.00",($500.00),(8.33)
,1000.0000.2600.56050.020,,Furniture & Equipment - Non,Instructional MSS$0.00,"$4,899.25",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2600.56220.020,,Electricity,"$24,334.59","$32,540.40",,"$21,453.41",,"$18,000.00","$6,000.00","($12,000.00)",(66.67)
,1000.0000.2600.56240.020,,Heating Fuel,"$40,436.17","$38,548.67",,"$45,349.41",,"$41,053.00","$43,500.00","$2,447.00",5.96
,Program:,OVERHEAD - 0000,,"$349,736.25","$357,170.98",,"$372,246.68",,"$489,420.00","$615,294.00","$125,874.00",25.72
,Function:,OPERATION OF,PLANT - 2600,"$349,736.25","$357,170.98",,"$372,246.68",,"$489,420.00","$615,294.00","$125,874.00",25.72
Cost,Center:,MORSE STREET,- 020,"$349,736.25","$357,170.98",,"$372,246.68",,"$489,420.00","$615,294.00","$125,874.00",25.72
,1000.0000.2600.51180.030,,Custodial Salaries,"$80,213.38","$53,087.53",,"$65,224.21",,"$83,977.00","$95,724.00","$11,747.00",13.99
,1000.0000.2600.52080.030,,Custodian Benefits,"$18,011.55","$8,327.25",,"$11,523.07",,"$29,653.00","$26,590.00","($3,063.00)",(10.33)
,1000.0000.2600.52380.030,,Retirement,$0.00,,$382.34,,$0.00,$0.00,"$4,786.00","$4,786.00",0.00
,1000.0000.2600.54300.030,,Purchased Repairs/Maint,"$29,897.92","$32,533.93",,"$36,051.94",,"$37,591.00","$36,879.00",($712.00),(1.89)
,1000.0000.2600.55200.030,,Insurance,"$8,194.96","$9,115.65",,,"$9,190.98","$22,746.00","$12,666.00","($10,080.00)",(44.32)
,03/13/2024,,,,,,,,,,72,
