,,,,,,,RSU,No. 5,,,,,,,
FY27,Article,9,Operations,&,Maintenance-,Proposed,,,,,,,,,
From,Date:,7/1/2026,,To,Date:,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,,,Description,,,,,,,,,
,1000.0000.2600.51180.020,,,,Custodial,Salaries,"$144,126.69","$170,157.14",,"$172,513.31","$257,246.00","$214,884.00","($42,362.00)",,(16.47)
,1000.0000.2600.52080.020,,,,Custodian,Benefits,"$43,174.79","$100,138.60",,"$72,298.74","$122,678.00","$125,451.00",,"$2,773.00",2.26
,1000.0000.2600.52380.020,,,,,Retirement,$910.78,,"$2,640.94","$1,337.71","$12,862.00","$11,604.00","($1,258.00)",,(9.78)
,1000.0000.2600.53000.020,,,,,Purchased Professional,$0.00,,$0.00,$0.00,$118.00,$118.00,,$0.00,0.00
,1000.0000.2600.53300.020,,,,Employee,Training,$0.00,,$0.00,$0.00,$125.00,$125.00,,$0.00,0.00
,1000.0000.2600.54100.020,,,,,Water/Sewage,"$18,957.62","$20,892.23",,"$34,342.68","$19,512.00","$19,512.00",,$0.00,0.00
,1000.0000.2600.54300.020,,,,,Purchased Repairs/Maint,"$39,256.53","$66,441.20",,"$63,790.44","$46,239.00","$54,090.00",,"$7,851.00",16.98
,1000.0000.2600.55200.020,,,,Insurance,,"$15,318.31","$20,520.21",,"$19,987.00","$21,986.00","$21,986.00",,$0.00,0.00
,1000.0000.2600.55320.020,,,,,Telephone,"$4,645.51",,"$5,653.58","$9,384.23","$4,785.00","$9,666.00",,"$4,881.00",102.01
,1000.0000.2600.55800.020,,,,Travel,,$0.00,,$44.22,$99.40,$15.00,$15.00,,$0.00,0.00
,1000.0000.2600.56000.020,,,,Supplies,,"$28,630.04","$24,140.04",,"$12,063.44","$24,750.00","$26,034.00",,"$1,284.00",5.19
,1000.0000.2600.56011.020,,,,Materials,for Repair,"$4,715.14",,$826.60,"$2,922.78","$6,400.00","$6,400.00",,$0.00,0.00
,1000.0000.2600.56013.020,,,,Major,Maintenance,"$6,120.56",,"$2,339.75","$18,891.52","$4,706.00","$29,255.00","$24,549.00",,521.65
,1000.0000.2600.56220.020,,,,Electricity,,"$21,453.41","$21,990.85",,"$36,148.50","$10,000.00","$10,000.00",,$0.00,0.00
,1000.0000.2600.56240.020,,,,Heating,Fuel,"$44,779.81","$27,977.85",,"$39,023.35","$41,000.00","$40,500.00",,($500.00),(1.22)
,Program:,OVERHEAD - 0000,,,,,"$372,089.19","$463,763.21",,"$482,803.10","$572,422.00","$569,640.00","($2,782.00)",,(0.49)
,Function:,OPERATION OF,PLANT -,2600,,,"$372,089.19","$463,763.21",,"$482,803.10","$572,422.00","$569,640.00","($2,782.00)",,(0.49)
Cost,Center:,MORSE STREET,- 020,,,,"$372,089.19","$463,763.21",,"$482,803.10","$572,422.00","$569,640.00","($2,782.00)",,(0.49)
,,,,,,,Page,79 of 89,,,,,,,
