,,,,,RSU,No.,5,,,,,
Article,1,Regular,Instruction- Adopted,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.1100.1000.51500.050,,Stipends,"$2,565.00",,$0.00,,$0.00,"$27,723.00",$0.00,"($27,723.00)",(100.00)
,1000.1100.1000.52000.050,,Stipend Benefits,"$7,926.52",,$0.00,,$0.00,$401.00,$0.00,($401.00),(100.00)
,1000.1100.1000.52010.050,,Teacher Benefits,"$407,266.52","$95,631.68",,"$409,037.84",,"$424,331.00","$472,255.00","$47,924.00",11.29
,1000.1100.1000.52020.050,,Ed Tech Benefits,"$27,830.97","$4,173.23",,"$22,149.71",,"$68,385.00","$61,952.00","($6,433.00)",(9.41)
,1000.1100.1000.52030.050,,Substitute Benefits,"$1,106.35",,$169.56,,"$1,057.49",$780.00,$780.00,$0.00,0.00
,1000.1100.1000.52300.050,,Retirement,$107.53,,$0.00,,$0.00,"$1,153.00",$0.00,"($1,153.00)",(100.00)
,1000.1100.1000.52310.050,,Retirement,"$89,119.68","$15,689.64",,"$66,089.34",,"$71,910.00","$88,495.00","$16,585.00",23.06
,1000.1100.1000.52320.050,,Retirement,"$3,611.55",,$742.02,,"$3,273.30","$4,452.00","$5,361.00",$909.00,20.42
,1000.1100.1000.52330.050,,Retirement,$409.58,,$517.69,,$447.91,"$1,664.00","$1,664.00",$0.00,0.00
,1000.1100.1000.53400.050,,Purchased Professional,"$30,545.28","$25,810.86",,"$21,353.74",,"$21,768.00","$22,168.00",$400.00,1.84
,1000.1100.1000.54300.050,,Copiers Repair/Maint,"$24,214.25","$9,699.54",,"$10,064.41",,"$16,500.00","$16,100.00",($400.00),(2.42)
,1000.1100.1000.54330.050,,Software,"$4,457.43","$6,149.30",,,"$5,904.87","$5,907.61","$5,908.00",$0.39,0.01
,1000.1100.1000.55800.050,,Travel,"$2,121.11",,$889.29,,$900.64,"$3,000.00","$3,000.00",$0.00,0.00
,1000.1100.1000.56000.050,,Supplies,$0.00,,$48.64,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.1100.1000.56100.050,,Instructional Supplies,"$36,679.93","$53,561.70",,"$42,472.07",,"$43,312.61","$43,313.00",$0.39,0.00
,1000.1100.1000.56400.050,,Books,"$7,414.25","$9,695.74",,,"$8,433.80","$9,823.46","$12,000.00","$2,176.54",22.16
,1000.1100.1000.57300.050,,Equipment,"$19,869.71","$27,377.14",,"$18,169.65",,"$21,466.00","$21,466.00",$0.00,0.00
,1000.1100.1000.58100.050,,Dues & Fees,"$2,419.00",,$45.00,,"$2,247.20","$2,750.00","$2,120.00",($630.00),(22.91)
Program:,,ELEMENTARY,PROGRAMS - 1100,"$2,483,030.45","$2,145,573.72",,"$2,395,494.84",,"$2,583,693.68","$2,821,550.00","$237,856.32",9.21
,1000.4200.1000.53000.050,,Purchased Professional,"$25,000.00","$25,000.00",,"$25,000.00",,"$25,000.00","$27,000.00","$2,000.00",8.00
Program:,ALT (AT,RISK) ED,PROGRAMS - 4200,"$25,000.00","$25,000.00",,"$25,000.00",,"$25,000.00","$27,000.00","$2,000.00",8.00
,1000.4900.1000.51501.050,,GaTE Art Advisor Stipend,- FMS $0.00,,$0.00,,"$1,272.00",$0.00,$0.00,$0.00,0.00
,Page 8,of 80,,,,,,,,,,
