,,,,,RSU,No.,5,,,,,,
Article 6,System,Administration-,Adopted,,,,,,,,,,
,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
1000.0000.2310.51500.900,,Stipends,,"$7,150.00",$0.00,"$7,150.00",,$0.00,$0.00,"$7,150.00",$0.00,"$7,150.00",100.00%
1000.0000.2310.52000.900,,Board Stipend,Benefits,$500.00,$0.00,,$500.00,$0.00,$0.00,$500.00,$0.00,$500.00,100.00%
1000.0000.2310.53400.900,,Professional Services,,"$90,751.00",$0.00,"$90,751.00",,$0.00,$0.00,"$90,751.00",$265.00,"$90,486.00",99.71%
1000.0000.2310.55200.900,,Insurance,,"$43,232.00",$0.00,"$43,232.00",,"$43,316.00","$43,316.00",($84.00),$0.00,($84.00),-0.19%
1000.0000.2310.55800.900,,Committee Travel,,$150.00,$0.00,,$150.00,$0.00,$0.00,$150.00,$0.00,$150.00,100.00%
1000.0000.2310.56000.900,,Supplies,,"$1,488.00",$0.00,"$1,488.00",,$0.00,$0.00,"$1,488.00",$0.00,"$1,488.00",100.00%
1000.0000.2310.58100.900,,Dues & Fees,,"$6,860.00",$0.00,"$6,860.00",,$0.00,$0.00,"$6,860.00",$0.00,"$6,860.00",100.00%
,,Program:,OVERHEAD - 0000,"$150,131.00",$0.00,"$150,131.00",,"$43,316.00","$43,316.00","$106,815.00",$265.00,"$106,550.00",70.97%
,Function:,BOARD OF,DIRECTORS - 2310,"$150,131.00",$0.00,"$150,131.00",,"$43,316.00","$43,316.00","$106,815.00",$265.00,"$106,550.00",70.97%
1000.0000.2314.53100.900,,Election Costs,,"$10,955.00",$0.00,"$10,955.00",,$0.00,$0.00,"$10,955.00",$0.00,"$10,955.00",100.00%
,,Program:,OVERHEAD - 0000,"$10,955.00",$0.00,"$10,955.00",,$0.00,$0.00,"$10,955.00",$0.00,"$10,955.00",100.00%
,,Function: ELECTION,COSTS - 2314,"$10,955.00",$0.00,"$10,955.00",,$0.00,$0.00,"$10,955.00",$0.00,"$10,955.00",100.00%
1000.0000.2320.51040.900,,Superintendent's,Salary,"$228,051.00",$0.00,"$228,051.00",,"$8,855.54","$8,855.54","$219,195.46","$221,388.46","($2,193.00)",-0.96%
1000.0000.2320.51180.900,,Support Wages,,"$81,561.00",$0.00,"$81,561.00",,"$3,167.12","$3,167.12","$78,393.88","$79,178.10",($784.22),-0.96%
1000.0000.2320.52040.900,,Superintendent,Benefits,"$51,689.00",$0.00,"$51,689.00",,"$1,566.51","$1,566.51","$50,122.49","$2,596.15","$47,526.34",91.95%
1000.0000.2320.52080.900,,Support Benefits,,"$36,754.00",$0.00,"$36,754.00",,"$1,045.88","$1,045.88","$35,708.12",$0.00,"$35,708.12",97.15%
1000.0000.2320.52340.900,,Retirement,,"$10,194.00",$0.00,"$10,194.00",,$835.46,$835.46,"$9,358.54",$0.00,"$9,358.54",91.80%
1000.0000.2320.52380.900,,Retirement,,$0.00,$0.00,,$0.00,$316.71,$316.71,($316.71),$0.00,($316.71),0.00%
1000.0000.2320.53300.900,,Employee Training,& Development,"$3,520.00",$0.00,"$3,520.00",,$0.00,$0.00,"$3,520.00",$0.00,"$3,520.00",100.00%
1000.0000.2320.53400.900,,Professional Services,,"$71,695.00",$0.00,"$71,695.00",,"$27,018.00","$27,018.00","$44,677.00",$0.00,"$44,677.00",62.32%
1000.0000.2320.54330.900,,Software Repairs,& Maintenance,"$10,000.00",$0.00,"$10,000.00",,$0.00,$0.00,"$10,000.00",$0.00,"$10,000.00",100.00%
1000.0000.2320.55310.900,,Postage,,"$7,200.00",$0.00,"$7,200.00",,$0.00,$0.00,"$7,200.00",$0.00,"$7,200.00",100.00%
1000.0000.2320.55400.900,,Advertising,,"$1,500.00",$0.00,"$1,500.00",,$0.00,$0.00,"$1,500.00",$0.00,"$1,500.00",100.00%
1000.0000.2320.55800.900,,Travel,,"$2,600.00",$0.00,"$2,600.00",,$0.00,$0.00,"$2,600.00",$0.00,"$2,600.00",100.00%
1000.0000.2320.56000.900,,Supplies,,"$15,400.00",$0.00,"$15,400.00",,$0.00,$0.00,"$15,400.00",$0.00,"$15,400.00",100.00%
1000.0000.2320.56400.900,,Books,,$100.00,$0.00,,$100.00,$0.00,$0.00,$100.00,$0.00,$100.00,100.00%
1000.0000.2320.58100.900,,Dues and Fees,,"$7,118.00",$0.00,"$7,118.00",,$0.00,$0.00,"$7,118.00",$0.00,"$7,118.00",100.00%
1000.0000.2320.59000.900,,Aspirations /,Miscellaneous,"$8,600.00",$0.00,"$8,600.00",,$0.00,$0.00,"$8,600.00",$0.00,"$8,600.00",100.00%
,,Program:,OVERHEAD - 0000,"$535,982.00",$0.00,"$535,982.00",,"$42,805.22","$42,805.22","$493,176.78","$303,162.71","$190,014.07",35.45%
,Function:,EXECUTIVE ADMINISTRATION,- 2320,"$535,982.00",$0.00,"$535,982.00",,"$42,805.22","$42,805.22","$493,176.78","$303,162.71","$190,014.07",35.45%
1000.0000.2500.51040.900,,Administrator Salary,,"$129,055.00",$0.00,"$129,055.00",,"$5,535.58","$5,535.58","$123,519.42","$138,389.42","($14,870.00)",-11.52%
1000.0000.2500.51180.900,,Salaries,,"$203,665.00",$0.00,"$203,665.00",,"$7,666.62","$7,666.62","$195,998.38","$197,111.38","($1,113.00)",-0.55%
,,,,,Page,33 of,44,,,,,,
