,,,,,,,RSU,No.,5,,,,,
FY25,Article,5 Student,,and Staff,Support-,Proposed,,,,,,,,
From,Date:,3/1/2024,,To,Date: 3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,,Percent
,,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
,1000.0000.2130.52000.020,,,Employee,Benefits,$0.00,,$0.00,,$86.42,$0.00,$0.00,$0.00,0.00
,1000.0000.2130.52010.020,,,Nurse Benefits,,"$2,763.51","$3,459.61",,,"$4,640.37","$5,332.00","$13,138.00","$7,806.00",146.40
,1000.0000.2130.52030.020,,,Nurse Sub,Benefits - MSS,$0.00,,$36.96,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2130.52310.020,,,Retirement,,$652.06,"$2,834.65",,,"$2,949.69","$3,353.00","$3,897.00",$544.00,16.22
,1000.0000.2130.53000.020,,,Purchased,Professional,$0.00,,$0.00,,$323.00,$300.00,$300.00,$0.00,0.00
,1000.0000.2130.54310.020,,,Repairs &,Maintenance,$65.00,,$70.00,,$70.00,$135.00,$135.00,$0.00,0.00
,1000.0000.2130.56000.020,,,Supplies,,$990.01,,$583.45,,$802.06,$975.00,$975.00,$0.00,0.00
,1000.0000.2130.58100.020,,Dues,& Fees,,$0.00,,$0.00,,$0.00,$0.00,$130.00,$130.00,0.00
Program:,OVERHEAD,- 0000,,,,"$63,068.35","$78,973.29",,"$86,749.92",,"$92,265.00","$99,062.00","$6,797.00",7.37
Function:,HEALTH,SERVICES,- 2130,,,"$63,068.35","$78,973.29",,"$86,749.92",,"$92,265.00","$99,062.00","$6,797.00",7.37
,1000.0000.2213.51500.020,,,Stipends-Acad,Leadership and LCC,$0.00,"$17,182.50",,"$22,995.00",,"$13,872.00","$15,030.00","$1,158.00",8.35
,1000.0000.2213.52000.020,,,Stipend Benefits,- MSS,$0.00,,$318.99,,"$3,261.47",$0.00,$236.00,$236.00,0.00
,1000.0000.2213.52300.020,,,Stipend Retirement,- MSS,$0.00,,$877.85,,$960.61,$0.00,$623.00,$623.00,0.00
,1000.0000.2213.53300.020,,,Employee,Training,$0.00,,$129.00,,$0.00,$0.00,$0.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,,,$0.00,"$18,508.34",,"$27,217.08",,"$13,872.00","$15,889.00","$2,017.00",14.54
Function:,,INSTRUCTIONAL,STAFF,TRAINING,- 2213,$0.00,"$18,508.34",,"$27,217.08",,"$13,872.00","$15,889.00","$2,017.00",14.54
,1000.0000.2220.51010.020,,,Librarian Salary,,"$41,215.07","$30,083.52",,"$32,097.71",,"$35,726.00","$38,654.00","$2,928.00",8.20
,1000.0000.2220.51020.020,,Ed,Tech Salaries,,"$14,094.43","$15,204.75",,"$18,031.73",,"$12,275.00","$12,776.00",$501.00,4.08
,1000.0000.2220.52010.020,,,Librarian Benefits,,"$2,337.32","$2,400.91",,"$13,507.54",,"$8,525.00","$15,198.00","$6,673.00",78.28
,1000.0000.2220.52020.020,,,Library Ed Tech,Benefit,"$5,085.42","$5,890.40",,,"$5,686.97","$7,331.00","$4,429.00","($2,902.00)",(39.59)
,03/13/2024,,,,,,,,,,,,44,
