,,,,,,,RSU No.,5,,,,,,,,
,Article 5,Student and,Staff,Support- Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,To Date: 6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,Adopted,,,
,Account,,,Description,,,,,,,,,,,,
,Function:,INSTRUCTION,RELATED,TECHNOLOGY -,"$58,303.18",,"$33,695.32",$932.14,,,$0.00,,$0.00,$0.00,,0.00
2230,,,,,,,,,,,,,,,,
,1000.0000.2290.51060.300,,,Outreach Coordinator Salary,,$0.00,,"$61,435.80","$60,612.00",,"$60,612.00",,"$65,242.00","$4,630.00",,7.64
,1000.0000.2290.52060.300,,,Outreach Coordinator Benefits,,$0.00,,"$29,301.29","$21,295.73",,"$30,095.00",,"$34,692.00","$4,597.00",,15.27
,1000.0000.2290.52360.300,,,Retirement other professionals,,$0.00,,$0.00,"$3,512.84",,,$0.00,$0.00,,$0.00,0.00
,Program: OVERHEAD,- 0000,,,$0.00,,"$90,737.09","$85,420.57",,"$90,707.00",,"$99,934.00",,"$9,227.00",,10.17
,Function: OTH,SUPPORT,SVCS -,STAFF - 2290,$0.00,,"$90,737.09","$85,420.57",,"$90,707.00",,"$99,934.00",,"$9,227.00",,10.17
Cost,Center:,FREEPORT,HIGH,SCHOOL - 300,"$635,710.75","$834,075.20",,"$809,269.64",,"$956,149.00",,"$1,068,988.00",,"$112,839.00",,11.80
,1000.0000.2130.51500.900,,,Doctor-Consulting Physician-Stipend,,$0.00,,$0.00,,$0.00,"$1,500.00",,"$1,500.00",,$0.00,0.00
,1000.0000.2130.52000.900,,Doctor,- Consulting Physician -,Ben,$0.00,,$0.00,,$0.00,,$27.00,$0.00,,($27.00),(100.00)
,1000.0000.2130.53000.900,,,Purchased Professional-District,Wide,$0.00,,$0.00,,$0.00,"$1,000.00",,"$1,000.00",,$0.00,0.00
,1000.0000.2130.56000.900,,,Supplies - District Wide,,$0.00,,$0.00,,$0.00,"$1,200.00",,"$2,565.00","$1,365.00",,113.75
,1000.0000.2130.58100.900,,Dues,& Fees,,$0.00,,$0.00,,$0.00,,$0.00,$130.00,,$130.00,0.00
,Program: OVERHEAD,- 0000,,,$0.00,,$0.00,,$0.00,"$3,727.00",,,"$5,195.00","$1,468.00",,39.39
,Function: HEALTH,SERVICES,- 2130,,$0.00,,$0.00,,$0.00,"$3,727.00",,,"$5,195.00","$1,468.00",,39.39
,1000.0000.2210.51040.900,,,Curriculum Director Salary,,"$77,949.57",,"$77,331.06","$79,651.20",,"$79,651.00",,"$87,360.00","$7,709.00",,9.68
,1000.0000.2210.52040.900,,,Curriculum Director Benefits,,"$11,635.05",,"$12,416.52","$12,691.36",,"$19,079.00",,"$18,492.00",($587.00),,(3.08)
,1000.0000.2210.52340.900,,,Retirement,,"$1,196.60",,"$2,969.47","$3,058.64",,"$3,703.00",,"$3,905.00",,$202.00,5.46
,03/27/2024,,,,,,,,,,,,,,57 of 81,
,,,,,,,RSU No.,5,,,,,,,,
Article,5,Student and,Staff,Support- Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,To Date: 6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,Adopted,,,
Account,,,,Description,,,,,,,,,,,,
,1000.0000.2210.53000.900,,Purchased,Professional,,$150.00,,"$31,506.34",,$62.40,"$10,000.00",,"$5,000.00","($5,000.00)",,(50.00)
,1000.0000.2210.55810.900,,Travel,,,$0.00,,$0.00,,$0.00,$700.00,,$700.00,,$0.00,0.00
,1000.0000.2210.56400.900,,Curriculum,Materials,,"$25,445.12",,"$12,851.94","$50,000.00",,"$50,000.00",,"$53,900.00","$3,900.00",,7.80
,1000.0000.2210.58100.900,,Dues,& Fees,,$524.00,,$524.00,"$1,784.00",,$239.00,,$239.00,,$0.00,0.00
Program:,OVERHEAD,- 0000,,,"$116,900.34","$137,599.33",,"$147,247.60",,"$163,372.00",,"$169,596.00",,"$6,224.00",,3.81
Function:,,IMPROVEMENT,OF,INSTRUCTION - 2210,"$116,900.34","$137,599.33",,"$147,247.60",,"$163,372.00",,"$169,596.00",,"$6,224.00",,3.81
,1000.0000.2230.51040.900,,,Technology Director Salary,,"$124,325.64",,"$93,155.46","$101,799.50",,"$100,457.00",,"$116,480.00","$16,023.00",,15.95
,1000.0000.2230.51180.900,,Support,Wages,,"$222,625.57",,"$274,297.56","$285,350.48",,"$291,790.00",,"$347,797.00","$56,007.00",,19.19
,1000.0000.2230.52040.900,,Benefits,,,"$4,259.03",,"$21,746.93","$20,783.11",,"$30,301.00",,"$40,169.00","$9,868.00",,32.57
,1000.0000.2230.52080.900,,Benefits,,,"$56,048.18",,"$94,418.50","$90,020.45",,"$104,192.00",,"$114,563.00","$10,371.00",,9.95
,1000.0000.2230.52340.900,,Retirement,,,$0.00,,"$11,919.47","$10,254.34",,"$10,554.00",,"$11,532.00",,$978.00,9.27
,1000.0000.2230.52380.900,,Retirement,,,$0.00,,"$6,848.90","$8,009.90",,"$7,395.00",,"$19,792.00","$12,397.00",,167.64
,1000.0000.2230.53000.900,,Purchased,Professional,,"$1,949.00",,"$4,166.00","$4,799.64",,"$3,572.00",,"$6,067.00","$2,495.00",,69.85
,1000.0000.2230.54320.900,,Tech,Repairs/Maintenance,,"$5,230.58",,$63.60,,$0.00,"$5,500.00",,"$6,000.00",,$500.00,9.09
,1000.0000.2230.54330.900,,Software,,,"$1,168.54",,$849.95,$553.05,,$500.00,,$0.00,($500.00),,(100.00)
,1000.0000.2230.54432.900,,,SOFTWARE LICENCE/RENTAL,,"$2,640.00",,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2230.55000.900,,Other,Purchased Services,,"$23,787.93",,"$39,954.58","$28,619.28",,"$39,726.00",,"$94,860.00","$55,134.00",,138.79
,1000.0000.2230.55200.900,,Insurance,(P&C),,$0.00,,$0.00,"$15,658.10",,"$26,874.00",,"$16,500.00","($10,374.00)",,(38.60)
,1000.0000.2230.55800.900,,Travel,,,$0.00,,$41.44,"$1,370.43",,"$5,000.00",,"$4,000.00","($1,000.00)",,(20.00)
,1000.0000.2230.56500.900,,Computer,Materials,,"$4,026.04",,"$11,878.92","$9,487.91",,"$10,946.00",,"$7,560.00","($3,386.00)",,(30.93)
,1000.0000.2230.57340.900,,,EQUIPMENT,,"$57,736.36",,"$273,694.27","$154,466.69",,"$243,554.00",,"$374,684.00","$131,130.00",,53.84
,1000.0000.2230.58100.900,,Dues,and Fees,,$170.00,,$150.00,$120.00,,$150.00,,$270.00,,$120.00,80.00
Program:,OVERHEAD,- 0000,,,"$503,966.87","$833,185.58",,"$731,292.88",,"$880,511.00",,"$1,160,274.00",,"$279,763.00",,31.77
