,,,,,RSU5,,,,
,,,,2021-2022,BOARD ADOPTED,BUDGET,,,
,,,,,,Assessed Board,Adopted,,
,,,,,,2020-2021,2021-2022,,
,Article #,,,Description,,Budget,Budget,Difference,%
Article,1,REGULAR,,INSTRUCTION,,"15,107,880.00","15,714,380.46","606,500.46",4.01%
Article,2,SPECIAL,EDUCATION,,,"4,688,560.00","4,781,322.85","92,762.85",1.98%
Article,3,CAREER,AND,TECHNICAL,EDUCATION,"101,706.00","142,979.00","41,273.00",40.58%
Article,4,OTHER,INSTRUCTION,(Co-Curricular,& Athletics),"858,926.00","902,450.58","43,524.58",5.07%
Article,5,STUDENT,AND,STAFF SUPPORT,,"3,160,872.00","3,458,441.14","297,569.14",9.41%
Article,6,SYSTEM,,ADMINISTRATION,,"1,013,211.00","1,067,818.68","54,607.68",5.39%
Article,7,SCHOOL,,ADMINISTRATION,,"1,727,711.00","1,767,262.80","39,551.80",2.29%
Article,8,,TRANSPORTATION,AND BUSES,,"1,473,419.00","1,187,344.61","-286,074.39",-19.42%
Article,9,,FACILITIES,MAINTENANCE,,"5,028,523.00","5,077,269.55","48,746.55",0.97%
Article,10,DEBT,SERVICE,AND OTHER,COMMITMENTS,"1,427,247.00","1,208,949.22","-218,297.78",-15.30%
Article,11,ALL,OTHER,EXPENDITURES,"(Nutrition, Crossing Guards)","294,645.00","294,645.00",0.00,0.00%
TOTAL,ARTICLES,1-11 BUDGET,,,,"34,882,700.00","35,602,863.89","720,163.89",2.06%
ADULT,EDUCATION,,,,,"102,000.00","112,000.00","10,000.00",9.80%
TOTAL,OPERATING,BUDGET,,,,"34,984,700.00","35,714,863.89","730,163.89",2.09%
,,,,,,,4,of 11,
