,,,,,RSU,No.,5,,,,,
Article,2,Special,Education- Adopted,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.2800.2160.55800.020,,Travel,$0.00,,$0.00,,$0.00,$125.00,$0.00,($125.00),(100.00)
Program:,OTHER,SPECIAL,PROGRAMS - 2800,"$38,291.88","$34,048.66",,"$40,731.34",,"$50,652.00","$85,957.00","$35,305.00",69.70
Function:,OT -,2160,,"$38,291.88","$34,048.66",,"$40,731.34",,"$50,652.00","$85,957.00","$35,305.00",69.70
Cost,Center:,MORSE STREET,- 020,"$832,211.05","$585,577.75",,"$450,256.85",,"$557,044.00","$734,530.00","$177,486.00",31.86
,1000.2200.1000.51010.030,,Teacher Salaries,"$92,909.86","$45,743.71",,"$37,121.30",,"$44,563.00","$60,944.00","$16,381.00",36.76
,1000.2200.1000.51020.030,,Ed Tech Salaries,"$21,644.17","$25,733.72",,"$24,195.47",,"$23,820.00",$0.00,"($23,820.00)",(100.00)
,1000.2200.1000.51210.030,,Tutor Wages,$0.00,"$2,381.85",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2200.1000.52010.030,,Teacher Benefits,"$28,672.35","$4,683.27",,,"$7,693.61","$9,431.00","$14,165.00","$4,734.00",50.20
,1000.2200.1000.52020.030,,Ed Tech Benefits,$634.97,,$45.38,,"$7,956.55","$4,960.00",$0.00,"($4,960.00)",(100.00)
,1000.2200.1000.52310.030,,Retirement,"$3,849.24",,$784.70,,"$1,425.35","$2,005.00","$2,870.00",$865.00,43.14
,1000.2200.1000.52320.030,,Retirement,$937.64,,$290.49,,$986.71,$991.00,$0.00,($991.00),(100.00)
Program:,,RESOURCE,CLASSROOM PLACEMENT - 2200,"$148,648.23","$79,663.12",,"$79,378.99",,"$85,770.00","$77,979.00","($7,791.00)",(9.08)
,1000.2300.1000.51020.030,,Ed Tech Salaries,"$23,995.25",,$523.63,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2300.1000.52020.030,,Ed Tech Benefits,"$9,066.46",,$4.57,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2300.1000.52320.030,,Retirement,$998.23,,$7.19,,$0.00,$0.00,$0.00,$0.00,0.00
Program:,SELF,CONTAINED,CLASS PLACEMENT - 2300,"$34,059.94",,$535.39,,$0.00,$0.00,$0.00,$0.00,0.00
Function:,REGULAR,INSTRUCTION,- 1000,"$182,708.17","$80,198.51",,"$79,378.99",,"$85,770.00","$77,979.00","($7,791.00)",(9.08)
,1000.2800.2110.51010.030,,Social Worker Salary,"$30,603.82","$25,867.75",,"$32,029.23",,"$32,613.00","$35,594.00","$2,981.00",9.14
,Page 18,of 80,,,,,,,,,,
