,,,,,,,,RSU,No.,5,,,,,,
,Article 6,System,Administration-,,Adopted,,,,,,,,,,,
,,,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
,Account Number,,,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2500.52040.900,,Admin,Benefits,,,"$47,153.00",$0.00,"$47,153.00",,"$1,373.68","$1,373.68","$45,779.32",$0.00,"$45,779.32",97.09%
,1000.0000.2500.52080.900,,Benefits,,,,"$42,897.00",$0.00,"$42,897.00",,"$1,378.32","$1,378.32","$41,518.68",$0.00,"$41,518.68",96.79%
,1000.0000.2500.52340.900,,,Retirement,,,$0.00,$0.00,,$0.00,$275.63,$275.63,($275.63),$0.00,($275.63),0.00%
,1000.0000.2500.52380.900,,,Retirement,,,"$10,183.00",$0.00,"$10,183.00",,$254.97,$254.97,"$9,928.03",$0.00,"$9,928.03",97.50%
,1000.0000.2500.53300.900,,Training,& Development,Services,,"$2,500.00",$0.00,,"$2,500.00",$0.00,$0.00,"$2,500.00",$0.00,"$2,500.00",100.00%
,1000.0000.2500.53400.900,,,Purchased Professional,,,"$40,900.00",$0.00,"$40,900.00",,"$36,630.80","$36,630.80","$4,269.20",$0.00,"$4,269.20",10.44%
,1000.0000.2500.55800.900,,Travel,,,,"$1,250.00",$0.00,,"$1,250.00",$0.00,$0.00,"$1,250.00",$0.00,"$1,250.00",100.00%
,1000.0000.2500.56000.900,,Supplies,,,,"$2,825.00",$0.00,,"$2,825.00",$0.00,$0.00,"$2,825.00",$37.30,"$2,787.70",98.68%
,1000.0000.2500.58100.900,,Dues,and Fees,,,"$1,944.00",$0.00,,"$1,944.00",$0.00,$0.00,"$1,944.00",$0.00,"$1,944.00",100.00%
,,,,Program:,OVERHEAD -,0000,"$482,372.00",$0.00,"$482,372.00",,"$53,115.60","$53,115.60","$429,256.40","$335,538.10","$93,718.30",19.43%
,,,Function:,CENTRAL,SERVICES -,2500,"$482,372.00",$0.00,"$482,372.00",,"$53,115.60","$53,115.60","$429,256.40","$335,538.10","$93,718.30",19.43%
,,,Cost Center:,SYSTEM,WIDE -,900,"$1,179,440.00",$0.00,"$1,179,440.00",,"$139,236.82","$139,236.82","$1,040,203.18","$638,965.81","$401,237.37",34.02%
Grand,Total:,,,,,,"$1,179,440.00",$0.00,"$1,179,440.00",,"$139,236.82","$139,236.82","$1,040,203.18","$638,965.81","$401,237.37",34.02%
,,,,,,,,End,of Report,,,,,,,
,,,,,,,,,Page 34 of,44,,,,,,
