,,BudgetOverviewforRSU5,,,
,,FY24,,,
,,"February1,2023",,,
,,"February15,2023",,,
,,"March8,2023",,,
,,"March15,2023",,,
,,"March22,2023",,,
ProposedBudget:,"$39,080,569",,,,
CurrentBudget:,"$37,223,151",,,,
Difference:,"$1,857,418",,,,
ExpenditureIncrease:,4.99%,,,,
EstimatedTaxImpact:,Durham: 2.85%,Freeport:,3.18%,Pownal: 3.00%,
,,10YearOperatingBudgetHistory,,,
,AdoptedBudget,,YearlyDifference,,ExpenditureIncrease
FY24Recommended,,"$39,080,569",,"$39,080,569",4.99%
FY23,,"$37,223,151",,"$1,508,288",4.22%
FY22,,"$35,714,863",,"$730,163",2.09%
FY21,,"$34,984,700",,"$792,405",2.32%
FY20,,"$34,192,295",,"$1,134,270",3.43%
FY19,,"$33,058,025",,"$747,340",2.31%
FY18,,"$32,310,685",,"$1,302,013",4.20%
FY17,,"$31,008,672",,"$1,518,469",5.15%
FY16,,"$29,490,203",,"$2,124,956",7.77%
FY15,,"$27,365,247",,"$1,554,936",5.68%
