,,,,,,RSU,No.,5,,,,,
Article 2,Special,Education,-,Adopted,,,,,,,,,
From Date:,3/22/2023,,To Date:,3/22/2023,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted,Dollar,Difference,Difference
,,,,,,,,,,FY24,Adopted,,
Account,,,Description,,,,,,,,,,
1000.2800.2140.52010.990,,Psych,Services,Benefit,$0.00,,$0.00,"$10,011.12",,$0.00,"$11,161.00","$11,161.00",0.00
1000.2800.2140.52310.010,,,Retirement,,"$2,484.69",,$294.30,,$0.00,"$1,674.00",$0.00,"($1,674.00)",(100.00)
1000.2800.2140.52310.020,,,Retirement,,"$1,056.13",,$294.30,,$0.00,$0.00,$0.00,$0.00,0.00
1000.2800.2140.52310.030,,,Retirement,,"$2,476.13",,$294.30,,$0.00,$0.00,$0.00,$0.00,0.00
1000.2800.2140.52310.040,,,Retirement,,"$1,056.13",,$294.30,,$0.00,$0.00,$0.00,$0.00,0.00
1000.2800.2140.52310.050,,,Retirement,,"$1,056.17",,$294.30,,$0.00,$0.00,$0.00,$0.00,0.00
1000.2800.2140.52310.300,,,Retirement,,$432.14,,$157.08,,$0.00,"$1,834.00",$0.00,"($1,834.00)",(100.00)
1000.2800.2140.52310.950,,,Retirement,,$0.00,,$0.00,,"$2,618.01","$4,090.00","$3,330.00",($760.00),(18.58)
1000.2800.2140.52310.990,,,Retirement,,$0.00,,$0.00,,"$2,618.02",$0.00,"$3,330.00","$3,330.00",0.00
1000.2800.2140.55800.010,,Travel,,,$0.00,,$0.00,,$14.94,$580.00,$0.00,($580.00),(100.00)
1000.2800.2140.55800.020,,Travel,,,$0.00,,$0.00,,$0.00,$125.00,$0.00,($125.00),(100.00)
1000.2800.2140.55800.030,,Travel,,,$0.00,,$0.00,,$0.00,$125.00,$0.00,($125.00),(100.00)
1000.2800.2140.55800.040,,Travel,,,$0.00,,$0.00,,$0.00,$125.00,$0.00,($125.00),(100.00)
1000.2800.2140.55800.050,,Travel,,,$0.00,,$0.00,,$116.00,$125.00,$0.00,($125.00),(100.00)
1000.2800.2140.55800.300,,Travel,,,$6.67,,$0.00,,$20.00,$125.00,$0.00,($125.00),(100.00)
1000.2800.2140.55800.900,,,Psychologist,Travel - District Wide,$0.00,,$0.00,,$0.00,$0.00,"$1,785.00","$1,785.00",0.00
1000.2800.2140.55800.950,,Travel,,,$0.00,,$0.00,,$0.00,$580.00,$0.00,($580.00),(100.00)
1000.2800.2150.51010.010,,Speech,& Audiology,Salaries,"$79,061.76","$73,212.07",,"$79,211.62",,"$94,657.00","$108,925.00","$14,268.00",15.07
1000.2800.2150.51010.020,,Speech,& Audiology,Salaries,"$68,602.24","$54,523.56",,"$58,828.86",,"$55,306.00","$115,157.00","$59,851.00",108.22
1000.2800.2150.51010.030,,Speech,& Audiology,Salaries,"$32,653.60","$30,067.88",,"$29,596.36",,"$33,377.00","$40,510.00","$7,133.00",21.37
1000.2800.2150.51010.040,,Speech,& Audiology,Salaries,"$44,165.32","$45,101.52",,"$44,394.78",,"$86,897.00","$48,729.00","($38,168.00)",(43.92)
1000.2800.2150.51010.050,,Speech,& Audiology,Salaries,"$42,364.58","$40,173.71",,"$40,280.03",,"$40,991.00","$43,149.00","$2,158.00",5.26
1000.2800.2150.51010.300,,Speech,& Audiology,Salaries,"$5,496.12",,$0.00,"$40,279.79",,"$40,991.00","$43,149.00","$2,158.00",5.26
1000.2800.2150.51010.990,,Speech,& Audiology,Salaries,"$37,967.54","$40,173.28",,,$0.00,$0.00,$0.00,$0.00,0.00
,03/22/2023,,,,,,,,,,,Page 18,
