,,,,,,,RSU,No.,5,,,,,,
,Article 7,School,Administration-,,Adopted,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
,Account Number,,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2400.52380.050,,Retirement,,,"$4,374.00",$0.00,,"$4,374.00",$0.00,$0.00,"$4,374.00",$0.00,"$4,374.00",100.00%
,1000.0000.2400.53400.050,,Other,Professional Services,,$240.00,$0.00,,$240.00,$0.00,$0.00,$240.00,$0.00,$240.00,100.00%
,1000.0000.2400.55310.050,,Postage,,,"$2,020.00",$0.00,,"$2,020.00",$0.00,$0.00,"$2,020.00",$0.00,"$2,020.00",100.00%
,1000.0000.2400.55800.050,,Travel,,,$810.00,$0.00,,$810.00,$0.00,$0.00,$810.00,$0.00,$810.00,100.00%
,1000.0000.2400.56000.050,,Supplies,,,$500.00,$0.00,,$500.00,$0.00,$0.00,$500.00,$0.00,$500.00,100.00%
,1000.0000.2400.58100.050,,Dues &,Fees,,"$2,900.00",$0.00,,"$2,900.00",$0.00,$0.00,"$2,900.00",$0.00,"$2,900.00",100.00%
,,,Program:,OVERHEAD,- 0000,"$454,972.00",$0.00,"$454,972.00",,$0.00,$0.00,"$454,972.00","$115,613.73","$339,358.27",74.59%
,,Function:,SCHOOL,ADMINISTRATION,- 2400,"$454,972.00",$0.00,"$454,972.00",,$0.00,$0.00,"$454,972.00","$115,613.73","$339,358.27",74.59%
,,Cost Center:,FREEPORT,MIDDLE SCHOOL,- 050,"$454,972.00",$0.00,"$454,972.00",,$0.00,$0.00,"$454,972.00","$115,613.73","$339,358.27",74.59%
,1000.0000.2400.51040.300,,Admin,Salaries,,"$280,677.00",$0.00,"$280,677.00",,$0.00,$0.00,"$280,677.00","$280,679.63",($2.63),0.00%
,1000.0000.2400.51180.300,,Support,Wages,,"$127,508.00",$0.00,"$127,508.00",,$0.00,$0.00,"$127,508.00","$149,460.74","($21,952.74)",-17.22%
,1000.0000.2400.52040.300,,Admin,Benefits,,"$72,443.00",$0.00,"$72,443.00",,$0.00,$0.00,"$72,443.00",$0.00,"$72,443.00",100.00%
,1000.0000.2400.52080.300,,Support,Benefits,,"$51,654.00",$0.00,"$51,654.00",,$0.00,$0.00,"$51,654.00",$0.00,"$51,654.00",100.00%
,1000.0000.2400.52340.300,,Retirement,,,"$12,546.00",$0.00,"$12,546.00",,$0.00,$0.00,"$12,546.00",$0.00,"$12,546.00",100.00%
,1000.0000.2400.52380.300,,Retirement,,,"$6,375.00",$0.00,,"$6,375.00",$0.00,$0.00,"$6,375.00",$0.00,"$6,375.00",100.00%
,1000.0000.2400.53400.300,,Admin,Purchased Professional,,"$1,044.00",$0.00,,"$1,044.00",$0.00,$0.00,"$1,044.00",$0.00,"$1,044.00",100.00%
,1000.0000.2400.55310.300,,Postage,,,"$3,784.00",$0.00,,"$3,784.00",$0.00,$0.00,"$3,784.00",$0.00,"$3,784.00",100.00%
,1000.0000.2400.55800.300,,Travel,,,"$1,250.00",$0.00,,"$1,250.00",$0.00,$0.00,"$1,250.00",$0.00,"$1,250.00",100.00%
,1000.0000.2400.56000.300,,Supplies,,,$400.00,$0.00,,$400.00,$0.00,$0.00,$400.00,$0.00,$400.00,100.00%
,1000.0000.2400.56400.300,,Admin,Books,,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,1000.0000.2400.58100.300,,Dues and,Fees,,"$6,962.00",$0.00,,"$6,962.00",$0.00,$0.00,"$6,962.00",$0.00,"$6,962.00",100.00%
,,,Program:,OVERHEAD,- 0000,"$564,943.00",$0.00,"$564,943.00",,$0.00,$0.00,"$564,943.00","$430,140.37","$134,802.63",23.86%
,,Function:,SCHOOL,ADMINISTRATION,- 2400,"$564,943.00",$0.00,"$564,943.00",,$0.00,$0.00,"$564,943.00","$430,140.37","$134,802.63",23.86%
,,Cost Center:,FREEPORT,HIGH SCHOOL,- 300,"$564,943.00",$0.00,"$564,943.00",,$0.00,$0.00,"$564,943.00","$430,140.37","$134,802.63",23.86%
Grand,Total:,,,,,"$2,514,485.00",$0.00,"$2,514,485.00",,$0.00,$0.00,"$2,514,485.00","$1,674,647.32","$839,837.68",33.40%
,,,,,,,End,of Report,,,,,,,
,,,,,,,RSU,No.,5,,,,,,
,Article 8,,Transportation,& Buses-,Adopted,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
,Account Number,,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2700.51040.900,,,Administrator Salary,,"$92,024.00",$0.00,"$92,024.00",,$0.00,$0.00,"$92,024.00","$100,170.00","($8,146.00)",-8.85%
,1000.0000.2700.51180.900,,,Bus Drivers Salaries,,"$529,229.00",$0.00,"$529,229.00",,$0.00,$0.00,"$529,229.00","$581,420.27","($52,191.27)",-9.86%
,1000.0000.2700.51200.900,,,Substitute Salaries,,"$77,112.00",$0.00,"$77,112.00",,$0.00,$0.00,"$77,112.00","$6,869.52","$70,242.48",91.09%
,1000.0000.2700.52000.900,,,Sub Bus Driver,Benefits,"$11,983.00",$0.00,"$11,983.00",,$0.00,$0.00,"$11,983.00",$0.00,"$11,983.00",100.00%
,1000.0000.2700.52040.900,,,Administrator Benefits,,"$20,362.00",$0.00,"$20,362.00",,$0.00,$0.00,"$20,362.00",$0.00,"$20,362.00",100.00%
,1000.0000.2700.52080.900,,,Bus Driver Benefits,,"$244,463.00",$0.00,"$244,463.00",,$0.00,$0.00,"$244,463.00",$0.00,"$244,463.00",100.00%
,1000.0000.2700.52380.900,,,Retirement,,"$26,463.00",$0.00,"$26,463.00",,$0.00,$0.00,"$26,463.00",$0.00,"$26,463.00",100.00%
