,,,,,,RSU,No.,5,,,,,
FY25,Article,9 Operations,,& Maintenance-,Proposed,,,,,,,,
From,Date:,3/1/2024,,To Date: 3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,Percent
,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
,Account,,,Description,,,,,,,,,
,1000.0000.2600.51180.010,,Salaries,,"$135,530.83","$168,699.54",,"$194,423.20",,"$176,779.00","$197,358.00","$20,579.00",11.64
,1000.0000.2600.52080.010,,Custodian,Benefits,"$26,080.71","$46,898.86",,"$53,127.43",,"$68,362.00","$56,719.00","($11,643.00)",(17.03)
,1000.0000.2600.52380.010,,Retirement,,$0.00,,$764.05,,"$1,677.39","$2,371.00","$9,868.00","$7,497.00",316.20
,1000.0000.2600.53300.010,,Employee,Training,$0.00,,$0.00,,$0.00,$0.00,$125.00,$125.00,0.00
,1000.0000.2600.54300.010,,Purchased,Repairs/Maint,"$81,654.57","$85,022.55",,"$98,904.85",,"$90,000.00","$104,144.00","$14,144.00",15.72
,1000.0000.2600.55200.010,,Insurance,,"$28,095.44","$32,411.20",,"$32,679.04",,"$22,746.00","$43,425.00","$20,679.00",90.91
,1000.0000.2600.55320.010,,Telephone,,"$4,102.28","$4,552.16",,,"$9,217.33","$4,800.00","$9,494.00","$4,694.00",97.79
,1000.0000.2600.55800.010,,Travel,,$54.75,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2600.56000.010,,Supplies,,"$30,802.40","$21,856.51",,"$31,415.80",,"$28,500.00","$28,500.00",$0.00,0.00
,1000.0000.2600.56011.010,,Materials,for Repair,"$5,728.92","$2,554.61",,,"$2,321.61","$10,000.00","$9,100.00",($900.00),(9.00)
,1000.0000.2600.56013.010,,Major,Maintenance,"$5,093.72","$10,610.00",,,"$4,980.32","$8,600.00","$16,500.00","$7,900.00",91.86
,1000.0000.2600.56050.010,,Furniture,& Equipment - Non,Instructional DCS$0.00,,$244.07,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2600.56220.010,,Electricity,- Durham,"$90,686.87","$123,515.62",,"$86,520.41",,"$154,000.00","$142,000.00","($12,000.00)",(7.79)
,1000.0000.2600.56240.010,,Heating,Fuel,"$11,824.50","$11,645.53",,"$17,413.11",,"$18,000.00","$20,000.00","$2,000.00",11.11
,Program:,OVERHEAD - 0000,,,"$419,654.99","$508,774.70",,"$532,680.49",,"$584,158.00","$637,233.00","$53,075.00",9.09
,Function:,OPERATION OF,PLANT - 2600,,"$419,654.99","$508,774.70",,"$532,680.49",,"$584,158.00","$637,233.00","$53,075.00",9.09
Cost,Center:,DURHAM,COMMUNITY -,010,"$419,654.99","$508,774.70",,"$532,680.49",,"$584,158.00","$637,233.00","$53,075.00",9.09
,1000.0000.2600.51180.020,,Custodial,Salaries,"$145,408.76","$131,777.99",,"$144,126.69",,"$181,527.00","$291,862.00","$110,335.00",60.78
,1000.0000.2600.52080.020,,Custodian,Benefits,"$41,594.42","$46,388.13",,"$41,485.22",,"$111,684.00","$134,821.00","$23,137.00",20.72
,03/13/2024,,,,,,,,,,,71,
