,,,,,RSU,No.,5,,,,,
Article 1,Regular,Instruction,- Proposed,,,,,,,,,
From Date:,7/1/2021,,To Date: 6/30/2022,Definition:,,FY23,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted FY23,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
1000.1100.1000.52310.030,,Retirement,,"$15,113",,"$15,342",,"$3,864","$20,234","$23,524","$3,290",16.26
1000.1100.1000.52310.040,,Retirement,,"$47,914",,"$45,464",,"$9,772","$48,049","$54,455","$6,406",13.33
1000.1100.1000.52310.050,,Retirement,,"$65,260",,"$89,120",,"$15,690","$72,324","$71,910",($414),(0.57)
1000.1100.1000.52320.010,,Retirement,,"$3,515",,"$2,827",,$998,"$3,147","$3,629",$482,15.32
1000.1100.1000.52320.020,,Retirement,,"$2,317",,"$2,791",,$712,"$3,146","$3,431",$285,9.05
1000.1100.1000.52320.030,,Retirement,,$619,,$670,,$89,"$1,703","$2,258",$555,32.56
1000.1100.1000.52320.040,,Retirement,,$0,,"$2,888",,$5,"$1,041","$1,928",$887,85.22
1000.1100.1000.52320.050,,Retirement,,"$4,081",,"$3,612",,$742,"$3,443","$4,452","$1,009",29.31
1000.1100.1000.52330.010,,Retirement,,$272,,$693,,$820,"$2,496","$2,704",$208,8.33
1000.1100.1000.52330.020,,Retirement,,$287,,$61,,$0,"$1,248",$0,"($1,248)",(100.00)
1000.1100.1000.52330.030,,Retirement,,"$1,433",,$141,,$10,$832,"$1,248",$416,50.00
1000.1100.1000.52330.040,,Retirement,,$456,,$418,,$156,"$2,496","$1,248","($1,248)",(50.00)
1000.1100.1000.52330.050,,Retirement,,$656,,$410,,$518,"$3,328","$1,664","($1,664)",(50.00)
1000.1100.1000.53400.010,,,Professional Services,"$4,664",,"$6,380",,"$11,370","$19,677","$20,587",$910,4.62
1000.1100.1000.53400.020,,,Professional Servics,"$4,331",,"$2,463",,"$1,024","$7,630","$7,960",$330,4.33
1000.1100.1000.53400.030,,,Professional Services,"$2,937",,"$6,772",,"$3,186","$8,750","$8,785",$35,0.40
1000.1100.1000.53400.040,,Purchased,Professional,"$14,257",,"$6,374",,"$6,128","$15,914","$18,579","$2,665",16.74
1000.1100.1000.53400.050,,Purchased,Professional,"$21,183",,"$30,545",,"$25,811","$21,768","$21,768",$0,0.00
1000.1100.1000.54300.010,,Copiers-,Equipment Maint,"$5,285",,"$2,997",,"$15,303","$11,333","$11,100",($233),(2.06)
1000.1100.1000.54300.020,,,Copiers-Equipment Maint,"$10,219",,"$8,908",,"$10,721","$11,027","$11,150",$123,1.12
1000.1100.1000.54300.030,,Copiers,Repairs/Maint,"$3,703",,"$1,980",,"$2,617","$8,168","$8,168",$0,0.00
1000.1100.1000.54300.040,,Copiers,Repair/Maint,"$9,513",,"$8,921",,"$5,483","$11,742","$11,500",($242),(2.06)
1000.1100.1000.54300.050,,Copiers,Repair/Maint,"$28,918",,"$24,214",,"$9,700","$17,357","$16,500",($857),(4.94)
1000.1100.1000.54330.010,,Software,,$499,,$963,,"$1,313","$9,081","$9,361",$280,3.08
,,,,,,,,,,,3/21/22 Page 4,
,,,,,RSU,No.,5,,,,,
Article 1,Regular,Instruction,- Proposed,,,,,,,,,
From Date:,7/1/2021,,To Date: 6/30/2022,Definition:,,FY23,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted FY23,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
1000.1100.1000.54330.020,,Software,,$0,,$0,,$0,"$6,275","$5,520",($755),(12.03)
1000.1100.1000.54330.030,,Software,,$0,,$0,,$96,"$5,853","$5,853",$0,0.00
1000.1100.1000.54330.040,,Software,,$0,,$0,,$18,"$3,890","$4,175",$285,7.33
1000.1100.1000.54330.050,,Software,,"$6,153",,"$4,457",,"$6,149","$5,908","$5,908",$0,(0.01)
1000.1100.1000.55800.010,,Travel,,$904,,"$1,839",,$327,"$2,654","$2,000",($654),(24.64)
