,,,,,RSU,No. 5,,,,,,,
FY27,Article,5 Student,and Staff,Support- Proposed,,,,,,,,,
From,Date:,7/1/2026,To,Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
Account,,,,Description,,,,,,,,,
,1000.0000.2213.52300.030,,,Stipend Retirement - PES,$422.88,,$284.15,$209.00,$268.00,$268.00,,$0.00,0.00
,1000.0000.2213.52510.030,,,Tuition Reimbursement,$0.00,,"$2,526.00",$0.00,$0.00,$0.00,,$0.00,0.00
,1000.0000.2213.53000.030,,,Purchased Professional,$0.00,,"$1,090.91",$0.00,$0.00,$0.00,,$0.00,0.00
,,,,Services,,,,,,,,,
Program:,OVERHEAD,- 0000,,,"$6,411.24","$10,707.09",,"$5,285.25","$6,458.00","$6,458.00",,$0.00,0.00
Function:,,INSTRUCTIONAL,STAFF TRAINING,- 2213,"$6,411.24","$10,707.09",,"$5,285.25","$6,458.00","$6,458.00",,$0.00,0.00
,1000.0000.2220.51010.030,,,Librarian Salaries,"$33,016.46","$36,265.81",,"$34,903.30","$38,952.00","$42,283.00",,"$3,331.00",8.55
,1000.0000.2220.51020.030,,,Ed Tech Salaries,$0.00,,$0.00,$0.00,"$1,200.00",$0.00,"($1,200.00)",,(100.00)
,1000.0000.2220.52010.030,,,Librarian Benefits,"$13,612.17","$12,769.53",,"$9,002.80","$12,840.00","$13,797.00",,$957.00,7.45
,1000.0000.2220.52020.030,,,Ed Tech Benefits,$0.00,,$0.00,$0.00,$40.00,$0.00,,($40.00),(100.00)
,1000.0000.2220.52310.030,,,Retirement,"$1,300.42",,"$1,621.05","$1,560.14","$1,741.00","$1,890.00",,$149.00,8.56
,1000.0000.2220.52320.030,,,Retirement,$0.00,,$0.00,$0.00,$54.00,$0.00,,($54.00),(100.00)
,1000.0000.2220.54330.030,,,Software,"$1,043.00",,"$1,275.42","$1,319.05","$1,500.00","$1,500.00",,$0.00,0.00
,1000.0000.2220.56100.030,,,Instructional Supplies,$221.42,,$248.97,$322.76,$350.00,$210.00,,($140.00),(40.00)
,1000.0000.2220.56400.030,,,Books & Periodicals,"$2,225.59",,"$2,647.89","$2,757.25","$2,837.00","$2,605.00",,($232.00),(8.18)
Program:,OVERHEAD,- 0000,,,"$51,419.06","$54,828.67",,"$49,865.30","$59,514.00","$62,285.00",,"$2,771.00",4.66
Function:,LIBRARY,SERVICES,- 2220,,"$51,419.06","$54,828.67",,"$49,865.30","$59,514.00","$62,285.00",,"$2,771.00",4.66
,1000.0000.2230.51010.030,,,Teacher Salaries,$375.00,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
,,,,,Page,52 of 89,,,,,,,
