,,,,,,,RSU,No.,5,,,,,,
,Article 3,CTE-,Adopted,,,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
,Account Number,,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.3000.1000.55640.300,,MVR,10 Assessment,,"$289,668.00",$0.00,"$289,668.00",,"$24,139.00","$24,139.00","$265,529.00","$265,529.00",$0.00,0.00%
,,,Program:,CAREER & TECH,ED - 3000,"$289,668.00",$0.00,"$289,668.00",,"$24,139.00","$24,139.00","$265,529.00","$265,529.00",$0.00,0.00%
,,Function:,REGULAR,INSTRUCTION,- 1000,"$289,668.00",$0.00,"$289,668.00",,"$24,139.00","$24,139.00","$265,529.00","$265,529.00",$0.00,0.00%
,,Cost Center:,FREEPORT,HIGH,SCHOOL - 300,"$289,668.00",$0.00,"$289,668.00",,"$24,139.00","$24,139.00","$265,529.00","$265,529.00",$0.00,0.00%
Grand,Total:,,,,,"$289,668.00",$0.00,"$289,668.00",,"$24,139.00","$24,139.00","$265,529.00","$265,529.00",$0.00,0.00%
,,,,,,,End,of Report,,,,,,,
,,,,,,,,Page 18 of,44,,,,,,
,,,,,,,RSU,No.,5,,,,,,
Article,4 Other,Instruction-,Adopted,,,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.9100.1000.51180.010,Support,Wages - DCS,,,$0.00,$0.00,,$0.00,$90.00,$90.00,($90.00),$0.00,($90.00),0.00%
,1000.9100.1000.51500.010,Stipends,,,,"$28,236.00",$0.00,"$28,236.00",,$0.00,$0.00,"$28,236.00",$0.00,"$28,236.00",100.00%
,1000.9100.1000.52000.010,Benefits,,,,$477.00,$0.00,,$477.00,$0.00,$0.00,$477.00,$0.00,$477.00,100.00%
,1000.9100.1000.52080.010,Support,Benefits -,DCS,,$0.00,$0.00,,$0.00,$1.81,$1.81,($1.81),$0.00,($1.81),0.00%
,1000.9100.1000.52300.010,Retirement,,,,"$1,262.00",$0.00,"$1,262.00",,$0.00,$0.00,"$1,262.00",$0.00,"$1,262.00",100.00%
,1000.9100.1000.52380.010,Retirement,for Regular,Employees,,$0.00,$0.00,,$0.00,$4.02,$4.02,($4.02),$0.00,($4.02),0.00%
,1000.9100.1000.56000.010,Supplies,,,,"$1,250.00",$0.00,"$1,250.00",,$0.00,$0.00,"$1,250.00",$0.00,"$1,250.00",100.00%
,1000.9100.1000.58100.010,Dues &,Fees,,,"$1,322.00",$0.00,"$1,322.00",,$0.00,$0.00,"$1,322.00",$0.00,"$1,322.00",100.00%
,,Program:,CO-CURRICULAR,K-8 -,9100,"$32,547.00",$0.00,"$32,547.00",,$95.83,$95.83,"$32,451.17",$0.00,"$32,451.17",99.71%
,1000.9200.1000.51500.010,,EXTRA-CURRICULAR,STIPENDS,-,"$37,330.00",$0.00,"$37,330.00",,$0.00,$0.00,"$37,330.00",$0.00,"$37,330.00",100.00%
,,DCS,,,,,,,,,,,,,
