,,,,,,RSU,No. 5,,,,,,,
Article,8,Transportation,&,Buses- Adopted,,,,,,,,,,
From,Date:,7/1/2025,,To Date: 6/30/2026,Definition:,FY26,Proposed,,,,,,,
,,,,,,,,,,,FY26,,Dollar,Percent
,,,,,FY22 Actual,,FY23,Actual FY24,Actual FY25,Adopted,Proposed,Difference,,Difference
Account,,,,Description,,,,,,,,,,
,1000.0000.2700.55200.900,,,Insurance,"$19,527.00",,,"$25,198.07","$28,998.05","$28,978.00","$31,968.00",,"$2,990.00",10.32
,1000.0000.2700.55320.900,,,Telephone,,$0.00,,$0.00,$869.95,$0.00,"$3,000.00",,"$3,000.00",0.00
,1000.0000.2700.55800.900,,,Travel,,$0.00,,$0.00,$204.34,$0.00,$500.00,,$500.00,0.00
,1000.0000.2700.56220.900,,,Electricity,,$0.00,,$0.00,$158.02,$0.00,$0.00,,$0.00,0.00
,1000.0000.2700.56260.900,,,Fleet Fuel,"$111,572.95",,"$166,812.87",,"$138,458.18","$229,500.00","$175,200.00","($54,300.00)",,(23.66)
,1000.0000.2700.56700.900,,,Supplies,"$111,194.23",,,"$33,654.37","$73,839.91","$72,871.00","$80,530.00",,"$7,659.00",10.51
,1000.0000.2700.57300.900,,,Equipment,,$0.00,,$0.00,"$14,772.84",$0.00,$0.00,,$0.00,0.00
,1000.0000.2700.58100.900,,,Dues and Fees,"$4,266.86",,,"$4,575.50","$3,836.00",$0.00,$350.00,,$350.00,0.00
,1000.0000.2700.58310.900,,,Principal-Bus Lease,"$64,488.40",,,"$74,096.28","$88,555.26","$139,911.00","$228,649.00","$88,738.00",,63.42
,,,,Purchase,,,,,,,,,,
Program:,OVERHEAD,- 0000,,,"$1,357,530.56",,"$1,404,890.98",,"$1,380,613.20","$1,536,030.00","$1,738,765.00","$202,735.00",,13.20
Function:,,TRANSPORTATION,- 2700,,"$1,357,530.56",,"$1,404,890.98",,"$1,380,613.20","$1,536,030.00","$1,738,765.00","$202,735.00",,13.20
,1000.0000.2750.51020.900,,,Ed Tech Salaries,"$6,142.98",,,$740.28,$11.29,"$9,500.00","$18,760.00",,"$9,260.00",97.47
,1000.0000.2750.51180.900,,,Support Wages,"$31,758.47",,,"$66,640.21","$72,046.77","$35,620.00","$147,392.00","$111,772.00",,313.79
,1000.0000.2750.52020.900,,,Ed Tech Benefits,"$1,221.83",,,$422.39,$5.80,$746.00,"$2,915.00",,"$2,169.00",290.75
,1000.0000.2750.52080.900,,,Support Benefits,"$8,743.35",,,"$10,131.49","$11,911.94","$4,104.00","$22,905.00","$18,801.00",,458.11
,1000.0000.2750.52320.900,,,Retirement,$666.52,,,$159.09,$0.51,$425.00,$839.00,,$414.00,97.41
,1000.0000.2750.52380.900,,,Retirement,"$1,953.29",,,$28.28,$184.85,$257.00,$0.00,,($257.00),(100.00)
,1000.0000.2750.55100.900,,,OOD PURCHASED,,$0.00,,$0.00,"$95,153.75",$0.00,$0.00,,$0.00,0.00
,,,,TRANSPORTATION,,,,,,,,,,
,1000.0000.2750.55190.900,,,DNU-OOD PURCHASED,"$2,339.22",,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
,,,,TRANSPORTATION,,,,,,,,,,
,01/22/2024,,,,,,,,,,,Page,77 of 90,
,,,,,,RSU,No.,5,,,,,,
,Article 8,Transportation,&,Buses-,Adopted,,,,,,,,,
From,Date:,7/1/2025,,To,Date: 6/30/2026,Definition: FY26,Proposed,,,,,,,
,,,,,,,,,,,FY26,,Dollar,Percent
,,,,,,FY22 Actual,FY23,Actual FY24,Actual FY25,Adopted,Proposed,Difference,,Difference
,Account,,,,Description,,,,,,,,,
,Program:,OVERHEAD - 0000,,,,"$52,825.66",,"$78,121.74","$179,314.91","$50,652.00","$192,811.00","$142,159.00",,280.66
,Function:,TRANSPORTATION,SPECIAL,ED -,2750,"$52,825.66",,"$78,121.74","$179,314.91","$50,652.00","$192,811.00","$142,159.00",,280.66
,1000.0000.2770.55100.900,,,,HOMELESS PURCHASED,$0.00,,$0.00,"$44,141.52",$0.00,$0.00,,$0.00,0.00
,,,,,TRANSPORTATION,,,,,,,,,
,Program:,OVERHEAD - 0000,,,,$0.00,,$0.00,"$44,141.52",$0.00,$0.00,,$0.00,0.00
,Function:,TRANSPORTATION,,HOMELESS -,2770,$0.00,,$0.00,"$44,141.52",$0.00,$0.00,,$0.00,0.00
Cost,Center:,SYSTEM WIDE,- 900,,,"$1,410,356.22",,"$1,483,012.72","$1,604,069.63","$1,586,682.00","$1,931,576.00","$344,894.00",,21.74
Grand,Total:,,,,,"$1,410,356.22",,"$1,483,012.72","$1,604,069.63","$1,586,682.00","$1,931,576.00","$344,894.00",,21.74
,,,,,,End,of Report,,,,,,,
,,01/22/2024,,,,,,,,,,Page,78 of 90,
