,1000.0000.2500.52080.900,,Benefits,"$43,718.08","$34,474.33",,"$44,249.41",,"$56,348.00","$56,221.00",($127.00),(0.23)
,1000.0000.2500.52340.900,,Retirement,$0.00,,$0.00,,$0.00,"$10,819.00","$5,678.00","($5,141.00)",(47.52)
,1000.0000.2500.52380.900,,Retirement,$0.00,,$0.00,,$0.00,$0.00,"$8,877.00","$8,877.00",0.00
,Page 62,of 80,,,,,,,,,,
,,,,,RSU,No.,5,,,,,
Article,6,System,Administration- Adopted,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
,Account,,Description,,,,,,,,,
,1000.0000.2500.53300.900,,Training & Development,Services $0.00,,$0.00,,$0.00,"$2,100.00","$2,000.00",($100.00),(4.76)
,1000.0000.2500.55800.900,,Travel,$0.00,,$0.00,,$52.65,$250.00,$250.00,$0.00,0.00
,1000.0000.2500.55810.900,,Travel,$380.09,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2500.56000.900,,Supplies,$0.00,,$0.00,,$0.00,$0.00,"$2,125.00","$2,125.00",0.00
,1000.0000.2500.58100.900,,Dues and Fees,"$4,254.97",,$0.20,,"$3,479.89","$3,500.00","$1,529.00","($1,971.00)",(56.31)
Program:,,OVERHEAD - 0000,,"$326,505.12","$310,292.07",,"$404,186.86",,"$376,648.00","$399,700.00","$23,052.00",6.12
Function:,CENTRAL,SERVICES,- 2500,"$326,505.12","$310,292.07",,"$404,186.86",,"$376,648.00","$399,700.00","$23,052.00",6.12
Cost,Center:,SYSTEM WIDE,- 900,"$859,568.00","$898,751.93",,"$1,017,846.04",,"$1,082,988.00","$1,074,251.00","($8,737.00)",(0.81)
Grand,Total:,,,"$859,568.00","$898,751.93",,"$1,017,846.04",,"$1,082,988.00","$1,074,251.00","($8,737.00)",(0.81)
,,,,,End,of Report,,,,,,
,Page 63,of 80,,,,,,,,,,
,,,,,RSU,No.,5,,,,,
Article,7,School,Administration- Adopted,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.0000.2400.51040.010,,Admin Salary,"$206,448.92","$221,072.09",,"$216,412.08",,"$232,372.00","$229,606.00","($2,766.00)",(1.19)
,1000.0000.2400.51180.010,,Support Wages,"$70,847.07","$79,948.21",,"$83,712.52",,"$81,013.00","$82,032.00","$1,019.00",1.26
,1000.0000.2400.52040.010,,Admin Benefits,"$51,003.43","$46,526.14",,"$49,286.08",,"$59,256.00","$64,477.00","$5,221.00",8.81
,1000.0000.2400.52080.010,,Support Benefits,"$16,166.35","$16,319.87",,"$22,953.12",,"$38,103.00","$37,655.00",($448.00),(1.18)
,1000.0000.2400.52340.010,,Retirement,"$8,559.20","$3,392.40",,,"$8,430.56","$9,666.00","$10,674.00","$1,008.00",10.43
,1000.0000.2400.52380.010,,Retirement,"$1,619.81",,$339.20,,$0.00,$0.00,"$2,053.00","$2,053.00",0.00
,1000.0000.2400.55310.010,,Postage,"$2,180.00","$1,738.70",,,"$2,684.49","$3,040.00","$2,250.00",($790.00),(25.99)
,1000.0000.2400.55800.010,,Travel,$624.19,,$16.24,,$0.00,$520.00,$520.00,$0.00,0.00
,1000.0000.2400.56000.010,,Supplies,$0.00,"$1,150.22",,,$800.52,"$1,030.00","$1,200.00",$170.00,16.50
,1000.0000.2400.56100.010,,Supplies,$835.90,,$75.65,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2400.56400.010,,Books,$63.44,,$160.76,,$81.72,$150.00,$150.00,$0.00,0.00
,1000.0000.2400.58100.010,,Dues & Fees,$630.00,,$730.00,,$878.00,"$1,150.00","$1,150.00",$0.00,0.00
,1000.0000.2400.58150.010,,Fingerprinting Fees - DCS,$0.00,,$0.00,,$70.00,$0.00,$0.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,"$358,978.31","$371,469.48",,"$385,309.09",,"$426,300.00","$431,767.00","$5,467.00",1.28
Function:,SCHOOL,,ADMINISTRATION - 2400,"$358,978.31","$371,469.48",,"$385,309.09",,"$426,300.00","$431,767.00","$5,467.00",1.28
Cost,Center:,DURHAM,COMMUNITY - 010,"$358,978.31","$371,469.48",,"$385,309.09",,"$426,300.00","$431,767.00","$5,467.00",1.28
,1000.0000.2400.51040.020,,Admin Salary,"$103,443.90","$111,372.40",,"$108,562.31",,"$115,408.00","$193,651.00","$78,243.00",67.80
,1000.0000.2400.51180.020,,Support Wages,"$42,914.92","$56,965.58",,"$51,070.34",,"$57,783.00","$51,961.00","($5,822.00)",(10.08)
,1000.0000.2400.52040.020,,Admin Benefits,"$8,420.61","$5,725.00",,,"$7,065.47","$12,266.00","$42,363.00","$30,097.00",245.37
,Page 64,of 80,,,,,,,,,,
,,,,,RSU,No.,5,,,,,
Article,7,School,Administration- Adopted,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.0000.2400.52080.020,,Support Benefits,"$9,504.11","$5,520.61",,"$12,081.62",,"$18,827.00","$17,564.00","($1,263.00)",(6.71)
,1000.0000.2400.52340.020,,Retirement,"$4,288.70","$1,708.90",,,"$4,381.16","$4,801.00","$9,002.00","$4,201.00",87.50
,1000.0000.2400.52380.020,,Retirement,$0.00,,$0.00,,$131.43,$0.00,"$2,175.00","$2,175.00",0.00
,1000.0000.2400.55310.020,,Postage,$544.66,,$569.92,,$918.57,"$1,770.00","$1,000.00",($770.00),(43.50)
,1000.0000.2400.55800.020,,Travel,$52.26,,$16.24,,$0.00,$300.00,$300.00,$0.00,0.00
,1000.0000.2400.56000.020,,Supplies,$736.60,,$140.64,,$339.12,$500.00,$500.00,$0.00,0.00
,1000.0000.2400.58100.020,,Dues & Fees,$290.00,,$340.00,,$340.00,$575.00,$575.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,"$170,195.76","$182,359.29",,"$184,890.02",,"$212,230.00","$319,091.00","$106,861.00",50.35
Function:,SCHOOL,,ADMINISTRATION - 2400,"$170,195.76","$182,359.29",,"$184,890.02",,"$212,230.00","$319,091.00","$106,861.00",50.35
Cost,Center:,MORSE STREET,- 020,"$170,195.76","$182,359.29",,"$184,890.02",,"$212,230.00","$319,091.00","$106,861.00",50.35
,1000.0000.2400.51040.030,,Admin Salary,"$103,383.90","$111,353.31",,"$108,629.62",,"$115,408.00","$117,628.00","$2,220.00",1.92
,1000.0000.2400.51180.030,,Support Wages,"$34,566.08","$37,425.53",,"$42,917.55",,"$37,149.00","$35,686.00","($1,463.00)",(3.94)
,1000.0000.2400.52040.030,,Admin Benefits,"$14,045.69","$9,921.64",,"$11,289.80",,"$29,524.00","$28,251.00","($1,273.00)",(4.31)
,1000.0000.2400.52080.030,,Support Benefits,"$6,685.53","$4,967.33",,,"$3,914.33","$6,938.00","$9,039.00","$2,101.00",30.28
,1000.0000.2400.52340.030,,Retirement,"$4,288.70","$1,708.90",,,"$4,237.42","$4,801.00","$5,468.00",$667.00,13.89
,1000.0000.2400.52380.030,,Retirement,$0.00,,$0.00,,$0.00,$0.00,"$1,909.00","$1,909.00",0.00
,1000.0000.2400.55310.030,,Postage,$500.89,,$280.43,,$233.70,$550.00,$400.00,($150.00),(27.27)
,1000.0000.2400.55800.030,,Travel,$24.15,,$16.24,,$235.46,$470.00,$470.00,$0.00,0.00
,1000.0000.2400.56000.030,,Supplies,$504.19,,$184.60,,$294.54,$300.00,$300.00,$0.00,0.00
,1000.0000.2400.56400.030,,Admin Books,$0.00,,$0.00,,$0.00,$0.00,$300.00,$300.00,0.00
,1000.0000.2400.58100.030,,Dues & Fees,$290.00,,$429.00,,$234.00,$575.00,$400.00,($175.00),(30.43)
Program:,OVERHEAD,- 0000,,"$164,289.13","$166,286.98",,"$171,986.42",,"$195,715.00","$199,851.00","$4,136.00",2.11
,Page 65,of 80,,,,,,,,,,
