,,,,,RSU,No.,5,,,,,
Article,5,Student and,Staff Support-,Adopted,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
,Account,,Description,,,,,,,,,
,1000.0000.2213.51500.990,,New Educator Mentors 9-12,$0.00,,$0.00,,$0.00,$0.00,"$10,176.00","$10,176.00",0.00
Program:,OVERHEAD,- 0000,,$0.00,,$0.00,,$0.00,$0.00,"$10,176.00","$10,176.00",0.00
Function:,,INSTRUCTIONAL,STAFF TRAINING - 2213,$0.00,,$0.00,,$0.00,$0.00,"$10,176.00","$10,176.00",0.00
Cost,Center: 9-12,- 990,,$0.00,,$0.00,,$0.00,$0.00,"$10,176.00","$10,176.00",0.00
Grand,Total:,,,"$3,314,224.25","$2,716,070.25",,"$3,333,736.75",,"$3,594,805.00","$3,867,554.00","$272,749.00",7.59
,,,,,End,of Report,,,,,,
,Page 60,of 80,,,,,,,,,,
,,,,,RSU,No.,5,,,,,
Article,6,System,Administration- Adopted,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.0000.2310.51500.900,,Stipends,"$5,450.00","$6,598.04",,,"$4,000.00","$11,000.00","$8,000.00","($3,000.00)",(27.27)
,1000.0000.2310.52000.900,,Board Stipend Benefits,$445.11,,$100.96,,$308.11,$700.00,$500.00,($200.00),(28.57)
,1000.0000.2310.53400.900,,Professional Services,"$22,239.12","$5,504.52",,"$15,535.82",,"$57,000.00","$54,165.00","($2,835.00)",(4.97)
,1000.0000.2310.55200.900,,Insurance,"$16,687.65","$24,611.00",,"$34,769.00",,"$35,000.00","$39,302.00","$4,302.00",12.29
,1000.0000.2310.55800.900,,Committee Travel,$0.00,,$0.00,,$0.00,$300.00,$150.00,($150.00),(50.00)
,1000.0000.2310.56000.900,,Supplies,$478.11,,$360.00,,$571.98,$300.00,"$1,085.00",$785.00,261.67
,1000.0000.2310.58100.900,,Dues & Fees,"$5,443.00","$5,186.00",,,"$1,650.00","$6,670.00","$6,860.00",$190.00,2.85
Program:,OVERHEAD,- 0000,,"$50,742.99","$42,360.52",,"$56,834.91",,"$110,970.00","$110,062.00",($908.00),(0.82)
Function:,BOARD,OF,DIRECTORS - 2310,"$50,742.99","$42,360.52",,"$56,834.91",,"$110,970.00","$110,062.00",($908.00),(0.82)
,1000.0000.2314.53100.900,,Election Costs,$0.00,,$0.00,,$0.00,$0.00,"$10,955.00","$10,955.00",0.00
Program:,OVERHEAD,- 0000,,$0.00,,$0.00,,$0.00,$0.00,"$10,955.00","$10,955.00",0.00
Function:,ELECTION,COSTS,- 2314,$0.00,,$0.00,,$0.00,$0.00,"$10,955.00","$10,955.00",0.00
,1000.0000.2320.51040.900,,Superintendent's Salary,"$190,725.34","$204,344.16",,"$212,580.25",,"$210,950.00","$210,101.00",($849.00),(0.40)
,1000.0000.2320.51180.900,,Support Wages,"$70,363.02","$80,375.83",,"$73,564.52",,"$76,506.00","$75,772.00",($734.00),(0.96)
,1000.0000.2320.52000.900,,Benefits,$1.00,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2320.52040.900,,Superintendent Benefits,"$32,224.81","$28,768.22",,"$23,166.38",,"$47,228.00","$56,421.00","$9,193.00",19.47
,1000.0000.2320.52080.900,,Support Benefits,"$21,453.89","$13,411.58",,"$14,482.43",,"$22,996.00","$29,214.00","$6,218.00",27.04
,1000.0000.2320.52340.900,,Retirement,"$7,952.88","$3,145.04",,,"$8,165.36","$8,775.00","$9,767.00",$992.00,11.30
,Page 61,of 80,,,,,,,,,,
,,,,,RSU,No.,5,,,,,
Article,6,System,Administration- Adopted,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.0000.2320.52380.900,,Retirement,$0.00,,$0.00,,$0.00,$0.00,"$3,940.00","$3,940.00",0.00
,1000.0000.2320.53300.900,,Employee Training &,Development $0.00,,$0.00,,$0.00,$0.00,"$3,290.00","$3,290.00",0.00
,1000.0000.2320.53400.900,,Professional Services,"$111,196.02","$100,903.79",,"$95,926.44",,"$125,363.00","$112,223.00","($13,140.00)",(10.48)
,1000.0000.2320.54330.900,,Software Repairs &,"Maintenance $21,535.05","$79,788.74",,"$71,648.05",,"$50,710.00","$10,000.00","($40,710.00)",(80.28)
,1000.0000.2320.54430.900,,Rental/Leases,"$3,030.50",($528.00),,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2320.55310.900,,Postage,"$6,951.53","$6,331.86",,,"$7,342.79","$7,370.00","$7,200.00",($170.00),(2.31)
,1000.0000.2320.55320.900,,Telephone,$350.80,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2320.55400.900,,Advertising,$198.27,"$1,938.77",,,$0.00,"$6,000.00","$1,500.00","($4,500.00)",(75.00)
,1000.0000.2320.55800.900,,Travel,"$2,548.26",,$125.64,"$10,893.18",,$0.00,"$2,600.00","$2,600.00",0.00
,1000.0000.2320.56000.900,,Supplies,"$7,829.53","$14,041.76",,"$15,523.69",,"$14,000.00","$15,400.00","$1,400.00",10.00
,1000.0000.2320.56400.900,,Books,$40.00,,$506.25,,$23.96,$300.00,$100.00,($200.00),(66.67)
,1000.0000.2320.57340.900,,Technology Equipment,"($8,136.04)",,$557.90,,$0.00,"$2,000.00","$1,000.00","($1,000.00)",(50.00)
,1000.0000.2320.58100.900,,Dues and Fees,"$9,055.03","$12,387.80",,"$11,579.74",,"$11,000.00","$6,406.00","($4,594.00)",(41.76)
,1000.0000.2320.59000.900,,Aspirations / Miscellaneous,"$5,000.00",,$0.00,"$11,927.48",,"$12,172.00","$8,600.00","($3,572.00)",(29.35)
Program:,OVERHEAD,- 0000,,"$482,319.89","$546,099.34",,"$556,824.27",,"$595,370.00","$553,534.00","($41,836.00)",(7.03)
Function:,EXECUTIVE,,ADMINISTRATION - 2320,"$482,319.89","$546,099.34",,"$556,824.27",,"$595,370.00","$553,534.00","($41,836.00)",(7.03)
,1000.0000.2500.51040.900,,Administrator Salary,"$99,948.36","$116,394.97",,"$169,613.56",,"$107,120.00","$109,200.00","$2,080.00",1.94
,1000.0000.2500.51180.900,,Salaries,"$157,762.30","$151,962.36",,"$167,949.65",,"$176,005.00","$170,726.00","($5,279.00)",(3.00)
,1000.0000.2500.52040.900,,Admin Benefits,"$20,441.32","$7,460.21",,"$18,841.70",,"$20,506.00","$43,094.00","$22,588.00",110.15
