,,,,,,RSU,No.,5,,,,,
Article,9,Operations,&,Maintenance- Adopted,,,,,,,,,
From,Date:,7/1/2023,,To Date: 6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,
,1000.0000.2600.51180.010,,Salaries,,"$128,605.85","$135,530.83",,"$167,216.45",,"$173,964.00","$176,779.00","$2,815.00",1.62
,1000.0000.2600.52080.010,,Custodian,Benefits,"$41,476.13","$26,080.71",,"$46,898.86",,"$63,947.00","$68,362.00","$4,415.00",6.90
,1000.0000.2600.52380.010,,Retirement,,$0.00,,$0.00,,$0.00,$0.00,"$2,371.00","$2,371.00",0.00
,1000.0000.2600.54300.010,,Purchased,Repairs/Maint,"$81,626.78","$81,654.57",,"$85,022.55",,"$84,125.00","$90,000.00","$5,875.00",6.98
,1000.0000.2600.55200.010,,Insurance,,"$26,700.24","$28,095.44",,"$32,411.20",,"$37,760.80","$22,746.00","($15,014.80)",(39.76)
,1000.0000.2600.55320.010,,Telephone,,"$3,851.04","$4,102.28",,,"$4,552.16","$4,400.00","$4,800.00",$400.00,9.09
,1000.0000.2600.55800.010,,Travel,,$0.00,,$54.75,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2600.56000.010,,Supplies,,"$24,023.86","$30,802.40",,"$23,862.09",,"$26,000.00","$28,500.00","$2,500.00",9.62
,1000.0000.2600.56011.010,,Materials,for Repair,"$9,163.68","$5,728.92",,,"$2,554.61","$9,000.00","$10,000.00","$1,000.00",11.11
,1000.0000.2600.56013.010,,Major,Maintenance,"$1,625.00","$5,093.72",,"$10,610.00",,"$6,400.00","$8,600.00","$2,200.00",34.38
,1000.0000.2600.56050.010,,Furniture,& Equipment - Non,Instructional DCS$0.00,,$0.00,,$244.07,$0.00,$0.00,$0.00,0.00
,1000.0000.2600.56220.010,,Electricity,- Durham,"$113,655.90","$90,686.87",,"$123,515.62",,"$131,400.00","$154,000.00","$22,600.00",17.20
,1000.0000.2600.56240.010,,Heating,Fuel,"$22,150.95","$11,824.50",,"$11,645.53",,"$13,000.00","$18,000.00","$5,000.00",38.46
Program:,OVERHEAD,- 0000,,,"$452,879.43","$419,654.99",,"$508,533.14",,"$549,996.80","$584,158.00","$34,161.20",6.21
Function:,OPERATION,OF,PLANT -,2600,"$452,879.43","$419,654.99",,"$508,533.14",,"$549,996.80","$584,158.00","$34,161.20",6.21
