,,,,,,,RSU,No.,5,,,,,,
Article,5,Student,and,Staff Support-,Adopted,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2120.52310.040,,,Retirement,,"$3,984.00",$0.00,"$3,984.00",,$0.00,$0.00,"$3,984.00",$0.00,"$3,984.00",100.00%
,1000.0000.2120.53000.040,,,Purchased Professional,,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,1000.0000.2120.54330.040,,,Software,,$334.00,$0.00,,$334.00,$0.00,$0.00,$334.00,$0.00,$334.00,100.00%
,1000.0000.2120.56100.040,,,Instructional Supplies,,$350.00,$0.00,,$350.00,$0.00,$0.00,$350.00,$0.00,$350.00,100.00%
,1000.0000.2120.56400.040,,,Guidance Books &,Periodicals,$100.00,$0.00,,$100.00,$0.00,$0.00,$100.00,$0.00,$100.00,100.00%
,,,,Program:,OVERHEAD - 0000,"$101,248.00",$0.00,"$101,248.00",,$0.00,$0.00,"$101,248.00","$82,324.12","$18,923.88",18.69%
,,,,Function: COUNSELING,- 2120,"$101,248.00",$0.00,"$101,248.00",,$0.00,$0.00,"$101,248.00","$82,324.12","$18,923.88",18.69%
,1000.0000.2130.51010.040,,,Nurse Salary,,"$58,852.00",$0.00,"$58,852.00",,$0.00,$0.00,"$58,852.00","$58,582.24",$269.76,0.46%
,1000.0000.2130.52010.040,,,Nurse Benefits,,"$11,680.00",$0.00,"$11,680.00",,$0.00,$0.00,"$11,680.00","$3,500.00","$8,180.00",70.03%
,1000.0000.2130.52310.040,,,Retirement,,"$2,887.00",$0.00,"$2,887.00",,$0.00,$0.00,"$2,887.00",$0.00,"$2,887.00",100.00%
,1000.0000.2130.53000.040,,,Purchased Professional,,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,1000.0000.2130.54310.040,,,Repairs & Maintenance,,$135.00,$0.00,,$135.00,$0.00,$0.00,$135.00,$0.00,$135.00,100.00%
,1000.0000.2130.56000.040,,,Supplies,,$819.00,$0.00,,$819.00,$0.00,$0.00,$819.00,$0.00,$819.00,100.00%
,1000.0000.2130.58100.040,,,Dues & Fees,,$130.00,$0.00,,$130.00,$0.00,$0.00,$130.00,$0.00,$130.00,100.00%
,,,,Program:,OVERHEAD - 0000,"$74,803.00",$0.00,"$74,803.00",,$0.00,$0.00,"$74,803.00","$62,082.24","$12,720.76",17.01%
,,,Function:,HEALTH,SERVICES - 2130,"$74,803.00",$0.00,"$74,803.00",,$0.00,$0.00,"$74,803.00","$62,082.24","$12,720.76",17.01%
,1000.0000.2213.51500.040,,,Stipends-Acad,Leadership and LCC,"$13,947.00",$0.00,"$13,947.00",,$0.00,$0.00,"$13,947.00",$0.00,"$13,947.00",100.00%
,1000.0000.2213.52000.040,,,Stipend Benefits -,MLS,$236.00,$0.00,,$236.00,$0.00,$0.00,$236.00,$0.00,$236.00,100.00%
,1000.0000.2213.52300.040,,,Stipend Retirement,- MLS,$623.00,$0.00,,$623.00,$0.00,$0.00,$623.00,$0.00,$623.00,100.00%
,,,,Program:,OVERHEAD - 0000,"$14,806.00",$0.00,"$14,806.00",,$0.00,$0.00,"$14,806.00",$0.00,"$14,806.00",100.00%
,Function:,,INSTRUCTIONAL,STAFF,TRAINING - 2213,"$14,806.00",$0.00,"$14,806.00",,$0.00,$0.00,"$14,806.00",$0.00,"$14,806.00",100.00%
,1000.0000.2220.51010.040,,,Librarian Salary,,"$67,015.00",$0.00,"$67,015.00",,$0.00,$0.00,"$67,015.00","$67,014.90",$0.10,0.00%
,1000.0000.2220.52010.040,,,Librarian Benefits,,"$12,821.00",$0.00,"$12,821.00",,$0.00,$0.00,"$12,821.00",$0.00,"$12,821.00",100.00%
,1000.0000.2220.52310.040,,,Retirement,,"$3,301.00",$0.00,"$3,301.00",,$0.00,$0.00,"$3,301.00",$0.00,"$3,301.00",100.00%
,1000.0000.2220.54330.040,,,Software,,"$1,320.00",$0.00,"$1,320.00",,"$1,319.05","$1,319.05",$0.95,$0.00,$0.95,0.07%
,1000.0000.2220.56100.040,,,Instructional Supplies,,$350.00,$0.00,,$350.00,$0.00,$0.00,$350.00,$0.00,$350.00,100.00%
,1000.0000.2220.56400.040,,,Books,,"$5,859.00",$0.00,"$5,859.00",,$0.00,$0.00,"$5,859.00",$0.00,"$5,859.00",100.00%
,,,,Program:,OVERHEAD - 0000,"$90,666.00",$0.00,"$90,666.00",,"$1,319.05","$1,319.05","$89,346.95","$67,014.90","$22,332.05",24.63%
,,,Function:,LIBRARY,SERVICES - 2220,"$90,666.00",$0.00,"$90,666.00",,"$1,319.05","$1,319.05","$89,346.95","$67,014.90","$22,332.05",24.63%
,,,Cost,Center: MAST,LANDING - 040,"$312,017.00",$0.00,"$312,017.00",,"$1,319.05","$1,319.05","$310,697.95","$233,935.02","$76,762.93",24.60%
,1000.0000.2110.51010.050,,,Social Worker Salaries,,"$43,124.00",$0.00,"$43,124.00",,$0.00,$0.00,"$43,124.00","$42,284.62",$839.38,1.95%
,,,,,,,Page,27 of,44,,,,,,
