,,,,RSU,No.,5,,,,,,
Article 7,School,Administration -,Adopted,,,,,,,,,
From Date:,3/22/2023,To Date:,3/22/2023 Definition:,,FY24,Proposed,,,,,,
,,,,,,,,,,,,Percentage
,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted,Dollar,Difference,,Difference
,,,,,,,,FY24,Adopted,,,
Account,,Description,,,,,,,,,,
1000.0000.2400.52340.010,,Retirement,"$8,559.20","$3,392.40",,,"$8,430.56","$9,666.00","$10,674.00",,"$1,008.00",10.43
1000.0000.2400.52340.020,,Retirement,"$4,288.70","$1,708.90",,,"$4,381.16","$4,801.00","$9,002.00",,"$4,201.00",87.50
1000.0000.2400.52340.030,,Retirement,"$4,288.70","$1,708.90",,,"$4,237.42","$4,801.00","$5,468.00",,$667.00,13.89
1000.0000.2400.52340.040,,Retirement,"$4,288.70","$1,708.90",,,"$4,246.17","$4,801.00","$5,468.00",,$667.00,13.89
1000.0000.2400.52340.050,,Retirement,"$7,789.60","$3,083.70",,,"$7,694.70","$8,670.00","$9,707.00",,"$1,037.00",11.96
1000.0000.2400.52340.300,,Retirement,"$8,795.80","$3,521.70",,,"$8,800.73","$9,915.00","$11,117.00",,"$1,202.00",12.12
1000.0000.2400.52380.010,,Retirement,"$1,619.81",,$339.20,,$0.00,$0.00,"$2,053.00",,"$2,053.00",0.00
1000.0000.2400.52380.020,,Retirement,$0.00,,$0.00,,$131.43,$0.00,"$2,175.00",,"$2,175.00",0.00
1000.0000.2400.52380.030,,Retirement,$0.00,,$0.00,,$0.00,$0.00,"$1,909.00",,"$1,909.00",0.00
1000.0000.2400.52380.040,,Retirement,$0.00,,$0.00,,$124.05,$0.00,"$1,956.00",,"$1,956.00",0.00
1000.0000.2400.52380.050,,Retirement,$0.00,,$0.00,,$0.00,$0.00,"$3,932.00",,"$3,932.00",0.00
1000.0000.2400.52380.300,,Retirement,$0.00,,$0.00,,$5.60,$0.00,"$2,619.00",,"$2,619.00",0.00
1000.0000.2400.53400.300,,Admin Purchased Professional,$0.00,,$0.00,,$0.00,$0.00,$569.00,,$569.00,0.00
1000.0000.2400.55310.010,,Postage,"$2,180.00","$1,738.70",,,"$2,684.49","$3,040.00","$2,250.00",,($790.00),(25.99)
1000.0000.2400.55310.020,,Postage,$544.66,,$569.92,,$918.57,"$1,770.00","$1,000.00",,($770.00),(43.50)
1000.0000.2400.55310.030,,Postage,$500.89,,$280.43,,$233.70,$550.00,$400.00,,($150.00),(27.27)
1000.0000.2400.55310.040,,Postage,$950.37,,$528.67,,$918.37,"$2,020.00","$1,500.00",,($520.00),(25.74)
1000.0000.2400.55310.050,,Postage,"$1,187.49",,$706.57,,$922.44,"$2,020.00","$2,020.00",,$0.00,0.00
1000.0000.2400.55310.300,,Postage,"$2,493.70","$2,346.90",,,"$5,829.48","$4,304.00","$4,804.00",,$500.00,11.62
1000.0000.2400.55800.010,,Travel,$624.19,,$16.24,,$0.00,$520.00,$520.00,,$0.00,0.00
1000.0000.2400.55800.020,,Travel,$52.26,,$16.24,,$0.00,$300.00,$300.00,,$0.00,0.00
1000.0000.2400.55800.030,,Travel,$24.15,,$16.24,,$235.46,$470.00,$470.00,,$0.00,0.00
1000.0000.2400.55800.040,,Travel,$66.58,,$16.24,,$31.59,$300.00,$300.00,,$0.00,0.00
1000.0000.2400.55800.050,,Travel,$593.94,,$189.10,,$333.87,$810.00,$810.00,,$0.00,0.00
,03/22/2023,,,,,,,,,,Page 43,
