,,,,,,,RSU,No.,5,,,,,,
Article,9,Operations,&,Maintenance-,Adopted,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
Account,Number,,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2690.58310.900,,Capital,Improvements,,"$481,000.00",$0.00,"$481,000.00",,$0.00,$0.00,"$481,000.00",$0.00,"$481,000.00",100.00%
,,,Program:,OVERHEAD,- 0000,"$481,000.00",$0.00,"$481,000.00",,$0.00,$0.00,"$481,000.00",$0.00,"$481,000.00",100.00%
,Function:,CAPITAL,RENEWAL &,RENOVATION,- 2690,"$481,000.00",$0.00,"$481,000.00",,$0.00,$0.00,"$481,000.00",$0.00,"$481,000.00",100.00%
,,,Cost Center:,SYSTEM WIDE,- 900,"$1,305,797.00",$0.00,"$1,305,797.00",,$0.00,$0.00,"$1,305,797.00","$389,251.02","$916,545.98",70.19%
,1000.0000.2600.54100.941,,Water/Sewage,,,"$1,271.00",$0.00,,"$1,271.00",$0.00,$0.00,"$1,271.00",$0.00,"$1,271.00",100.00%
,1000.0000.2600.54300.941,,Purchaed,Repairs,,"$4,695.00",$0.00,,"$4,695.00",$0.00,$0.00,"$4,695.00",$0.00,"$4,695.00",100.00%
,1000.0000.2600.55320.941,,Telephone,,,"$5,978.00",$0.00,,"$5,978.00",$0.00,$0.00,"$5,978.00",$0.00,"$5,978.00",100.00%
,1000.0000.2600.56000.941,,Supplies,,,"$1,550.00",$0.00,,"$1,550.00",$0.00,$0.00,"$1,550.00",$0.00,"$1,550.00",100.00%
,1000.0000.2600.56011.941,,Materials,for Repair,,"$2,700.00",$0.00,,"$2,700.00",$0.00,$0.00,"$2,700.00",$0.00,"$2,700.00",100.00%
,1000.0000.2600.56013.941,,Major,Maintenance,,"$5,500.00",$0.00,,"$5,500.00",$0.00,$0.00,"$5,500.00",$0.00,"$5,500.00",100.00%
,1000.0000.2600.56220.941,,Electricity,,,"$4,000.00",$0.00,,"$4,000.00",$0.00,$0.00,"$4,000.00",$0.00,"$4,000.00",100.00%
,1000.0000.2600.56240.941,,Heating,Fuel,,"$5,000.00",$0.00,,"$5,000.00",$0.00,$0.00,"$5,000.00",$0.00,"$5,000.00",100.00%
,,,Program:,OVERHEAD,- 0000,"$30,694.00",$0.00,"$30,694.00",,$0.00,$0.00,"$30,694.00",$0.00,"$30,694.00",100.00%
,,Function:,OPERATION,OF PLANT,- 2600,"$30,694.00",$0.00,"$30,694.00",,$0.00,$0.00,"$30,694.00",$0.00,"$30,694.00",100.00%
,,,Cost Center:,CENTRAL OFFICE,- 941,"$30,694.00",$0.00,"$30,694.00",,$0.00,$0.00,"$30,694.00",$0.00,"$30,694.00",100.00%
Grand,Total:,,,,,"$5,490,511.00",$0.00,"$5,490,511.00",,$0.00,$0.00,"$5,490,511.00","$1,512,682.93","$3,977,828.07",72.45%
,,,,,,,End,of Report,,,,,,,
