,,,,,,RSU,No.,5,,,,,,
Article,5,Student and,Staff Support-,Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,,,Function: COUNSELING,- 2120,"$50,071.00",$0.00,"$50,071.00",,$0.00,$0.00,"$50,071.00","$40,321.33","$9,749.67",19.47%
,1000.0000.2130.51010.030,,Nurse Salary,,"$60,453.00",$0.00,"$60,453.00",,$0.00,$0.00,"$60,453.00",$0.00,"$60,453.00",100.00%
,1000.0000.2130.52010.030,,Nurse Benefits,,"$24,802.00",$0.00,"$24,802.00",,$0.00,$0.00,"$24,802.00",$0.00,"$24,802.00",100.00%
,1000.0000.2130.52310.030,,Retirement,,"$2,891.00",$0.00,"$2,891.00",,$0.00,$0.00,"$2,891.00",$0.00,"$2,891.00",100.00%
,1000.0000.2130.53000.030,,Purchased Professional,,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,1000.0000.2130.54310.030,,Repairs & Maintenance,,$135.00,$0.00,,$135.00,$0.00,$0.00,$135.00,$0.00,$135.00,100.00%
,1000.0000.2130.56000.030,,Supplies,,$309.00,$0.00,,$309.00,$0.00,$0.00,$309.00,$119.19,$189.81,61.43%
,1000.0000.2130.58100.030,,Dues & Fees,,$130.00,$0.00,,$130.00,$0.00,$0.00,$130.00,$0.00,$130.00,100.00%
,,,Program:,OVERHEAD - 0000,"$89,020.00",$0.00,"$89,020.00",,$0.00,$0.00,"$89,020.00",$119.19,"$88,900.81",99.87%
,,Function:,HEALTH,SERVICES - 2130,"$89,020.00",$0.00,"$89,020.00",,$0.00,$0.00,"$89,020.00",$119.19,"$88,900.81",99.87%
,1000.0000.2213.51500.030,,Stipends-Acad,Leadership and LCC,"$5,721.00",$0.00,"$5,721.00",,$0.00,$0.00,"$5,721.00",$0.00,"$5,721.00",100.00%
,1000.0000.2213.52000.030,,Stipend Benefits -,PES,$97.00,$0.00,,$97.00,$0.00,$0.00,$97.00,$0.00,$97.00,100.00%
,1000.0000.2213.52300.030,,Stipend Retirement,- PES,$256.00,$0.00,,$256.00,$0.00,$0.00,$256.00,$0.00,$256.00,100.00%
,,,Program:,OVERHEAD - 0000,"$6,074.00",$0.00,"$6,074.00",,$0.00,$0.00,"$6,074.00",$0.00,"$6,074.00",100.00%
,Function:,INSTRUCTIONAL,STAFF,TRAINING - 2213,"$6,074.00",$0.00,"$6,074.00",,$0.00,$0.00,"$6,074.00",$0.00,"$6,074.00",100.00%
,1000.0000.2220.51010.030,,Librarian Salaries,,"$38,654.00",$0.00,"$38,654.00",,$0.00,$0.00,"$38,654.00",$0.00,"$38,654.00",100.00%
,1000.0000.2220.52010.030,,Librarian Benefits,,"$15,198.00",$0.00,"$15,198.00",,$0.00,$0.00,"$15,198.00","$1,750.00","$13,448.00",88.49%
,1000.0000.2220.52310.030,,Retirement,,"$1,872.00",$0.00,"$1,872.00",,$0.00,$0.00,"$1,872.00",$0.00,"$1,872.00",100.00%
,1000.0000.2220.54330.030,,Software,,"$1,320.00",$0.00,"$1,320.00",,"$1,319.05","$1,319.05",$0.95,$0.00,$0.95,0.07%
,1000.0000.2220.56100.030,,Instructional Supplies,,$350.00,$0.00,,$350.00,$0.00,$0.00,$350.00,$0.00,$350.00,100.00%
,1000.0000.2220.56400.030,,Books & Periodicals,,"$2,774.00",$0.00,"$2,774.00",,$0.00,$0.00,"$2,774.00",$0.00,"$2,774.00",100.00%
,,,Program:,OVERHEAD - 0000,"$60,168.00",$0.00,"$60,168.00",,"$1,319.05","$1,319.05","$58,848.95","$1,750.00","$57,098.95",94.90%
,,Function:,LIBRARY,SERVICES - 2220,"$60,168.00",$0.00,"$60,168.00",,"$1,319.05","$1,319.05","$58,848.95","$1,750.00","$57,098.95",94.90%
,,Cost Center:,POWNAL,ELEMENTARY - 030,"$205,333.00",$0.00,"$205,333.00",,"$1,319.05","$1,319.05","$204,013.95","$42,190.52","$161,823.43",78.81%
,1000.0000.2110.51010.040,,Social Worker Salaries,,"$22,550.00",$0.00,"$22,550.00",,$0.00,$0.00,"$22,550.00","$22,513.76",$36.24,0.16%
,1000.0000.2110.52010.040,,Social Worker Benefits,,"$6,865.00",$0.00,"$6,865.00",,$0.00,$0.00,"$6,865.00",$0.00,"$6,865.00",100.00%
,1000.0000.2110.52310.040,,Social Worker,Retirement,"$1,079.00",$0.00,"$1,079.00",,$0.00,$0.00,"$1,079.00",$0.00,"$1,079.00",100.00%
,,,Program:,OVERHEAD - 0000,"$30,494.00",$0.00,"$30,494.00",,$0.00,$0.00,"$30,494.00","$22,513.76","$7,980.24",26.17%
,,Function:,Attendance & Social,Work - 2110,"$30,494.00",$0.00,"$30,494.00",,$0.00,$0.00,"$30,494.00","$22,513.76","$7,980.24",26.17%
,1000.0000.2120.51010.040,,Guidance Salaries,,"$82,324.00",$0.00,"$82,324.00",,$0.00,$0.00,"$82,324.00","$82,324.12",($0.12),0.00%
,1000.0000.2120.52010.040,,Benefits,,"$13,856.00",$0.00,"$13,856.00",,$0.00,$0.00,"$13,856.00",$0.00,"$13,856.00",100.00%
,,,,,,Page,26 of,44,,,,,,
