,,,,,RSU,No. 5,,,,,,,
FY27,Article,7 School,,Administration- Proposed,,,,,,,,,
From,Date:,7/1/2026,To,Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,Description,,,,,,,,,
,1000.0000.2400.51180.020,,,Support Wages,"$53,659.62","$57,037.58",,"$61,664.81","$65,097.00","$66,413.00",,"$1,316.00",2.02
,1000.0000.2400.52040.020,,,Admin Benefits,"$7,587.81","$33,585.25",,"$45,103.24","$48,221.00","$53,689.00",,"$5,468.00",11.34
,1000.0000.2400.52080.020,,,Support Benefits,"$11,880.93","$12,581.67",,"$13,738.62","$19,723.00","$26,347.00",,"$6,624.00",33.59
,1000.0000.2400.52340.020,,,Retirement,"$4,547.98",,"$9,193.08","$10,248.15","$10,880.00","$11,478.00",,$598.00,5.50
,1000.0000.2400.52380.020,,,Retirement,"$1,957.74",,"$2,156.09","$2,393.51","$3,255.00","$3,586.00",,$331.00,10.17
,1000.0000.2400.53400.020,,,Other Professional Services,$0.00,,$0.00,$0.00,$240.00,$240.00,,$0.00,0.00
,1000.0000.2400.55310.020,,,Postage,$717.70,,$956.19,$814.25,"$1,000.00",$700.00,,($300.00),(30.00)
,1000.0000.2400.55800.020,,,Travel,$0.00,,$0.00,$0.00,$300.00,$300.00,,$0.00,0.00
,1000.0000.2400.56000.020,,,Supplies,$418.59,,$387.38,$335.02,$500.00,$500.00,,$0.00,0.00
,1000.0000.2400.58100.020,,,Dues & Fees,$340.00,,$340.00,$680.00,"$1,150.00","$1,150.00",,$0.00,0.00
,Program:,OVERHEAD - 0000,,,"$198,738.37","$328,746.24",,"$364,243.60","$393,759.00","$421,185.00","$27,426.00",,6.97
,Function: SCHOOL,,ADMINISTRATION -,2400,"$198,738.37","$328,746.24",,"$364,243.60","$393,759.00","$421,185.00","$27,426.00",,6.97
Cost,Center:,MORSE STREET,- 020,,"$198,738.37","$328,746.24",,"$364,243.60","$393,759.00","$421,185.00","$27,426.00",,6.97
,1000.0000.2400.51040.030,,,Admin Salary,"$118,228.00","$124,109.00",,"$130,284.00","$137,465.00","$145,027.00",,"$7,562.00",5.50
,1000.0000.2400.51180.030,,,Support Wages,"$38,519.01",,"$6,811.51","$58,089.04","$51,619.00","$48,708.00","($2,911.00)",,(5.64)
,1000.0000.2400.52040.030,,,Admin Benefits,"$34,212.32","$22,097.44",,"$24,500.72","$31,295.00","$35,702.00",,"$4,407.00",14.08
,1000.0000.2400.52080.030,,,Support Benefits,"$3,337.60",,$904.17,"$11,536.55","$12,633.00","$17,364.00",,"$4,731.00",37.45
,1000.0000.2400.52340.030,,,Retirement,"$4,516.98",,"$5,520.84","$5,796.95","$6,145.00","$6,483.00",,$338.00,5.50
,,,,,Page,70 of 89,,,,,,,
