,,,,,,,RSU,No. 5,,,,,,,
FY27,Article,5 Student,,and Staff,Support-,Proposed,,,,,,,,,
From,Date:,7/1/2026,,To Date:,,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
Account,,,,,Description,,,,,,,,,,
Program:,OVERHEAD,- 0000,,,,,"$113,591.17","$92,591.99",,"$100,432.58","$108,271.00","$114,934.00",,"$6,663.00",6.15
Function:,,COUNSELING -,2120,,,,"$113,591.17","$92,591.99",,"$100,432.58","$108,271.00","$114,934.00",,"$6,663.00",6.15
,1000.0000.2130.51010.040,,,,Nurse Salary,,"$54,949.94","$48,102.36",,"$68,453.78","$75,401.00","$82,985.00",,"$7,584.00",10.06
,1000.0000.2130.51200.040,,,,Nurse,Substitute - MLS,"$9,923.45","$13,201.19",,"$2,211.64",$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.52000.040,,,,Employee,Benefits,$652.43,,$931.14,$178.52,$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.52010.040,,,,Nurse Benefits,,"$4,939.91",,"$4,768.82","$5,603.15","$5,935.00","$6,180.00",,$245.00,4.13
,1000.0000.2130.52300.040,,,,Retirement,- Stipends,$20.73,,$81.53,$11.63,$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.52310.040,,,,Retirement,,"$2,110.10",,"$2,171.37","$3,048.11","$3,370.00","$3,709.00",,$339.00,10.06
,1000.0000.2130.53000.040,,,,Purchased,Professional,$184.00,,$245.00,$0.00,$300.00,$300.00,,$0.00,0.00
,1000.0000.2130.54310.040,,,,Repairs &,Maintenance,$145.00,,$0.00,$0.00,$135.00,$135.00,,$0.00,0.00
,1000.0000.2130.56000.040,,,,Supplies,,$622.53,,$435.24,$646.90,$959.00,"$1,056.00",,$97.00,10.11
,1000.0000.2130.58100.040,,,,Dues & Fees,,$0.00,,$0.00,$150.00,$180.00,$180.00,,$0.00,0.00
Program:,OVERHEAD,- 0000,,,,,"$73,548.09","$69,936.65",,"$80,303.73","$86,280.00","$94,545.00",,"$8,265.00",9.58
Function:,HEALTH,SERVICES,- 2130,,,,"$73,548.09","$69,936.65",,"$80,303.73","$86,280.00","$94,545.00",,"$8,265.00",9.58
,1000.0000.2213.51500.040,,,,Stipends-Acad,Leadership,"$16,110.00","$22,024.95",,"$22,741.84","$14,601.00","$14,601.00",,$0.00,0.00
,,,,,and LCC,,,,,,,,,,
,1000.0000.2213.52000.040,,,,Stipend,Benefits - MLS,"$2,731.86",,"$2,882.96","$3,756.52",$491.00,$491.00,,$0.00,0.00
,1000.0000.2213.52300.040,,,,Stipend,Retirement - MLS,$618.73,,"$1,007.06","$1,016.03",$653.00,$653.00,,$0.00,0.00
Program:,OVERHEAD,- 0000,,,,,"$19,460.59","$25,914.97",,"$27,514.39","$15,745.00","$15,745.00",,$0.00,0.00
,,,,,,,Page,54 of 89,,,,,,,
,,,,,,,RSU,No. 5,,,,,,,
