,,,,,ProjectedEnrollment,,,,
,,,,,2024-2025,,,,
,,,2020-2021,2021-2022,,2022-2023,,2023-2024,2024-2025
,,,Enrollment,Enrollment,,Enrollment,,Enrollment,Projected
,,,10/1/20,10/1/21,,10/1/22,,10/1/23,Enrollment
,MorseStreetSchool,,284,301,,327,,316,326
,MastLandingSchool,,213,235,,254,,281,279
,PownalElementarySchool,,103,108,,96,,89,94
,DurhamCommunitySchool,,431,455,,463,,473,483
,FreeportMiddleSchool,,314,296,,307,,293,304
,FreeportHighSchool,,604,595,,619,,632,608
Total,,,1949,1990,,2066,,2084,2094
,,,,,CurrentTeachers/ProjectedClassSizesPerGrade,,,,
,,,,,Pownal,,Durham,,
,Grade,MorseStreet,MastLanding,,Elementary,,Community,,FreeportMiddle
,,"2(16,16,16,16)",,,.5(16),,"1.5(16,16,16)",,
,Pre-K,,,,,,,,
,K,5(17),,,1(10),,3(16-17),,
,1,5(17-18),,,1(12),,3(17-18),,
,2,5(17-18),,,1(12),,3(14-15),,
,3,,5(18-19),,1(17),,3(17-18),,
,4,,4(25-26),,1(14),,3(14-15),,
,5,,4(21-22),,1(13),,3(16-17),,
,6,,,,,,3(19),,5.33(20-22)
,7,,,,,,3(16-17),,5.33(18-20)
,8,,,,,,2(18-19),,5.33(20-22)
,Total,17,13,,6.5,,27.5,,16
,9,,,,,,,,Seenextpage
,10,,,,,,,,Seenextpage
,11,,,,,,,,Seenextpage
,12,,,,,,,,Seenextpage
