,,,,,,RSU,No. 5,,,,,,,
,FY27 Article,1 Regular,Instruction-,Proposed,,,,,,,,,,
From,Date:,7/1/2026,To Date:,6/30/2027,Definition:,FY27,Proposed,,,,,,,
,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,Description,,,,,,,,,,
,1000.1100.1000.51010.010,,Teacher,Salary,"$1,965,610.00",,"$2,162,930.28",,"$2,432,452.60","$2,547,024.00","$2,712,435.00","$165,411.00",,6.49
,1000.1100.1000.51020.010,,Ed,Tech Salaries,"$75,146.85",,"$103,637.11",,"$101,736.76","$160,739.00","$109,725.00","($51,014.00)",,(31.74)
,1000.1100.1000.51230.010,,,Salaries-Subs,"$62,373.20",,,"$81,617.16","$147,668.65","$87,330.00","$104,025.00","$16,695.00",,19.12
,1000.1100.1000.51500.010,,Stipends,,,$0.00,,$0.00,$0.00,"$3,031.00","$3,443.00",,$412.00,13.59
,1000.1100.1000.52000.010,,Stipend,Benefit,,$0.00,,$0.00,$0.00,$102.00,$116.00,,$14.00,13.73
,1000.1100.1000.52010.010,,Teacher,Benefits,"$401,404.08",,"$515,320.17",,"$583,700.10","$615,313.00","$656,470.00","$41,157.00",,6.69
,1000.1100.1000.52020.010,,Ed,Tech Benefits,"$17,238.34",,,"$14,018.57","$16,450.93","$71,931.00","$67,260.00","($4,671.00)",,(6.49)
,1000.1100.1000.52030.010,,,Benefits-Subs,"$4,620.41",,,"$5,320.66","$9,190.65","$2,821.00","$9,810.00",,"$6,989.00",247.75
,1000.1100.1000.52300.010,,,Retirement,,$0.00,,$0.00,$0.00,$135.00,$154.00,,$19.00,14.07
,1000.1100.1000.52310.010,,,Retirement,"$82,760.72",,,"$93,799.89","$107,738.51","$113,852.00","$121,246.00",,"$7,394.00",6.49
,1000.1100.1000.52320.010,,,Retirement,"$2,894.17",,,"$4,539.97","$3,749.37","$7,174.00","$5,298.00","($1,876.00)",,(26.15)
,1000.1100.1000.52330.010,,,Retirement,$170.10,,,$922.04,"$2,855.79","$3,904.00","$2,330.00","($1,574.00)",,(40.32)
,1000.1100.1000.53400.010,,,Professional Services,"$18,774.05",,,"$23,399.07","$34,250.41","$24,321.00","$24,291.00",,($30.00),(0.12)
