,,2023-2024,,,
,,Superintendent'sProposedBudget,,,
,,"February1,2023",,,
,,"February15,2023",,,
,,"March8,2023",,,
,,"March15,2023",,,
ARTICLE,Description,Adopted,Proposed,Difference,Difference
#,,2022-2023,2023-2024,inDollars,%
Article1,RegularInstruction,"$16,401,257","$17,072,759","$671,502",4.09%
Article2,SpecialEducation,"$4,972,716","$5,366,821","$394,105",7.93%
Article3,Career&TechnicalEducation,"$184,596","$272,017","$87,421",47.36%
Article4,OtherInstruction,"$919,069","$1,044,071","$125,002",13.60%
,(Co-Curr&Athletics),,,,
Article5,Student&StaffSupport,"$3,594,805","$3,867,554","$272,749",7.59%
Article6,SystemAdministration,"$1,082,988","$1,074,251","-$8,737",-0.81%
Article7,SchoolAdministration,"$1,942,616","$2,067,029","$124,413",6.40%
Article8,Transportation&Buses,"$1,438,023","$1,551,608","$113,585",7.90%
Article9,Facilities&Maintenance,"$5,100,233","$5,219,819","$119,586",2.34%
Article10,DebtService,"$1,181,603","$1,139,395","-$42,208",-3.57%
Article11,AllOther/Nutrition,"$293,245","$293,245",$0,0.00%
,TotalArticles1-11Budget,"$37,111,151","$38,968,569","$1,857,418",5.01%
,AdultEducation,"$112,000","$112,000",$0,0.00%
,TotalOperatingBudget,"$37,223,151","$39,080,569","$1,857,418",4.99%
