,,,,,,RSU,No.,5,,,,,
Article 9,Operations,&,Maintenance,- Adopted,,,,,,,,,
From Date:,3/22/2023,,To Date:,3/22/2023,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted,Dollar,Difference,Difference
,,,,,,,,,,FY24,Adopted,,
Account,,,Description,,,,,,,,,,
1000.0000.2600.56013.010,,Major,Maintenance,,"$1,625.00","$5,093.72",,"$10,610.00",,"$6,400.00","$8,600.00","$2,200.00",34.38
1000.0000.2600.56013.020,,Major,Maintenance,,"$15,704.74","$3,641.41",,"$11,307.06",,"$6,000.00","$6,000.00",$0.00,0.00
1000.0000.2600.56013.030,,Major,Maintenance,,"$6,652.89","$2,581.96",,,"$6,142.86","$9,500.00","$10,600.00","$1,100.00",11.58
1000.0000.2600.56013.040,,Major,Maintenance,,"$21,630.55","$3,500.00",,,"$6,555.00","$5,000.00","$5,000.00",$0.00,0.00
1000.0000.2600.56013.050,,Major,Maintenance,,"$19,635.78","$7,764.00",,"$16,375.43",,"$10,200.00","$14,200.00","$4,000.00",39.22
1000.0000.2600.56013.300,,Major,Maintenance,,"$1,802.50","$2,054.86",,"$26,101.37",,"$11,600.00","$11,600.00",$0.00,0.00
1000.0000.2600.56013.900,,Major,Maintenance,,$0.00,,$0.00,,"$2,447.00",$0.00,$0.00,$0.00,0.00
1000.0000.2600.56013.941,,Major,Maintenance,,$0.00,"$8,561.00",,,"$5,418.00","$5,000.00","$5,000.00",$0.00,0.00
1000.0000.2600.56050.010,,Furniture,& Equipment,- Non Instructional,DCS$0.00,,$0.00,,$244.07,$0.00,$0.00,$0.00,0.00
1000.0000.2600.56050.020,,Furniture,& Equipment,- Non Instructional,MSS$0.00,,$0.00,,"$4,899.25",$0.00,$0.00,$0.00,0.00
1000.0000.2600.56050.030,,Furniture,& Equipment,- Non Instructional,PES$0.00,,$0.00,,"$3,603.35","$4,865.29",$0.00,"($4,865.29)",(100.00)
1000.0000.2600.56050.040,,Furniture,& Equipment,- Non Instructional,MLS$0.00,,$0.00,,"$5,594.47",$0.00,$0.00,$0.00,0.00
1000.0000.2600.56050.050,,Furniture,& Equipment,- Non Instructional,FMS$0.00,,$0.00,,"$4,174.32","$7,200.00",$0.00,"($7,200.00)",(100.00)
1000.0000.2600.56220.010,,Electricity,- Durham,,"$113,655.90","$90,686.87",,"$123,515.62",,"$131,400.00","$154,000.00","$22,600.00",17.20
