,,,,,RSU,No.,5,,,,,,
Article,4,Other,Instruction-,Adopted,,,,,,,,,
From,Date:,7/1/2025,To,Date: 6/30/2026,Definition: FY26,Adopted,,,,,,,
,,,,,,,,,,FY26,Dollar,,Percent
,,,,,FY22 Actual,FY23,Actual FY24,Actual FY25,Adopted,,Difference,,Difference
,,,,,,,,,,Adopted,,,
,Account,,,Description,,,,,,,,,
,1000.9100.1000.51500.950,,,Stipends Paid,$0.00,,"$2,544.00","$1,272.00","$1,422.00","$1,486.00",,$64.00,4.50
,1000.9100.1000.52000.950,,,Employee Benefits,$0.00,,$202.02,$104.60,$24.00,$50.00,,$26.00,108.33
Program:,,CO-CURRICULAR,K-8 - 9100,,$0.00,,"$2,746.02","$1,376.60","$1,446.00","$1,536.00",,$90.00,6.22
Function:,REGULAR,INSTRUCTION,- 1000,,$0.00,,"$2,746.02","$1,376.60","$1,446.00","$1,536.00",,$90.00,6.22
Cost,Center: K-8,- 950,,,$0.00,,"$2,746.02","$1,376.60","$1,446.00","$1,536.00",,$90.00,6.22
,1000.9600.2700.56260.990,,,Extra Curricular Fleet Fuel,$72.40,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.9600.2700.58500.990,,,Extra-Curricular Purchased,$154.00,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
,,,,Transporation,,,,,,,,,
Program:,,EXTRA-CURRICULAR,9-12 - 9600,,$226.40,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
Function:,,TRANSPORTATION,- 2700,,$226.40,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
Cost,Center: 9-12,- 990,,,$226.40,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
Grand,Total:,,,,"$829,188.15",,"$919,318.38","$964,393.45","$1,034,849.00","$1,119,087.00","$84,238.00",,8.14
,,,,,End,of Report,,,,,,,
,Adopted,04/09/2025,,,,,,,,,,Page 44 of 91,
