,,,,,RSU,No.,5,,,,,,
Article 5,Student and,Staff,Support - Adopted,,,,,,,,,,
From Date:,3/22/2023,To,Date: 3/22/2023,Definition:,,FY24,Proposed,,,,,,
,,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted,Dollar,Difference,,Difference
,,,,,,,,,FY24,Adopted,,,
Account,,Description,,,,,,,,,,,
1000.0000.2213.51500.050,,Stipends-Acad,Leadership and LCC,$0.00,,$0.00,"$20,620.50",,"$19,700.00","$25,191.00",,"$5,491.00",27.87
1000.0000.2213.51500.300,,Stipends-Acad,Leadership and LCC,"$19,716.82","$29,304.53",,"$34,176.00",,"$17,880.00","$24,804.00",,"$6,924.00",38.72
1000.0000.2213.51500.950,,New Educator,Mentors K-8,"$103,090.45","$127,809.75",,,"$8,904.00","$38,384.00","$23,265.00",,"($15,119.00)",(39.39)
1000.0000.2213.51500.990,,New Educator,Mentors 9-12,$0.00,,$0.00,,$0.00,$0.00,"$10,176.00",,"$10,176.00",0.00
1000.0000.2213.52000.010,,Stipend Benefits,- DCS,$0.00,,$0.00,,$528.39,$0.00,$0.00,,$0.00,0.00
1000.0000.2213.52000.020,,Stipend Benefits,- MSS,$0.00,,$0.00,,$318.99,$0.00,$0.00,,$0.00,0.00
1000.0000.2213.52000.030,,Stipend Benefits,- PES,$0.00,,$0.00,,$105.55,$0.00,$0.00,,$0.00,0.00
1000.0000.2213.52000.040,,Stipend Benefits,- MLS,$0.00,,$0.00,,$245.44,$0.00,$0.00,,$0.00,0.00
1000.0000.2213.52000.050,,Stipend Benefits,- FMS,$0.00,,$0.00,,$936.22,$0.00,$0.00,,$0.00,0.00
1000.0000.2213.52000.300,,Stipend Benefits,- FHS,"$3,179.32",,$6.56,,"$1,400.70","$2,872.00","$2,872.00",,$0.00,0.00
1000.0000.2213.52000.950,,Stipend Benefits,- K-8,$565.46,,$79.34,,$333.48,"$1,919.00","$1,919.00",,$0.00,0.00
1000.0000.2213.52010.300,,9-12,HONORARIUM BENEFITS,$169.88,,$0.00,,$428.26,$183.00,$183.00,,$0.00,0.00
1000.0000.2213.52010.950,,K-8 HONORARIUM,BENEFITS,"$1,863.98",,$0.00,"$11,243.54",,$750.00,$750.00,,$0.00,0.00
1000.0000.2213.52030.300,,Substitute,Benefit,$0.00,,$0.00,,$139.24,$0.00,$0.00,,$0.00,0.00
1000.0000.2213.52030.950,,Sub Benefits,,$0.00,,$0.00,,$0.00,$250.00,$0.00,,($250.00),(100.00)
1000.0000.2213.52300.010,,Stipend,Retirement - DCS,$0.00,,$0.00,,"$1,171.71",$0.00,$0.00,,$0.00,0.00
1000.0000.2213.52300.020,,Stipend,Retirement - MSS,$0.00,,$0.00,,$877.85,$0.00,$0.00,,$0.00,0.00
1000.0000.2213.52300.030,,Stipend,Retirement - PES,$0.00,,$0.00,,$216.82,$0.00,$0.00,,$0.00,0.00
1000.0000.2213.52300.040,,Stipend,Retirement - MLS,$0.00,,$0.00,,$528.01,$0.00,$0.00,,$0.00,0.00
1000.0000.2213.52300.050,,Stipend,Retirement - FMS,$0.00,,$0.00,,$791.87,$0.00,$0.00,,$0.00,0.00
1000.0000.2213.52300.300,,Stipend,Retirement - FHS,$650.20,,$0.00,,"$1,331.41","$2,389.00","$2,839.00",,$450.00,18.84
1000.0000.2213.52300.950,,Stipend,Retirement - K-8,$20.37,,$4.99,,$350.68,"$1,597.00","$1,597.00",,$0.00,0.00
1000.0000.2213.52310.300,,9-12,HONORARIUM RETIREMENT,$73.85,,$0.00,,$167.24,$152.00,$152.00,,$0.00,0.00
1000.0000.2213.52310.950,,K-8 HONORARIUM,RETIREMENT,$204.77,,$0.00,,$958.94,$624.00,$624.00,,$0.00,0.00
,03/22/2023,,,,,,,,,,,Page 33,
