,,,,,RSU 5,,,,,,
,,,,2024-2025,BOARD ADOPTED,,BUDGET,,,,
Article,#,,,Description,FY24,Adopted,FY25,Adopted,Difference,,Difference
,,,,,2023-2024,,2023-2024,,$,,%
Article,1,Regular,Instruction,,,"($17,072,759)","($18,390,052)",,,"($1,317,293)",7.72%
,,,,,Budget,,Budget,,,,
Article,2,Special,Education,,($,"5,366,821)",($,"5,870,507)",($,"503,686)",9.39%
Article,3,Career,& Technical,Education,($,"272,017)",($,"289,668)",($,"17,651)",6.49%
Article,4,Other,Instruction,(Co-Curricular &,Athletics) ($,"1,044,071)",($,"1,034,849)",($,"(9,222)",-0.88%
Article,5,Student,& Staff,Support,($,"3,867,554)",($,"4,371,246)",($,"503,692)",13.02%
Article,6,System,Administration,,($,"1,074,251)",($,"1,179,440)",($,"105,189)",9.79%
Article,7,School,Administration,,($,"2,067,029)",($,"2,342,210)",($,"275,181)",13.31%
Article,8,,Transportation &,Buses,($,"1,551,608)",($,"1,586,682)",($,"35,074)",2.26%
Article,9,Facilities,Maintenance,,($,"5,219,819)",($,"5,139,408)",($,"(80,411)",-1.54%
Article,10,Debt,Service &,Other Commitments,($,"1,139,395)",($,"1,111,064)",($,"(28,331)",-2.49%
Article,11,All Other,Expenses,(Nutrition),($,"293,245)",($,"185,334)",,"($(107,911)",-36.80%
,,,,Total Articles 1-11,Budget,"($38,968,569)","($41,500,460)",,,"($2,531,891)",6.50%
,,Adult,Education,,($,"112,000)",($,"112,000)",($,- ),0.00%
,,,,Total Operating,Budget,"($39,080,569)","($41,612,460)",,,"($2,531,891)",6.48%
,,Cost,Centers,,,,,,,,
,,010 =,Durham,Community School,,,,,,,
,,020 =,Morse Street,School,,,,,,,
,,030 =,Pownal,Elementary School,,,,,,,
,,040 =,Mast Landing,School,,,,,,,
,,050 =,Freeport,Middle School,,,,,,,
,,300 =,Freeport High,School,,,,,,,
,,900 =,District Wide,,,,,,,,
,,950 =,K-8,,,,,,,,
,,990 =,9-12,,,,,,,,
,,,,,,,,,,,kmw 03-27-2024
,03/27/2024,,,,,,,,,,2 of 81
