,,,,RSU,No. 5,,,,,,,
FY27,Article,7 School,Administration- Proposed,,,,,,,,,
From,Date:,7/1/2026,To Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,FY27,,Dollar,Percent
,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,Description,,,,,,,,,
,1000.0000.2400.52380.030,,Retirement,$7.82,,$63.77,"$2,487.56","$2,581.00","$2,630.00",,$49.00,1.90
,1000.0000.2400.53400.030,,Other Professional Services,$0.00,,$0.00,$0.00,$240.00,$240.00,,$0.00,0.00
,1000.0000.2400.55310.030,,Postage,$300.84,,$228.21,$116.49,$400.00,$300.00,,($100.00),(25.00)
,1000.0000.2400.55800.030,,Travel,$533.12,,$761.20,$349.32,$450.00,$450.00,,$0.00,0.00
,1000.0000.2400.56000.030,,Supplies,$236.86,,$28.60,$239.94,$300.00,$300.00,,$0.00,0.00
,1000.0000.2400.56400.030,,Admin Books,$0.00,,$273.16,$455.60,$500.00,$500.00,,$0.00,0.00
,1000.0000.2400.58100.030,,Dues & Fees,$539.00,,$259.00,$259.00,$275.00,$275.00,,$0.00,0.00
,Program:,OVERHEAD - 0000,,"$200,431.55","$161,056.90",,"$234,115.17","$243,903.00","$257,979.00","$14,076.00",,5.77
,Function: SCHOOL,ADMINISTRATION,- 2400,"$200,431.55","$161,056.90",,"$234,115.17","$243,903.00","$257,979.00","$14,076.00",,5.77
Cost,Center:,POWNAL ELEMENTARY,- 030,"$200,431.55","$161,056.90",,"$234,115.17","$243,903.00","$257,979.00","$14,076.00",,5.77
,1000.0000.2400.51040.040,,Admin Salaries,"$120,627.11",,$0.00,"$229,266.00","$243,393.00","$256,782.00","$13,389.00",,5.50
,1000.0000.2400.51180.040,,Support Wages,"$49,081.81","$54,617.68",,"$60,294.73","$63,202.00","$64,020.00",,$818.00,1.29
,1000.0000.2400.52040.040,,Admin Benefits,"$19,357.11",,$892.36,"$16,697.60","$30,440.00","$34,589.00",,"$4,149.00",13.63
,1000.0000.2400.52080.040,,Support Benefits,"$12,861.19","$15,564.04",,"$15,204.48","$20,426.00","$26,910.00",,"$6,484.00",31.74
,1000.0000.2400.52340.040,,Retirement,"$4,602.01",,$0.00,"$10,248.21","$10,880.00","$11,478.00",,$598.00,5.50
,1000.0000.2400.52380.040,,Retirement,"$1,837.95",,"$2,057.48","$2,371.95","$3,160.00","$3,457.00",,$297.00,9.40
,1000.0000.2400.53400.040,,Other Professional Services,$0.00,,$0.00,$0.00,$240.00,$240.00,,$0.00,0.00
,1000.0000.2400.55310.040,,Postage,"$1,820.00",,"$1,160.32","$1,491.86","$1,400.00","$1,400.00",,$0.00,0.00
,,,,Page,71 of 89,,,,,,,
