,,,,,,,RSU,No.,5,,,,,
FY25,Article,7 School,,,Administration-,Proposed,,,,,,,,
From,Date:,3/1/2024,,To,Date: 3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,,Percent
,,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
,Account,,,Description,,,,,,,,,,
,1000.0000.2400.56000.030,,,Supplies,,$184.60,,$294.54,,$236.86,$300.00,$300.00,$0.00,0.00
,1000.0000.2400.56400.030,,Admin,Books,,$0.00,,$0.00,,$0.00,$300.00,$500.00,$200.00,66.67
,1000.0000.2400.58100.030,,Dues,& Fees,,$429.00,,$234.00,,$539.00,$400.00,$275.00,($125.00),(31.25)
,Program:,OVERHEAD - 0000,,,,"$166,286.98","$172,233.00",,"$200,431.55",,"$199,851.00","$228,423.00","$28,572.00",14.30
,Function: SCHOOL,,ADMINISTRATION,-,2400,"$166,286.98","$172,233.00",,"$200,431.55",,"$199,851.00","$228,423.00","$28,572.00",14.30
Cost,Center:,POWNAL,ELEMENTARY,- 030,,"$166,286.98","$172,233.00",,"$200,431.55",,"$199,851.00","$228,423.00","$28,572.00",14.30
,1000.0000.2400.51040.040,,Admin,Salaries,,"$110,948.89","$108,332.18",,"$120,627.11",,"$117,628.00","$255,449.00","$137,821.00",117.17
,1000.0000.2400.51180.040,,,Support,Wages,"$49,988.67","$47,315.07",,"$49,081.81",,"$47,563.00","$58,851.00","$11,288.00",23.73
,1000.0000.2400.52040.040,,Admin,Benefits,,"$22,775.77","$24,797.81",,"$18,599.60",,"$32,414.00","$11,672.00","($20,742.00)",(63.99)
,1000.0000.2400.52080.040,,,Support,Benefits,"$9,607.65","$15,101.72",,"$12,861.19",,"$16,880.00","$19,131.00","$2,251.00",13.34
,1000.0000.2400.52340.040,,,Retirement,,"$1,708.90","$4,246.17",,,"$4,602.01","$5,468.00","$5,742.00",$274.00,5.01
,1000.0000.2400.52380.040,,,Retirement,,$0.00,,$742.66,,"$1,837.95","$1,956.00","$2,943.00",$987.00,50.46
,1000.0000.2400.53400.040,,Other,,Professional Services,$0.00,,$0.00,,$0.00,$0.00,$240.00,$240.00,0.00
,1000.0000.2400.55310.040,,,Postage,,$528.67,,$918.37,,"$1,820.00","$1,500.00","$1,500.00",$0.00,0.00
,1000.0000.2400.55800.040,,Travel,,,$16.24,,$31.59,,$22.50,$300.00,$300.00,$0.00,0.00
,1000.0000.2400.56000.040,,,Supplies,,$0.00,,$51.69,,$249.72,$250.00,$250.00,$0.00,0.00
,1000.0000.2400.56400.040,,Admin,Books,,$0.00,,$0.00,,$0.00,$100.00,$100.00,$0.00,0.00
,1000.0000.2400.58100.040,,Dues,& Fees,,$0.00,,$399.00,,$340.00,$399.00,$739.00,$340.00,85.21
,1000.0000.2400.58150.040,,,Fingerprinting,Fees,$0.00,,$125.00,,$0.00,$0.00,$0.00,$0.00,0.00
,Program:,OVERHEAD - 0000,,,,"$195,574.79","$202,061.26",,"$210,041.89",,"$224,458.00","$356,917.00","$132,459.00",59.01
,Function: SCHOOL,,ADMINISTRATION,-,2400,"$195,574.79","$202,061.26",,"$210,041.89",,"$224,458.00","$356,917.00","$132,459.00",59.01
Cost,Center:,MAST LANDING,- 040,,,"$195,574.79","$202,061.26",,"$210,041.89",,"$224,458.00","$356,917.00","$132,459.00",59.01
,03/13/2024,,,,,,,,,,,,66,
