,,,,,,RSU,No.,5,,,,,,
Article,9 Operations,&,Maintenance-,Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2600.52080.030,Custodian,Benefits,,"$26,590.00",$0.00,"$26,590.00",,$808.54,$808.54,"$25,781.46",$0.00,"$25,781.46",96.96%
,1000.0000.2600.52380.030,,Retirement,,"$4,786.00",$0.00,"$4,786.00",,$0.00,$0.00,"$4,786.00",$0.00,"$4,786.00",100.00%
,1000.0000.2600.54300.030,Purchased,Repairs/Maint,,"$36,879.00",$0.00,"$36,879.00",,$234.46,$234.46,"$36,644.54","$3,258.06","$33,386.48",90.53%
,1000.0000.2600.55200.030,Insurance,,,"$12,666.00",$0.00,"$12,666.00",,"$12,750.00","$12,750.00",($84.00),$0.00,($84.00),-0.66%
,1000.0000.2600.55320.030,Telephone,,,"$3,057.00",$0.00,"$3,057.00",,$0.00,$0.00,"$3,057.00",$0.00,"$3,057.00",100.00%
,1000.0000.2600.56000.030,Supplies,,,"$12,500.00",$0.00,"$12,500.00",,$0.00,$0.00,"$12,500.00",$0.00,"$12,500.00",100.00%
,1000.0000.2600.56011.030,Materials,for Repair,,"$6,000.00",$0.00,"$6,000.00",,$0.00,$0.00,"$6,000.00",$0.00,"$6,000.00",100.00%
,1000.0000.2600.56013.030,Major,Maintenance,,"$5,900.00",$0.00,"$5,900.00",,$0.00,$0.00,"$5,900.00",$0.00,"$5,900.00",100.00%
,1000.0000.2600.56220.030,Electricity,,,"$4,000.00",$0.00,"$4,000.00",,$0.00,$0.00,"$4,000.00",$0.00,"$4,000.00",100.00%
,1000.0000.2600.56240.030,Heating,Fuel,,"$29,500.00",$0.00,"$29,500.00",,$0.00,$0.00,"$29,500.00",$0.00,"$29,500.00",100.00%
,,,Program: OVERHEAD,- 0000,"$237,602.00",$0.00,"$237,602.00",,"$17,540.76","$17,540.76","$220,061.24","$94,052.78","$126,008.46",53.03%
,Function:,,OPERATION OF,PLANT - 2600,"$237,602.00",$0.00,"$237,602.00",,"$17,540.76","$17,540.76","$220,061.24","$94,052.78","$126,008.46",53.03%
,Cost,Center: POWNAL,ELEMENTARY,- 030,"$237,602.00",$0.00,"$237,602.00",,"$17,540.76","$17,540.76","$220,061.24","$94,052.78","$126,008.46",53.03%
,1000.0000.2600.51180.040,Custodian,Salaries,,"$141,512.00",$0.00,"$141,512.00",,"$4,041.60","$4,041.60","$137,470.40","$99,019.20","$38,451.20",27.17%
,1000.0000.2600.52080.040,Custodian,Benefits,,"$79,701.00",$0.00,"$79,701.00",,"$1,626.66","$1,626.66","$78,074.34",$0.00,"$78,074.34",97.96%
,1000.0000.2600.52380.040,,Retirement,,"$7,076.00",$0.00,"$7,076.00",,$202.08,$202.08,"$6,873.92",$0.00,"$6,873.92",97.14%
,1000.0000.2600.53300.040,Employee,Training,,$125.00,$0.00,,$125.00,$0.00,$0.00,$125.00,$0.00,$125.00,100.00%
,1000.0000.2600.54100.040,,Water/Sewage,,"$11,287.00",$0.00,"$11,287.00",,$120.70,$120.70,"$11,166.30",$0.00,"$11,166.30",98.93%
,1000.0000.2600.54300.040,Purchased,Repairs/Maint,,"$49,399.00",$0.00,"$49,399.00",,$500.25,$500.25,"$48,898.75","$5,502.75","$43,396.00",87.85%
,1000.0000.2600.55200.040,Insurance,,,"$19,903.00",$0.00,"$19,903.00",,"$19,987.00","$19,987.00",($84.00),$0.00,($84.00),-0.42%
,1000.0000.2600.55320.040,Telephone,,,"$4,337.00",$0.00,"$4,337.00",,$0.00,$0.00,"$4,337.00",$0.00,"$4,337.00",100.00%
,1000.0000.2600.56000.040,Supplies,,,"$24,000.00",$0.00,"$24,000.00",,$0.00,$0.00,"$24,000.00",$0.00,"$24,000.00",100.00%
,1000.0000.2600.56011.040,Material,Repair,,"$4,900.00",$0.00,"$4,900.00",,$0.00,$0.00,"$4,900.00",$0.00,"$4,900.00",100.00%
,1000.0000.2600.56013.040,Major,Maintenance,,"$13,000.00",$0.00,"$13,000.00",,$0.00,$0.00,"$13,000.00",$0.00,"$13,000.00",100.00%
,1000.0000.2600.56220.040,Electricity,,,"$6,773.00",$0.00,"$6,773.00",,$0.00,$0.00,"$6,773.00",$0.00,"$6,773.00",100.00%
,1000.0000.2600.56240.040,Heating,Fuel,,"$43,000.00",$0.00,"$43,000.00",,$0.00,$0.00,"$43,000.00",$0.00,"$43,000.00",100.00%
,,,Program: OVERHEAD,- 0000,"$405,013.00",$0.00,"$405,013.00",,"$26,478.29","$26,478.29","$378,534.71","$104,521.95","$274,012.76",67.66%
,Function:,,OPERATION OF,PLANT - 2600,"$405,013.00",$0.00,"$405,013.00",,"$26,478.29","$26,478.29","$378,534.71","$104,521.95","$274,012.76",67.66%
,,Cost Center:,MAST,LANDING - 040,"$405,013.00",$0.00,"$405,013.00",,"$26,478.29","$26,478.29","$378,534.71","$104,521.95","$274,012.76",67.66%
,1000.0000.2600.51180.050,Custodian,Salaries,,"$231,545.00",$0.00,"$231,545.00",,"$7,268.86","$7,268.86","$224,276.14","$209,853.03","$14,423.11",6.23%
,1000.0000.2600.52080.050,Custodian,Benefits,,"$104,599.00",$0.00,"$104,599.00",,"$1,745.49","$1,745.49","$102,853.51",$0.00,"$102,853.51",98.33%
,1000.0000.2600.52380.050,,Retirement,,"$11,577.00",$0.00,"$11,577.00",,$102.08,$102.08,"$11,474.92",$0.00,"$11,474.92",99.12%
,,,,,,Page,40 of,44,,,,,,
,,,,,,RSU,No.,5,,,,,,
Article,9 Operations,&,Maintenance-,Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2600.54100.050,,Water/Sewage,,"$13,562.00",$0.00,"$13,562.00",,$180.88,$180.88,"$13,381.12",$0.00,"$13,381.12",98.67%
,1000.0000.2600.54300.050,Purchased,Repair,,"$53,675.00",$0.00,"$53,675.00",,$531.24,$531.24,"$53,143.76","$5,843.64","$47,300.12",88.12%
,1000.0000.2600.55200.050,Insurance,,,"$18,813.00",$0.00,"$18,813.00",,"$18,897.00","$18,897.00",($84.00),$0.00,($84.00),-0.45%
,1000.0000.2600.55320.050,Telephone,,,"$9,183.00",$0.00,"$9,183.00",,$0.00,$0.00,"$9,183.00",$0.00,"$9,183.00",100.00%
,1000.0000.2600.56000.050,Supplies,,,"$24,300.00",$0.00,"$24,300.00",,$0.00,$0.00,"$24,300.00",$719.91,"$23,580.09",97.04%
,1000.0000.2600.56011.050,Materials,for Repair,,"$5,900.00",$0.00,"$5,900.00",,$0.00,$0.00,"$5,900.00",$0.00,"$5,900.00",100.00%
,1000.0000.2600.56013.050,Major,Maintenance,,"$6,000.00",$0.00,"$6,000.00",,$0.00,$0.00,"$6,000.00",$0.00,"$6,000.00",100.00%
,1000.0000.2600.56220.050,Electricity,,,"$13,000.00",$0.00,"$13,000.00",,$0.00,$0.00,"$13,000.00",$0.00,"$13,000.00",100.00%
,1000.0000.2600.56240.050,Heating,Fuel,,"$55,000.00",$0.00,"$55,000.00",,$0.00,$0.00,"$55,000.00",$0.00,"$55,000.00",100.00%
,,Program:,OVERHEAD,- 0000,"$547,154.00",$0.00,"$547,154.00",,"$28,725.55","$28,725.55","$518,428.45","$216,416.58","$302,011.87",55.20%
,,Function: OPERATION,OF,PLANT - 2600,"$547,154.00",$0.00,"$547,154.00",,"$28,725.55","$28,725.55","$518,428.45","$216,416.58","$302,011.87",55.20%
,Cost Center:,FREEPORT,MIDDLE,SCHOOL - 050,"$547,154.00",$0.00,"$547,154.00",,"$28,725.55","$28,725.55","$518,428.45","$216,416.58","$302,011.87",55.20%
,1000.0000.2600.51180.300,Custodian,Salaries,,"$215,886.00",$0.00,"$215,886.00",,"$3,347.86","$3,347.86","$212,538.14","$135,573.20","$76,964.94",35.65%
