,,,,,,,RSU,No. 5,,,,,,,
FY27,Article,5 Student,,and Staff,Support-,Proposed,,,,,,,,,
From,Date:,7/1/2026,,To,Date:,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
Account,,,,,,Description,,,,,,,,,
Function:,HEALTH,SERVICES,- 2130,,,,"$83,942.08","$87,774.99",,"$101,243.06","$103,004.00","$110,095.00",,"$7,091.00",6.88
,1000.0000.2213.51500.050,,,,Stipends-Acad,Leadership,"$28,530.00","$30,533.97",,"$26,915.50","$28,103.00","$28,103.00",,$0.00,0.00
,,,,,and LCC,,,,,,,,,,
,1000.0000.2213.52000.050,,,,Stipend,Benefits - FMS,"$4,630.26",,"$5,052.70","$4,874.18",$944.00,$944.00,,$0.00,0.00
,1000.0000.2213.52300.050,,,,Stipend,Retirement - FMS,"$1,095.64",,"$1,364.74","$1,202.24","$1,256.00","$1,256.00",,$0.00,0.00
,1000.0000.2213.52510.050,,,,Tuition,,$0.00,,$0.00,$924.75,$0.00,$0.00,,$0.00,0.00
,,,,,,Reimbursement-Teacher,,,,,,,,,
Program:,OVERHEAD,- 0000,,,,,"$34,255.90","$36,951.41",,"$33,916.67","$30,303.00","$30,303.00",,$0.00,0.00
Function:,,INSTRUCTIONAL,STAFF,TRAINING,- 2213,,"$34,255.90","$36,951.41",,"$33,916.67","$30,303.00","$30,303.00",,$0.00,0.00
,1000.0000.2220.51010.050,,,,Librarian,Salaries,"$75,696.16","$79,381.15",,"$85,819.31","$91,684.00","$104,810.00","$13,126.00",,14.32
,1000.0000.2220.51020.050,,,,Ed Tech,Salaries,"$9,170.00",,$502.52,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.0000.2220.52010.050,,,,Librarian,Benefits,"$17,522.07","$18,380.20",,"$31,937.61","$28,045.00","$30,342.00",,"$2,297.00",8.19
,1000.0000.2220.52020.050,,,,Ed Tech,Benefits,$779.77,,$7.83,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.0000.2220.52310.050,,,,Retirement,,"$2,906.77",,"$3,548.37","$3,821.60","$4,098.00","$4,685.00",,$587.00,14.32
,1000.0000.2220.52320.050,,,,Retirement,,$115.80,,$22.46,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.0000.2220.54330.050,,,,Software,,"$1,043.00",,"$1,275.42","$1,319.05","$1,500.00","$1,500.00",,$0.00,0.00
,1000.0000.2220.56000.050,,,,Supplies,,$497.04,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.0000.2220.56100.050,,,,Instructional,Supplies,$0.00,,$464.68,$495.65,$500.00,$500.00,,$0.00,0.00
,1000.0000.2220.56400.050,,,,Books,,"$5,832.57",,"$5,886.29","$6,362.19","$5,964.00","$5,964.00",,$0.00,0.00
Program:,OVERHEAD,- 0000,,,,,"$113,563.18","$109,468.92",,"$129,755.41","$131,791.00","$147,801.00","$16,010.00",,12.15
,,,,,,,Page,57 of 89,,,,,,,
