,,,,,,,RSU,No. 5,,,,,,,
,Article,9,Operations &,Maintenance-,Adopted,,,,,,,,,,
From,Date:,,7/1/2025,To,Date: 6/30/2026,Definition:,FY26,Proposed,,,,,,,
,,,,,,,,,,,,FY26,,Dollar,Percent
,,,,,,FY22 Actual,,FY23,Actual FY24,Actual FY25,Adopted,Proposed,Difference,,Difference
,Account,,,,Description,,,,,,,,,,
,,1000.0000.2600.51180.010,,,Salaries,"$168,699.54",,"$194,423.20",,"$196,250.92","$197,358.00","$208,967.00","$11,609.00",,5.88
,,1000.0000.2600.52080.010,,,Custodian Benefits,"$46,898.86",,,"$53,127.43","$52,480.60","$56,719.00","$57,506.00",,$787.00,1.39
,,1000.0000.2600.52380.010,,,Retirement,$764.05,,,"$1,677.39","$1,716.00","$9,868.00","$10,448.00",,$580.00,5.88
,,1000.0000.2600.53000.010,,,Purchased Professional,,$0.00,,$0.00,$0.00,$0.00,$118.00,,$118.00,0.00
,,1000.0000.2600.53300.010,,,Employee Training,,$0.00,,$0.00,$0.00,$125.00,$125.00,,$0.00,0.00
,,1000.0000.2600.54300.010,,,Purchased Repairs/Maint,"$85,022.55",,,"$96,340.60","$128,554.36","$104,144.00","$117,387.00","$13,243.00",,12.72
,,1000.0000.2600.55200.010,,,Insurance,"$32,411.20",,,"$32,679.04","$20,520.21","$43,425.00","$47,860.00",,"$4,435.00",10.21
,,1000.0000.2600.55320.010,,,Telephone,"$4,552.16",,,"$9,217.33","$10,135.01","$9,494.00","$9,494.00",,$0.00,0.00
,,1000.0000.2600.55800.010,,,Travel,,$0.00,,$0.00,$45.56,$0.00,$15.00,,$15.00,0.00
,,1000.0000.2600.56000.010,,,Supplies,"$21,856.51",,,"$31,415.80","$22,761.80","$28,500.00","$29,600.00",,"$1,100.00",3.86
,,1000.0000.2600.56011.010,,,Materials for Repair,"$2,554.61",,,"$2,321.61","$6,592.30","$9,100.00","$10,100.00",,"$1,000.00",10.99
,,1000.0000.2600.56013.010,,,Major Maintenance,"$10,610.00",,,"$4,980.32","$2,355.00","$16,500.00","$16,705.00",,$205.00,1.24
,,1000.0000.2600.56050.010,,,Furniture & Equipment,- $244.07,,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
,,,,,Non Instructional DCS,,,,,,,,,,
,,1000.0000.2600.56220.010,,,Electricity - Durham,"$123,515.62",,,"$86,520.41","$87,261.02","$87,271.00","$144,000.00","$56,729.00",,65.00
