,,,,,,RSU,No.,5,,,,,
Article 5,Student and,Staff,,Support - Proposed,,,,,,,,,
From Date:,3/22/2023,,To,Date: 3/22/2023,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,,
1000.0000.2130.51010.030,,Nurse,Salary,,"$51,907.94","$57,691.95",,"$55,632.97",,"$57,971.00","$60,909.00","$2,938.00",5.07
1000.0000.2130.51010.040,,Nurse,Salary,,"$67,501.98","$42,911.55",,"$46,120.74",,"$54,882.00","$58,582.00","$3,700.00",6.74
1000.0000.2130.51010.050,,Nurse,Salary,,"$39,687.44","$59,981.69",,"$70,014.42",,"$72,067.00","$75,001.00","$2,934.00",4.07
1000.0000.2130.51010.300,,Nurse,Salary,,"$61,708.78","$68,846.06",,"$66,700.84",,"$69,892.00","$73,228.00","$3,336.00",4.77
1000.0000.2130.51200.010,,Nurse,Substitute,- DCS,$0.00,,$0.00,,"$1,470.00",$0.00,$0.00,$0.00,0.00
1000.0000.2130.51200.020,,Nurse,Substitute,- MSS,$0.00,,$0.00,,$690.00,$0.00,$0.00,$0.00,0.00
1000.0000.2130.51200.030,,Nurse,Substitute,- PES,$0.00,,$0.00,,$420.00,$0.00,$0.00,$0.00,0.00
1000.0000.2130.51200.040,,Nurse,Substitute,- MLS,$0.00,,$0.00,"$40,977.56",,$0.00,$0.00,$0.00,0.00
1000.0000.2130.51200.050,,Nurse,Substitute,- FMS,$0.00,,$0.00,,"$1,190.00",$0.00,$0.00,$0.00,0.00
1000.0000.2130.51200.300,,Nurse,Substitute,- FHS,$0.00,,$0.00,,"$1,750.00",$0.00,$0.00,$0.00,0.00
1000.0000.2130.51500.900,,,Doctor-Consulting,Physician-Stipend,$0.00,,$0.00,,$0.00,$0.00,"$1,500.00","$1,500.00",0.00
1000.0000.2130.52000.010,,,Employee,Benefits,$0.00,,$0.00,,$28.70,$0.00,$0.00,$0.00,0.00
1000.0000.2130.52000.020,,,Employee,Benefits,$0.00,,$0.00,,$36.96,$0.00,$0.00,$0.00,0.00
1000.0000.2130.52000.030,,,Employee,Benefits,$0.00,,$0.00,,$15.76,$0.00,$0.00,$0.00,0.00
1000.0000.2130.52000.040,,,Employee,Benefits,$0.00,,$0.00,,"$1,388.79",$0.00,$0.00,$0.00,0.00
1000.0000.2130.52000.050,,,Employee,Benefits,$0.00,,$0.00,,"$8,591.83",$0.00,$0.00,$0.00,0.00
1000.0000.2130.52000.300,,,Employee,Benefits,$0.00,,$0.00,,$37.81,$0.00,$0.00,$0.00,0.00
1000.0000.2130.52000.900,,Doctor,-,Consulting Physician - Ben,$0.00,,$0.00,,$0.00,$0.00,$27.00,$27.00,0.00
1000.0000.2130.52010.010,,Nurse,Benefits,,"$15,120.47","$3,342.45",,"$20,269.20",,"$16,073.00","$20,643.00","$4,570.00",28.43
1000.0000.2130.52010.020,,Nurse,Benefits,,"$4,785.19","$2,763.51",,,"$3,459.61","$5,683.00","$5,332.00",($351.00),(6.18)
1000.0000.2130.52010.030,,Nurse,Benefits,,"$16,953.50","$4,185.48",,"$16,178.77",,"$21,576.00","$18,694.00","($2,882.00)",(13.36)
1000.0000.2130.52010.040,,Nurse,Benefits,,"$5,923.84",,$169.67,,"$4,547.34","$5,245.00","$4,806.00",($439.00),(8.37)
1000.0000.2130.52010.050,,Nurse,Benefits,,"$12,360.40","$2,769.54",,,"$4,948.02","$5,121.00","$5,173.00",$52.00,1.02
1000.0000.2130.52010.300,,,Nurses Benefits,,"$21,149.41","$4,716.65",,"$21,312.53",,"$21,844.00","$23,302.00","$1,458.00",6.67
,03/22/2023,,,,,,,,,,,Page 30,
