,,,,,,,RSU,No.,5,,,,,
FY25,Article,2 Special,,Education-,Proposed,,,,,,,,,
From,Date:,3/1/2024,,To Date:,3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,,Percent
,,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
Function:,Attendance,& Social,Work -,2110,,"$35,815.15","$44,150.30",,"$46,062.98",,"$50,480.00","$53,010.00","$2,530.00",5.01
,1000.2800.2140.51010.020,,,Psychological,Services Salary,"$32,555.17",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.52010.020,,Psych,Services,Benefit,"$1,247.01",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.52310.020,,Retirement,,,$294.30,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.55800.020,,Travel,,,$0.00,,$0.00,,$125.00,$0.00,$0.00,$0.00,0.00
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,"$34,096.48",,$0.00,,$125.00,$0.00,$0.00,$0.00,0.00
Function:,,PSYCHOLOGICAL,- 2140,,,"$34,096.48",,$0.00,,$125.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2150.51010.020,,Speech,&,Audiology Salaries,"$54,523.56","$58,828.86",,"$101,761.77",,"$115,157.00","$107,133.00","($8,024.00)",(6.97)
,1000.2800.2150.52010.020,,Speech,&,Audiology Benefits,"$2,158.34","$9,862.16",,"$14,037.73",,"$17,767.00","$29,381.00","$11,614.00",65.37
,1000.2800.2150.52310.020,,Retirement,,,$528.06,"$2,259.13",,,"$3,907.57","$5,148.00","$5,243.00",$95.00,1.85
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,"$57,209.96","$70,950.15",,"$119,707.07",,"$138,072.00","$141,757.00","$3,685.00",2.67
Function:,SPEECH,& AUDIOLOGY,-,2150,,"$57,209.96","$70,950.15",,"$119,707.07",,"$138,072.00","$141,757.00","$3,685.00",2.67
,1000.2800.2160.51010.020,,OT,Salary,,"$30,418.69","$36,414.62",,"$69,709.75",,"$72,925.00","$66,108.00","($6,817.00)",(9.35)
,1000.2800.2160.52010.020,,OT,Benefits,,"$3,302.79","$2,875.04",,,"$7,926.28","$9,776.00","$16,583.00","$6,807.00",69.63
,1000.2800.2160.52310.020,,Retirement,,,$327.18,"$1,441.68",,,"$2,738.00","$3,256.00","$3,263.00",$7.00,0.21
,1000.2800.2160.55800.020,,Travel,,,$0.00,,$0.00,,$55.63,$0.00,$0.00,$0.00,0.00
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,"$34,048.66","$40,731.34",,"$80,429.66",,"$85,957.00","$85,954.00",($3.00),0.00
Function:,OT -,2160,,,,"$34,048.66","$40,731.34",,"$80,429.66",,"$85,957.00","$85,954.00",($3.00),0.00
Cost,Center:,MORSE STREET,- 020,,,"$585,577.75","$455,161.66",,"$640,769.07",,"$734,530.00","$809,779.00","$75,249.00",10.24
,03/13/2024,,,,,,,,,,,,17,
