,,,,,RSU,No.,5,,,,,,
,Article 6,System,Administration - Adopted,,,,,,,,,,
From,Date:,3/22/2023,To Date:,3/22/2023 Definition:,,FY24,Proposed,,,,,,
,,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted,Dollar,Difference,,Difference
,,,,,,,,,FY24,Adopted,,,
,Account,,Description,,,,,,,,,,
,1000.0000.2320.56400.900,,Books,$40.00,,$506.25,,$23.96,$300.00,$100.00,,($200.00),(66.67)
,1000.0000.2320.57340.900,,Technology Equipment,"($8,136.04)",,$557.90,,$0.00,"$2,000.00","$1,000.00",,"($1,000.00)",(50.00)
,1000.0000.2320.58100.900,,Dues and Fees,"$9,055.03","$12,387.80",,"$11,579.74",,"$11,000.00","$6,406.00",,"($4,594.00)",(41.76)
,1000.0000.2320.59000.900,,Aspirations / Miscellaneous,"$5,000.00",,$0.00,"$11,927.48",,"$12,172.00","$8,600.00",,"($3,572.00)",(29.35)
,1000.0000.2500.51040.900,,Administrator Salary,"$99,948.36","$116,394.97",,"$169,613.56",,"$107,120.00","$109,200.00",,"$2,080.00",1.94
,1000.0000.2500.51180.900,,Salaries,"$157,762.30","$151,962.36",,"$167,949.65",,"$176,005.00","$170,726.00",,"($5,279.00)",(3.00)
,1000.0000.2500.52040.900,,Admin Benefits,"$20,441.32","$7,460.21",,"$18,841.70",,"$20,506.00","$43,094.00",,"$22,588.00",110.15
,1000.0000.2500.52080.900,,Benefits,"$43,718.08","$34,474.33",,"$44,249.41",,"$56,348.00","$56,221.00",,($127.00),(0.23)
,1000.0000.2500.52340.900,,Retirement,$0.00,,$0.00,,$0.00,"$10,819.00","$5,678.00",,"($5,141.00)",(47.52)
,1000.0000.2500.52380.900,,Retirement,$0.00,,$0.00,,$0.00,$0.00,"$8,877.00",,"$8,877.00",0.00
,1000.0000.2500.53300.900,,Training & Development,Services $0.00,,$0.00,,$0.00,"$2,100.00","$2,000.00",,($100.00),(4.76)
,1000.0000.2500.55800.900,,Travel,$0.00,,$0.00,,$52.65,$250.00,$250.00,,$0.00,0.00
,1000.0000.2500.55810.900,,Travel,$380.09,,$0.00,,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.0000.2500.56000.900,,Supplies,$0.00,,$0.00,,$0.00,$0.00,"$2,125.00",,"$2,125.00",0.00
,1000.0000.2500.58100.900,,Dues and Fees,"$4,254.97",,$0.20,,"$3,479.89","$3,500.00","$1,529.00",,"($1,971.00)",(56.31)
Grand,Total:,,,"$859,568.00","$898,751.93",,"$1,017,846.04",,"$1,082,988.00","$1,074,251.00",,"($8,737.00)",(0.81)
,,,,,End,of Report,,,,,,,
,,03/22/2023,,,,,,,,,,Page 41,
,,,,,RSU,No.,5,,,,,,
Article 7,School,Administration,- - Adopted,,,,,,,,,,
From Date:,3/22/2023,,To Date:,3/22/2023 Definition:,,FY24,Proposed,,,,,,
,,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted,Dollar,Difference,,Difference
,,,,,,,,,FY24,Adopted,,,
Account,,,Description,,,,,,,,,,
1000.0000.2400.51040.010,,Admin,Salary,"$206,448.92","$221,072.09",,"$216,412.08",,"$232,372.00","$229,606.00",,"($2,766.00)",(1.19)
1000.0000.2400.51040.020,,Admin,Salary,"$103,443.90","$111,372.40",,"$108,562.31",,"$115,408.00","$193,651.00",,"$78,243.00",67.80
1000.0000.2400.51040.030,,Admin,Salary,"$103,383.90","$111,353.31",,"$108,629.62",,"$115,408.00","$117,628.00",,"$2,220.00",1.92
