,,,,,,RSU,No.,5,,,,,
Article,9,Operations,&,Maintenance- Adopted,,,,,,,,,
From,Date:,7/1/2023,To,Date: 6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,
,1000.0000.2620.54300.900,,Purchased,Repair,"$35,399.78","$45,998.89",,"$32,975.88",,"$37,950.00","$38,000.00",$50.00,0.13
,1000.0000.2620.55800.900,,Travel,,"$4,849.64","$2,592.53",,,"$3,518.13","$8,050.00","$5,000.00","($3,050.00)",(37.89)
,1000.0000.2620.56000.900,,Supplies,,"$45,065.62","$43,156.22",,"$59,698.24",,"$55,981.00","$55,787.00",($194.00),(0.35)
,1000.0000.2620.57300.900,,Equipment,,"$1,557.70",,$880.22,"$11,215.01",,"$37,000.00","$37,000.00",$0.00,0.00
,1000.0000.2620.58100.900,,Dues & Fees,,$0.00,,$0.00,,$0.00,$0.00,$110.00,$110.00,0.00
Program:,,OVERHEAD -,0000,,"$535,397.18","$553,738.35",,"$508,948.55",,"$581,764.00","$730,382.00","$148,618.00",25.55
Function:,,MAINTENANCE,OF BUILDINGS,- 2620,"$535,397.18","$553,738.35",,"$508,948.55",,"$581,764.00","$730,382.00","$148,618.00",25.55
,1000.0000.2670.55900.900,,Crossing,Guards,$0.00,,$0.00,,$0.00,"$1,400.00","$1,400.00",$0.00,0.00
Program:,,OVERHEAD -,0000,,$0.00,,$0.00,,$0.00,"$1,400.00","$1,400.00",$0.00,0.00
Function:,Safety,- 2670,,,$0.00,,$0.00,,$0.00,"$1,400.00","$1,400.00",$0.00,0.00
,1000.0000.2680.58310.900,,Prinicpal-Central,Office Purchase,"$12,500.00","$11,250.00",,"$11,250.00",,$0.00,$0.00,$0.00,0.00
,1000.0000.2680.58320.900,,Interest-Central,Office Purchase,"$1,437.50",,$843.75,,$281.25,$0.00,$0.00,$0.00,0.00
Program:,,OVERHEAD -,0000,,"$13,937.50","$12,093.75",,"$11,531.25",,$0.00,$0.00,$0.00,0.00
Function:,CAPITAL,,ENHANCEMENT &,IMPROVEMENT -,"$13,937.50","$12,093.75",,"$11,531.25",,$0.00,$0.00,$0.00,0.00
2680,,,,,,,,,,,,,
,1000.0000.2690.54300.900,,Capital,Renewal/Track Replacement,"$70,000.00","$35,000.00",,"$70,000.00",,"$35,000.00","$35,000.00",$0.00,0.00
