,,,,,2019,2019,2020,2020,2021,2021,2022,,,
,,,,,Total,Budget Total Activity,Total Budget,Total Activity,Total Budget,YTD Activity,FY22 V1.2,$ Diff,% Diff,
129 Program:,1120 - K-2 PROGRAM,,,,,,,,,,,,,
130,Function:,1000 - REGULAR,INSTRUCTION,,,,,,,,,,,
131,,Cost Center:,010 -,DURHAM COMMUNITY,,,,,,,,,,
132,1000-1120-1000-51010-010,,Teacher,Salaries,,"238,190.00","166,966.20","263,754.00","395,275.58","306,372.00","420,159.19","282,588.50","-23,783.50",-7.76%
133,1000-1120-1000-51020-010,,Ed Tech,Salaries,,"20,273.00","23,520.15","23,919.00","58,508.41","35,776.00","52,025.91","23,398.05","-12,377.95",-34.60%
134,1000-1120-1000-52010-010,,Teacher,Benefits,,"81,269.00","65,025.04","63,149.00","125,817.07","93,909.00","21,852.96","81,043.45","-12,865.55",-13.70%
135,1000-1120-1000-52020-010,,Ed Tech,Benefits,,"11,101.00","3,421.33","4,941.00","20,333.60","27,511.00","11,887.79","7,883.03","-19,627.97",-71.35%
136,1000-1120-1000-52310-010,,Retirement,,,"9,456.00","6,844.32","10,972.00","11,597.56","12,745.00","2,943.45","12,119.26",-625.74,-4.91%
137,1000-1120-1000-52320-010,,Retirement,,,805.00,933.74,995.00,"2,401.94","1,556.00",610.35,973.36,-582.64,-37.44%
,,,,,Totals,"361,094.00","266,710.78","367,730.00","613,934.16","477,869.00","509,479.65","408,005.65","-69,863.35",-14.62%
138,,Cost Center:,020 -,MORSE STREET,,,,,,,,,,
139,1000-1120-1000-51010-020,,Salaries,,,"435,671.00","270,862.43","484,524.00","222,915.84","468,581.00","665,626.43","459,833.34","-8,747.66",-1.87%
140,1000-1120-1000-51020-020,,Ed Tech,Salaries,,"38,109.00","25,519.21","46,558.00","27,167.58","74,171.00","42,118.66","100,491.17","26,320.17",35.49%
141,1000-1120-1000-52010-020,,Benefits,,,"125,090.00","49,236.40","117,712.00","41,324.57","97,364.00","16,572.54","65,513.54","-31,850.46",-32.71%
142,1000-1120-1000-52020-020,,Ed Tech,Benefit,,"18,329.00","11,181.36","17,637.00","12,095.53","28,838.00","1,833.03","4,822.38","-24,015.62",-83.28%
143,1000-1120-1000-52310-020,,Retirement,,,"17,296.00","10,298.04","20,303.00","9,459.58","19,493.00","4,268.16","19,129.07",-363.93,-1.87%
144,1000-1120-1000-52320-020,,Retirement,,,"1,513.00",0.00,"1,937.00",0.00,"3,209.00",0.00,"2,303.31",-905.69,-28.22%
,,,,,Totals,"636,008.00","367,097.44","688,671.00","312,963.10","691,656.00","730,418.82","652,092.81","-39,563.19",-5.72%
145,,Cost Center:,030 -,POWNAL ELEMENTARY,,,,,,,,,,
146,1000-1120-1000-51010-030,,Teacher,Salaries,,"78,148.00","52,571.00","74,821.00","55,451.50","93,404.00","79,840.96","60,682.35","-32,721.65",-35.03%
147,1000-1120-1000-51020-030,,Ed Tech,Salaries,,"19,991.00",0.00,"12,531.00",0.00,"10,555.00",0.00,"14,243.52","3,688.52",34.95%
148,1000-1120-1000-52010-030,,Teacher,Benefits,,"30,163.00","20,442.94","25,207.00","20,993.07","24,223.00","4,811.36","23,147.82","-1,075.18",-4.44%
149,1000-1120-1000-52020-030,,Ed Tech,Benefits,,"7,433.00",0.00,755.00,0.00,"1,095.00",0.00,286.08,-808.92,-73.87%
150,1000-1120-1000-52310-030,,Retirement,,,"3,102.00","1,217.18","3,113.00","2,306.72","3,886.00",562.56,"2,602.46","-1,283.54",-33.03%
151,1000-1120-1000-52320-030,,Retirement,,,794.00,0.00,521.00,0.00,457.00,0.00,592.53,135.53,29.66%
,,,,,Totals,"139,631.00","74,231.12","116,948.00","78,751.29","133,620.00","85,214.88","101,554.76","-32,065.24",-24.00%
152 Program:,1200 - SECONDARY,PROGRAM,,,,,,,,,,,,
153,Function:,1000 - REGULAR,INSTRUCTION,,,,,,,,,,,
154,,Cost Center:,300 -,FREEPORT HIGH,SCHOOL,,,,,,,,,
155,1000-1200-1000-51010-300,,Teacher,Salaries,,"2,250,783.00","2,399,543.80","2,564,673.00","2,690,866.22","2,887,277.00","3,422,661.30","2,971,169.45","83,892.45",2.91%
156,1000-1200-1000-51020-300,,Ed Tech,Salaries,,"68,198.00","117,511.55","127,025.00","171,639.32","107,193.00","179,882.11","127,985.42","20,792.42",19.40%
157,1000-1200-1000-51230-300,,Substitute,Wages,,"30,000.00","63,085.80","40,000.00","58,933.18","60,000.00","16,471.77","120,000.00","60,000.00",100.00%
158,1000-1200-1000-51500-300,,Stipends,,,"14,195.00",375.00,"14,621.00","5,708.00","7,200.00","1,772.72","7,200.00",0.00,0.00%
159,1000-1200-1000-52000-300,,Stipend,Benefits,,710.00,92.03,731.00,85.45,420.00,0.00,420.00,0.00,0.00%
160,1000-1200-1000-52010-300,,Teacher,Benefits,,"727,988.00","594,086.09","631,215.00","616,867.38","693,164.00","162,288.95","710,563.85","17,399.85",2.51%
161,1000-1200-1000-52020-300,,Ed Tech,Benefits,,"33,204.00","50,268.50","77,480.00","57,825.68","67,381.00","28,323.98","38,427.55","-28,953.45",-42.97%
162,1000-1200-1000-52030-300,,Substitute,Benefits,,"1,500.00","4,520.74","2,000.00","2,450.48","3,498.00",155.12,"4,392.00",894.00,25.56%
163,1000-1200-1000-52300-300,,Retirement,,,564.00,18.72,608.00,12.49,300.00,0.00,300.00,0.00,0.00%
164,1000-1200-1000-52310-300,,Retirement,,,"89,356.00","100,499.70","107,106.00","114,086.67","120,111.00","27,685.15","127,423.32","7,312.32",6.09%
165,1000-1200-1000-52320-300,,Retirement,,,"2,707.00","2,435.62","3,086.00","6,396.76","4,662.00","1,116.32","4,970.27",308.27,6.61%
166,1000-1200-1000-52330-300,,Retirement,,,"1,191.00",839.03,"1,664.00","1,372.75","2,496.00",35.57,"4,992.00","2,496.00",100.00%
167,1000-1200-1000-53000-300,,School,Resource Officer,,"30,000.00","30,815.20","30,900.00","32,104.80","31,830.00",0.00,"31,830.00",0.00,0.00%
168,1000-1200-1000-53400-300,,Purchased,Professional,Services,"70,237.00","51,047.25","51,574.00","21,743.85","43,364.00","10,483.44","47,903.00","4,539.00",10.47%
169,1000-1200-1000-54300-300,,Copier,Repair/Maint,,"40,000.00","41,246.02","40,000.00","42,666.75","42,000.00","24,325.14","42,882.00",882.00,2.10%
170,1000-1200-1000-55610-300,,Secondary,Tuition Paid,To Other SAU,"15,000.00",0.00,"15,000.00",0.00,0.00,0.00,0.00,0.00,0.00%
171,1000-1200-1000-55611-300,,16/20,SERVICES,,0.00,0.00,0.00,0.00,0.00,0.00,"6,015.85","6,015.85",100.00%
172,1000-1200-1000-55630-300,,Secondary,Tuition Paid,To Private School,0.00,"15,000.00",0.00,"15,000.00","18,000.00","8,000.00",0.00,"-18,000.00",-100.00%
173,1000-1200-1000-55800-300,,Travel,,,750.00,"1,057.96","2,000.00",469.68,"1,490.00",0.00,"1,490.00",0.00,0.00%
174,1000-1200-1000-56000-300,,Supplies,High School,,0.00,-750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%
175,1000-1200-1000-56100-300,,,Instructional Supplies,High School,"49,361.00","49,648.11","52,198.00","40,211.58","49,306.00","26,505.45","44,903.00","-4,403.00",-8.93%
176,1000-1200-1000-56400-300,,Books,High School,,"10,855.00","10,950.48","11,002.00","6,753.91","21,105.00","6,465.02","19,341.00","-1,764.00",-8.36%
177,1000-1200-1000-57300-300,,Equipment,High School,,"61,794.00","52,213.85","34,808.00","18,914.96","12,988.00","12,978.76","17,956.00","4,968.00",38.25%
,,,,,Totals,"3,498,393.00","3,584,505.45","3,807,691.00","3,904,109.91","4,173,785.00","3,929,150.80","4,330,164.71","156,379.71",3.75%
,,,,,,,,4 of 27,,,,,,
