,,,,,RSU,No.,5,,,,,,
Article,9 Operations,& Maintenance-,Adopted,,,,,,,,,,
,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
Account,Number,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
1000.0000.2600.51180.010,,Salaries,,"$208,967.00",$0.00,"$208,967.00",,$0.00,$0.00,"$208,967.00","$200,160.00","$8,807.00",4.21%
1000.0000.2600.52080.010,,Custodian Benefits,,"$57,506.00",$0.00,"$57,506.00",,$0.00,$0.00,"$57,506.00",$0.00,"$57,506.00",100.00%
1000.0000.2600.52380.010,,Retirement,,"$10,448.00",$0.00,"$10,448.00",,$0.00,$0.00,"$10,448.00",$0.00,"$10,448.00",100.00%
1000.0000.2600.53000.010,,Purchased,Professional,$118.00,$0.00,,$118.00,$0.00,$0.00,$118.00,$0.00,$118.00,100.00%
1000.0000.2600.53300.010,,Employee Training,,$125.00,$0.00,,$125.00,$0.00,$0.00,$125.00,$0.00,$125.00,100.00%
1000.0000.2600.54300.010,,Purchased,Repairs/Maint,"$117,387.00",$0.00,"$117,387.00",,$0.00,$0.00,"$117,387.00",$0.00,"$117,387.00",100.00%
1000.0000.2600.55200.010,,Insurance,,"$47,860.00",$0.00,"$47,860.00",,$0.00,$0.00,"$47,860.00",$0.00,"$47,860.00",100.00%
1000.0000.2600.55320.010,,Telephone,,"$9,494.00",$0.00,"$9,494.00",,$0.00,$0.00,"$9,494.00",$0.00,"$9,494.00",100.00%
1000.0000.2600.55800.010,,Travel,,$15.00,$0.00,,$15.00,$0.00,$0.00,$15.00,$0.00,$15.00,100.00%
1000.0000.2600.56000.010,,Supplies,,"$29,600.00",$0.00,"$29,600.00",,$0.00,$0.00,"$29,600.00",$0.00,"$29,600.00",100.00%
1000.0000.2600.56011.010,,Materials for,Repair,"$10,100.00",$0.00,"$10,100.00",,$0.00,$0.00,"$10,100.00",$0.00,"$10,100.00",100.00%
1000.0000.2600.56013.010,,Major Maintenance,,"$16,705.00",$0.00,"$16,705.00",,$0.00,$0.00,"$16,705.00",$0.00,"$16,705.00",100.00%
1000.0000.2600.56220.010,,Electricity - Durham,,"$144,000.00",$0.00,"$144,000.00",,$0.00,$0.00,"$144,000.00",$0.00,"$144,000.00",100.00%
1000.0000.2600.56240.010,,Heating Fuel,,"$13,000.00",$0.00,"$13,000.00",,$0.00,$0.00,"$13,000.00",$0.00,"$13,000.00",100.00%
,,Program:,OVERHEAD - 0000,"$665,325.00",$0.00,"$665,325.00",,$0.00,$0.00,"$665,325.00","$200,160.00","$465,165.00",69.92%
,Function:,OPERATION,OF PLANT - 2600,"$665,325.00",$0.00,"$665,325.00",,$0.00,$0.00,"$665,325.00","$200,160.00","$465,165.00",69.92%
,Cost,Center: DURHAM,COMMUNITY - 010,"$665,325.00",$0.00,"$665,325.00",,$0.00,$0.00,"$665,325.00","$200,160.00","$465,165.00",69.92%
1000.0000.2600.51180.020,,Custodial Salaries,,"$257,246.00",$0.00,"$257,246.00",,$0.00,$0.00,"$257,246.00","$203,622.81","$53,623.19",20.85%
1000.0000.2600.52080.020,,Custodian Benefits,,"$122,678.00",$0.00,"$122,678.00",,$0.00,$0.00,"$122,678.00",$0.00,"$122,678.00",100.00%
1000.0000.2600.52380.020,,Retirement,,"$12,862.00",$0.00,"$12,862.00",,$0.00,$0.00,"$12,862.00",$0.00,"$12,862.00",100.00%
1000.0000.2600.53000.020,,Purchased,Professional,$118.00,$0.00,,$118.00,$0.00,$0.00,$118.00,$0.00,$118.00,100.00%
1000.0000.2600.53300.020,,Employee Training,,$125.00,$0.00,,$125.00,$0.00,$0.00,$125.00,$0.00,$125.00,100.00%
1000.0000.2600.54100.020,,Water/Sewage,,"$19,512.00",$0.00,"$19,512.00",,$0.00,$0.00,"$19,512.00",$0.00,"$19,512.00",100.00%
1000.0000.2600.54300.020,,Purchased,Repairs/Maint,"$46,239.00",$0.00,"$46,239.00",,$0.00,$0.00,"$46,239.00",$0.00,"$46,239.00",100.00%
1000.0000.2600.55200.020,,Insurance,,"$21,986.00",$0.00,"$21,986.00",,$0.00,$0.00,"$21,986.00",$0.00,"$21,986.00",100.00%
1000.0000.2600.55320.020,,Telephone,,"$4,785.00",$0.00,"$4,785.00",,$0.00,$0.00,"$4,785.00",$0.00,"$4,785.00",100.00%
1000.0000.2600.55800.020,,Travel,,$15.00,$0.00,,$15.00,$0.00,$0.00,$15.00,$0.00,$15.00,100.00%
1000.0000.2600.56000.020,,Supplies,,"$24,750.00",$0.00,"$24,750.00",,$0.00,$0.00,"$24,750.00",$0.00,"$24,750.00",100.00%
1000.0000.2600.56011.020,,Materials for,Repair,"$6,400.00",$0.00,"$6,400.00",,$0.00,$0.00,"$6,400.00",$0.00,"$6,400.00",100.00%
1000.0000.2600.56013.020,,Major Maintenance,,"$14,000.00",$0.00,"$14,000.00",,$0.00,$0.00,"$14,000.00",$0.00,"$14,000.00",100.00%
1000.0000.2600.56220.020,,Electricity,,"$10,000.00",$0.00,"$10,000.00",,$0.00,$0.00,"$10,000.00",$0.00,"$10,000.00",100.00%
1000.0000.2600.56240.020,,Heating Fuel,,"$41,000.00",$0.00,"$41,000.00",,$0.00,$0.00,"$41,000.00",$0.00,"$41,000.00",100.00%
,,Program:,OVERHEAD - 0000,"$581,716.00",$0.00,"$581,716.00",,$0.00,$0.00,"$581,716.00","$203,622.81","$378,093.19",65.00%
