,,,,,,RSU,No.,5,,,,,
FY25,Article,5 Student,,and Staff Support-,Proposed,,,,,,,,
From,Date:,3/1/2024,,To Date:,3/31/2024 Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,Percent
,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,
,1000.0000.2110.51010.010,,,Social Worker Salaries,$0.00,,$0.00,,$0.00,"$35,000.00","$38,631.00","$3,631.00",10.37
,1000.0000.2110.52010.010,,,Social Worker Benefits,$0.00,,$0.00,,$0.00,"$10,781.00","$14,908.00","$4,127.00",38.28
,1000.0000.2110.52310.010,,,Social Worker Retirement,$0.00,,$0.00,,$0.00,"$1,565.00","$1,859.00",$294.00,18.79
Program:,OVERHEAD,- 0000,,,$0.00,,$0.00,,$0.00,"$47,346.00","$55,398.00","$8,052.00",17.01
Function:,Attendance,& Social,Work,- 2110,$0.00,,$0.00,,$0.00,"$47,346.00","$55,398.00","$8,052.00",17.01
,1000.0000.2120.51010.010,,,Guidance Salaries,"$55,616.41","$97,478.35",,"$107,080.83",,"$149,369.00","$90,759.00","($58,610.00)",(39.24)
,1000.0000.2120.52010.010,,,Benefits,"$3,385.99","$11,156.53",,"$10,208.66",,"$25,594.00","$43,455.00","$17,861.00",69.79
,1000.0000.2120.52310.010,,,Retirement,$610.43,"$3,743.10",,,"$4,099.82","$6,676.00","$6,665.00",($11.00),(0.16)
,1000.0000.2120.53000.010,,,Professional Services,$0.00,,$0.00,,$226.25,$300.00,$300.00,$0.00,0.00
,1000.0000.2120.54330.010,,,Software,$0.00,,$333.33,,$333.33,$334.00,$334.00,$0.00,0.00
,1000.0000.2120.55810.010,,,Travel - Guidance,$0.00,,$0.00,,$0.00,$200.00,$200.00,$0.00,0.00
,1000.0000.2120.56100.010,,,Supplies,$535.09,,$94.31,,$239.00,$525.00,$525.00,$0.00,0.00
,1000.0000.2120.57300.010,,,Equipment,$266.82,,$500.00,,$464.06,$750.00,$0.00,($750.00),(100.00)
,1000.0000.2120.58100.010,,,Dues & Fees,$0.00,,$254.00,,$473.00,$608.00,$608.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,,"$60,414.74","$113,559.62",,"$123,124.95",,"$184,356.00","$142,846.00","($41,510.00)",(22.52)
Function:,,COUNSELING -,2120,,"$60,414.74","$113,559.62",,"$123,124.95",,"$184,356.00","$142,846.00","($41,510.00)",(22.52)
,1000.0000.2130.51010.010,,,Nurse Salary,"$68,809.41","$92,370.63",,"$73,164.93",,"$75,001.00","$75,001.00",$0.00,0.00
,1000.0000.2130.51200.010,,,Nurse Substitute - DCS,$0.00,"$1,470.00",,,$0.00,$0.00,$0.00,$0.00,0.00
,03/13/2024,,,,,,,,,,,40,
