,,,,,,,,RSU No.,5,,,,,,,,
Article,5,Student and,Staff,,Support- Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,To,Date: 6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,Adopted,,,
Account,,,,,Description,,,,,,,,,,,,
,1000.0000.2130.51010.040,,,Nurse Salary,,,"$42,911.55",,"$46,120.74","$54,949.94",,"$58,582.00",,"$58,852.00",,$270.00,0.46
,1000.0000.2130.51200.040,,,Nurse Substitute,- MLS,,$0.00,,"$40,977.56","$9,923.45",,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.52000.040,,,Employee,Benefits,,$0.00,,$0.00,$652.43,,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.52010.040,,,Nurse Benefits,,,$169.67,,"$4,547.34","$4,939.91",,"$4,806.00",,"$11,680.00","$6,874.00",,143.03
,1000.0000.2130.52030.040,,,Nurse Sub,Benefits - MLS,,$0.00,,"$1,388.79",,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.52300.040,,,Retirement -,Stipends,,$0.00,,$0.00,,$20.73,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.52310.040,,,Retirement,,,$460.80,,"$3,079.41","$2,110.10",,"$2,619.00",,"$2,887.00",,$268.00,10.23
,1000.0000.2130.53000.040,,,Purchased,Professional,,$0.00,,$0.00,$184.00,,$300.00,,$300.00,,$0.00,0.00
,1000.0000.2130.54310.040,,,Repairs &,Maintenance,,$0.00,,$70.00,$145.00,,$135.00,,$135.00,,$0.00,0.00
,1000.0000.2130.56000.040,,,Supplies,,,$425.04,,$425.46,$622.53,,$819.00,,$819.00,,$0.00,0.00
,1000.0000.2130.58100.040,,,Dues & Fees,,,$0.00,,$0.00,,$0.00,,$0.00,$130.00,,$130.00,0.00
Program:,OVERHEAD,- 0000,,,,"$43,967.06",,"$96,609.30","$73,548.09",,"$67,261.00",,"$74,803.00",,"$7,542.00",,11.21
Function:,HEALTH,SERVICES,- 2130,,,"$43,967.06",,"$96,609.30","$73,548.09",,"$67,261.00",,"$74,803.00",,"$7,542.00",,11.21
,1000.0000.2213.51500.040,,,Stipends-Acad,Leadership and LCC,,$0.00,,"$13,585.00","$16,110.00",,"$14,322.00",,"$13,947.00",($375.00),,(2.62)
,1000.0000.2213.52000.040,,,Stipend Benefits,- MLS,,$0.00,,$245.44,"$2,731.86",,,$0.00,$236.00,,$236.00,0.00
,1000.0000.2213.52300.040,,,Stipend,Retirement - MLS,,$0.00,,$528.01,$618.73,,,$0.00,$623.00,,$623.00,0.00
,1000.0000.2213.53300.040,,,Employee,Training,,$0.00,,$100.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
Program:,OVERHEAD,- 0000,,,,$0.00,,"$14,458.45","$19,460.59",,"$14,322.00",,"$14,806.00",,$484.00,,3.38
Function:,,INSTRUCTIONAL,STAFF,TRAINING,- 2213,$0.00,,"$14,458.45","$19,460.59",,"$14,322.00",,"$14,806.00",,$484.00,,3.38
,1000.0000.2220.51010.040,,,Librarian Salary,,,"$65,248.08",,"$87,929.52","$62,923.79",,"$67,015.00",,"$67,015.00",,$0.00,0.00
,03/27/2024,,,,,,,,,,,,,,,49 of 81,
