,,,,,,,RSU,No.,5,,,,,,
,Article 2,Special,Education-,Adopted,,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
,Account,Number,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.2200.1000.51010.020,,Teacher,Salaries,,"$66,391.00",$0.00,"$66,391.00",,$0.00,$0.00,"$66,391.00","$66,391.39",($0.39),0.00%
,1000.2200.1000.51020.020,,Ed Tech,Salaries,,"$163,177.00",$0.00,"$163,177.00",,$0.00,$0.00,"$163,177.00","$51,791.59","$111,385.41",68.26%
,1000.2200.1000.52010.020,,Teacher,Benefits,,"$34,924.00",$0.00,"$34,924.00",,$0.00,$0.00,"$34,924.00",$0.00,"$34,924.00",100.00%
,1000.2200.1000.52020.020,,Ed Tech,Benefits,,"$54,057.00",$0.00,"$54,057.00",,$0.00,$0.00,"$54,057.00",$0.00,"$54,057.00",100.00%
,1000.2200.1000.52310.020,,Retirement,,,"$3,288.00",$0.00,"$3,288.00",,$0.00,$0.00,"$3,288.00",$0.00,"$3,288.00",100.00%
,1000.2200.1000.52320.020,,Retirement,,,"$7,294.00",$0.00,"$7,294.00",,$0.00,$0.00,"$7,294.00",$0.00,"$7,294.00",100.00%
,Program:,RESOURCE,CLASSROOM,PLACEMENT,- 2200,"$329,131.00",$0.00,"$329,131.00",,$0.00,$0.00,"$329,131.00","$118,182.98","$210,948.02",64.09%
,1000.2300.1000.51010.020,,Teacher,Salaries,,"$136,465.00",$0.00,"$136,465.00",,$0.00,$0.00,"$136,465.00","$139,965.18","($3,500.18)",-2.56%
,1000.2300.1000.51020.020,,Ed Tech,Salaries,,$0.00,$0.00,,$0.00,$325.00,$325.00,($325.00),"$84,585.51","($84,910.51)",0.00%
,1000.2300.1000.52010.020,,Teacher,Benefits,,"$56,797.00",$0.00,"$56,797.00",,$0.00,$0.00,"$56,797.00",$0.00,"$56,797.00",100.00%
,1000.2300.1000.52020.020,,Ed Tech,Benefits,,$0.00,$0.00,,$0.00,$6.56,$6.56,($6.56),$0.00,($6.56),0.00%
,1000.2300.1000.52310.020,,Retirement,,,"$6,665.00",$0.00,"$6,665.00",,$0.00,$0.00,"$6,665.00",$0.00,"$6,665.00",100.00%
,1000.2300.1000.52320.020,,Retirement,,,$0.00,$0.00,,$0.00,$14.53,$14.53,($14.53),$0.00,($14.53),0.00%
,Program:,SELF,CONTAINED CLASS,PLACEMENT,- 2300,"$199,927.00",$0.00,"$199,927.00",,$346.09,$346.09,"$199,580.91","$224,550.69","($24,969.78)",-12.49%
,,Function:,REGULAR,INSTRUCTION,- 1000,"$529,058.00",$0.00,"$529,058.00",,$346.09,$346.09,"$528,711.91","$342,733.67","$185,978.24",35.15%
,1000.2800.2110.51010.020,,Social Worker,Salary,,"$38,165.00",$0.00,"$38,165.00",,$0.00,$0.00,"$38,165.00","$38,165.10",($0.10),0.00%
,1000.2800.2110.52010.020,,Social Worker,Benefits,,"$12,996.00",$0.00,"$12,996.00",,$0.00,$0.00,"$12,996.00",$0.00,"$12,996.00",100.00%
,1000.2800.2110.52310.020,,Retirement,,,"$1,849.00",$0.00,"$1,849.00",,$0.00,$0.00,"$1,849.00",$0.00,"$1,849.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$53,010.00",$0.00,"$53,010.00",,$0.00,$0.00,"$53,010.00","$38,165.10","$14,844.90",28.00%
,,Function:,Attendance,& Social Work,- 2110,"$53,010.00",$0.00,"$53,010.00",,$0.00,$0.00,"$53,010.00","$38,165.10","$14,844.90",28.00%
,1000.2800.2150.51010.020,,Speech &,Audiology Salaries,,"$107,133.00",$0.00,"$107,133.00",,$0.00,$0.00,"$107,133.00","$107,133.35",($0.35),0.00%
,1000.2800.2150.52010.020,,Speech &,Audiology Benefits,,"$29,381.00",$0.00,"$29,381.00",,$0.00,$0.00,"$29,381.00",$0.00,"$29,381.00",100.00%
,1000.2800.2150.52310.020,,Retirement,,,"$5,243.00",$0.00,"$5,243.00",,$0.00,$0.00,"$5,243.00",$0.00,"$5,243.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$141,757.00",$0.00,"$141,757.00",,$0.00,$0.00,"$141,757.00","$107,133.35","$34,623.65",24.42%
,,,Function: SPEECH &,AUDIOLOGY,- 2150,"$141,757.00",$0.00,"$141,757.00",,$0.00,$0.00,"$141,757.00","$107,133.35","$34,623.65",24.42%
,1000.2800.2160.51010.020,,OT Salary,,,"$66,108.00",$0.00,"$66,108.00",,$0.00,$0.00,"$66,108.00","$56,546.32","$9,561.68",14.46%
,1000.2800.2160.52010.020,,OT Benefits,,,"$16,583.00",$0.00,"$16,583.00",,$0.00,$0.00,"$16,583.00","$1,679.96","$14,903.04",89.87%
,1000.2800.2160.52310.020,,Retirement,,,"$3,263.00",$0.00,"$3,263.00",,$0.00,$0.00,"$3,263.00",$0.00,"$3,263.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$85,954.00",$0.00,"$85,954.00",,$0.00,$0.00,"$85,954.00","$58,226.28","$27,727.72",32.26%
,,,,Function: OT,- 2160,"$85,954.00",$0.00,"$85,954.00",,$0.00,$0.00,"$85,954.00","$58,226.28","$27,727.72",32.26%
,,,Cost Center:,MORSE STREET,- 020,"$809,779.00",$0.00,"$809,779.00",,$346.09,$346.09,"$809,432.91","$546,258.40","$263,174.51",32.50%
,,,,,,,Page,10 of,44,,,,,,
,,,,,,,RSU,No.,5,,,,,,
,Article 2,Special,Education-,Adopted,,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
,Account,Number,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.2200.1000.51010.030,,Teacher,Salaries,,"$37,776.00",$0.00,"$37,776.00",,$0.00,$0.00,"$37,776.00","$37,775.42",$0.58,0.00%
,1000.2200.1000.52010.030,,Teacher,Benefits,,"$9,914.00",$0.00,"$9,914.00",,$0.00,$0.00,"$9,914.00",$0.00,"$9,914.00",100.00%
,1000.2200.1000.52310.030,,Retirement,,,"$1,878.00",$0.00,"$1,878.00",,$0.00,$0.00,"$1,878.00",$0.00,"$1,878.00",100.00%
,Program:,RESOURCE,CLASSROOM,PLACEMENT,- 2200,"$49,568.00",$0.00,"$49,568.00",,$0.00,$0.00,"$49,568.00","$37,775.42","$11,792.58",23.79%
,,Function:,REGULAR,INSTRUCTION,- 1000,"$49,568.00",$0.00,"$49,568.00",,$0.00,$0.00,"$49,568.00","$37,775.42","$11,792.58",23.79%
,1000.2800.2110.51010.030,,Social Worker,Salary,,"$34,895.00",$0.00,"$34,895.00",,$0.00,$0.00,"$34,895.00","$34,596.66",$298.34,0.85%
,1000.2800.2110.52010.030,,Social Worker,Benefits,,"$5,105.00",$0.00,"$5,105.00",,$0.00,$0.00,"$5,105.00",$0.00,"$5,105.00",100.00%
,1000.2800.2110.52310.030,,Retirement,,,"$1,669.00",$0.00,"$1,669.00",,$0.00,$0.00,"$1,669.00",$0.00,"$1,669.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$41,669.00",$0.00,"$41,669.00",,$0.00,$0.00,"$41,669.00","$34,596.66","$7,072.34",16.97%
,,Function:,Attendance,& Social Work,- 2110,"$41,669.00",$0.00,"$41,669.00",,$0.00,$0.00,"$41,669.00","$34,596.66","$7,072.34",16.97%
,1000.2800.2150.51010.030,,Speech &,Audiology Salaries,,"$33,387.00",$0.00,"$33,387.00",,$0.00,$0.00,"$33,387.00","$8,023.59","$25,363.41",75.97%
,1000.2800.2150.52010.030,,Speech &,Audiology Benefits,,"$15,398.00",$0.00,"$15,398.00",,$0.00,$0.00,"$15,398.00",$0.00,"$15,398.00",100.00%
,1000.2800.2150.52310.030,,Retirement,,,"$1,636.00",$0.00,"$1,636.00",,$0.00,$0.00,"$1,636.00",$0.00,"$1,636.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$50,421.00",$0.00,"$50,421.00",,$0.00,$0.00,"$50,421.00","$8,023.59","$42,397.41",84.09%
,,,Function: SPEECH &,AUDIOLOGY,- 2150,"$50,421.00",$0.00,"$50,421.00",,$0.00,$0.00,"$50,421.00","$8,023.59","$42,397.41",84.09%
,1000.2800.2160.51010.030,,OT Salary,,,"$21,160.00",$0.00,"$21,160.00",,$0.00,$0.00,"$21,160.00","$21,159.86",$0.14,0.00%
,1000.2800.2160.52010.030,,OT Benefits,,,"$7,851.00",$0.00,"$7,851.00",,$0.00,$0.00,"$7,851.00",$0.00,"$7,851.00",100.00%
,1000.2800.2160.52310.030,,Retirement,,,"$1,031.00",$0.00,"$1,031.00",,$0.00,$0.00,"$1,031.00",$0.00,"$1,031.00",100.00%
