,,,,,RSU,No. 5,,,,,,,
,FY27 Article,1 Regular,Instruction-,Proposed,,,,,,,,,
From,Date:,7/1/2026,To Date:,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,Description,,,,,,,,,
Cost,Center:,SYSTEM WIDE - 900,,,$0.00,,"$1,200.00","$6,353.09",$0.00,$0.00,,$0.00,0.00
,1000.4100.1000.51010.950,,Teachers,Salary,"$35,051.10","$116,794.34",,"$180,208.33","$185,619.00","$122,731.00","($62,888.00)",,(33.88)
,1000.4100.1000.52010.950,,Teacher,Benefits,"$2,397.81","$14,501.41",,"$30,526.29","$14,153.00","$14,575.00",,$422.00,2.98
,1000.4100.1000.52310.950,,Retirement,,"$1,345.96",,"$5,220.58","$8,040.00","$8,297.00","$5,486.00","($2,811.00)",,(33.88)
,1000.4100.1000.53000.950,,Purchased,Professional,$0.00,,"$5,698.80",$0.00,"$3,150.00","$16,800.00","$13,650.00",,433.33
,,,Services,,,,,,,,,,
,1000.4100.1000.53400.950,,,Professional Services,$0.00,,$167.28,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.4100.1000.55800.950,,Travel,,$263.26,,$617.19,$0.00,$100.00,$100.00,,$0.00,0.00
,1000.4100.1000.56000.950,,Supplies,,$0.00,,$132.64,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.4100.1000.56100.950,,,Instructional Supplies,$509.27,,$0.00,$0.00,$250.00,$525.00,,$275.00,110.00
,Program: ELL,- 4100,,,"$39,567.40","$143,132.24",,"$218,774.62","$211,569.00","$160,217.00","($51,352.00)",,(24.27)
,1000.4900.1000.51010.950,,Teacher,Salaries,"$201,446.16","$214,473.33",,"$214,397.15","$244,329.00","$178,585.00","($65,744.00)",,(26.91)
,1000.4900.1000.51500.950,,Stipends,,"$6,142.12",,"$7,788.00","$8,020.92","$13,388.00","$13,388.00",,$0.00,0.00
,1000.4900.1000.52000.950,,Stipends,,$963.49,,"$1,403.36","$1,552.60",$450.00,$450.00,,$0.00,0.00
,1000.4900.1000.52010.950,,Teacher,Benefits,"$37,079.24","$36,835.30",,"$46,662.79","$57,183.00","$35,525.00","($21,658.00)",,(37.87)
