,,,,,,,RSU,No.,5,,,,,
FY25,Article,5 Student,,and Staff,Support- Proposed,,,,,,,,,
From,Date:,3/1/2024,,To Date:,3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,,Percent
,,,,,FY21,Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
Function:,,INSTRUCTION,RELATED,TECHNOLOGY,-,"$58,303.18","$33,695.32",,,$932.14,$0.00,$0.00,$0.00,0.00
2230,,,,,,,,,,,,,,
,1000.0000.2290.51060.300,,,Outreach Coordinator,Salary,$0.00,"$61,435.80",,"$60,612.00",,"$60,612.00","$65,242.00","$4,630.00",7.64
,1000.0000.2290.52060.300,,,Outreach Coordinator,Benefits,$0.00,"$29,301.29",,"$21,295.73",,"$30,095.00","$34,692.00","$4,597.00",15.27
Program:,OVERHEAD,- 0000,,,,$0.00,"$90,737.09",,"$81,907.73",,"$90,707.00","$99,934.00","$9,227.00",10.17
Function:,OTH,SUPPORT,SVCS -,STAFF - 2290,,$0.00,"$90,737.09",,"$81,907.73",,"$90,707.00","$99,934.00","$9,227.00",10.17
Cost,Center:,FREEPORT,HIGH,SCHOOL - 300,,"$635,710.75","$834,075.20",,"$805,756.80",,"$956,149.00","$1,068,988.00","$112,839.00",11.80
,1000.0000.2130.51500.900,,,Doctor-Consulting,Physician-Stipend,$0.00,,$0.00,,$0.00,"$1,500.00","$1,500.00",$0.00,0.00
,1000.0000.2130.52000.900,,Doctor,- Consulting,Physician - Ben,$0.00,,$0.00,,$0.00,$27.00,$0.00,($27.00),(100.00)
,1000.0000.2130.53000.900,,,Purchased,Professional-District Wide,$0.00,,$0.00,,$0.00,"$1,000.00","$1,000.00",$0.00,0.00
,1000.0000.2130.56000.900,,,Supplies - District,Wide,$0.00,,$0.00,,$0.00,"$1,200.00","$2,565.00","$1,365.00",113.75
,1000.0000.2130.58100.900,,Dues,& Fees,,$0.00,,$0.00,,$0.00,$0.00,$130.00,$130.00,0.00
Program:,OVERHEAD,- 0000,,,,$0.00,,$0.00,,$0.00,"$3,727.00","$5,195.00","$1,468.00",39.39
Function:,HEALTH,SERVICES,- 2130,,,$0.00,,$0.00,,$0.00,"$3,727.00","$5,195.00","$1,468.00",39.39
,1000.0000.2210.51040.900,,,Curriculum Director,Salary,"$77,949.57","$77,331.06",,"$79,651.20",,"$79,651.00","$87,360.00","$7,709.00",9.68
,1000.0000.2210.52040.900,,,Curriculum Director,Benefits,"$11,635.05","$12,416.52",,"$12,691.36",,"$19,079.00","$18,492.00",($587.00),(3.08)
,1000.0000.2210.52340.900,,,Retirement,,"$1,196.60","$2,969.47",,,"$3,058.64","$3,703.00","$3,905.00",$202.00,5.46
,1000.0000.2210.53000.900,,,Purchased Professional,,$150.00,"$31,506.34",,,$62.40,"$10,000.00","$5,000.00","($5,000.00)",(50.00)
,03/13/2024,,,,,,,,,,,,57,
