,,,,Article 9,
,,,Anticipated,2022-2023 Capital,
,,,Improvements,in the Proposed,
,,,,FY23 Budget,
Item,1,,Maintenance Drop,Deck Trailer for Lift,"$14,000"
Item,2,,Pownal Steamer,,"$15,000"
Item,3,,Pownal Security,System,"$15,000"
Item,4,,Maintenance,Dump Truck: Body Only,"$17,000"
Item,5,Mast,Landing,Steamer and Four Burner Range,"$30,000"
Item,6,Morse,Street,Elevator Upgrade,"$70,000"
Item,7,Mast,Landing,Exterior Doors,"$123,000"
Item,8,Middle,School,Replacement Siding on Additions,"$70,000"
Item,9,,Pownal Walkway,Paving,"$25,000"
Item,10,Capital,Reserves,,"$21,000"
Article,9,,Capital Improvements,,"$400,000"
