,,,,,,RSU,No.,5,,,,,
,Article 4,Other,Instruction-,Adopted,,,,,,,,,
From,Date:,7/1/2023,To,Date: 6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
,Account,,Description,,,,,,,,,,
,1000.9600.2700.56260.990,,Extra Curricular,Fleet Fuel,$0.00,,$0.00,,$72.40,$0.00,$0.00,$0.00,0.00
,1000.9600.2700.58500.990,,Extra-Curricular,Purchased,Transporation $0.00,,$0.00,,$154.00,$0.00,$0.00,$0.00,0.00
,Program:,EXTRA-CURRICULAR,9-12 - 9600,,$0.00,,$0.00,,$226.40,$0.00,$0.00,$0.00,0.00
,Function:,TRANSPORTATION,- 2700,,$0.00,,$0.00,,$226.40,$0.00,$0.00,$0.00,0.00
Cost,Center:,9-12 - 990,,,$0.00,,$0.00,,$226.40,$0.00,$0.00,$0.00,0.00
Grand,Total:,,,,"$674,095.04","$604,154.88",,"$818,679.96",,"$919,069.00","$1,044,071.00","$125,002.00",13.60
,,,,,,End,of Report,,,,,,
,Page,39 of 80,,,,,,,,,,,
,,,,,,RSU,No.,5,,,,,
Article,5,Student and,Staff,Support- Adopted,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,
,1000.0000.2110.51010.010,,Social,Worker Salaries,$0.00,,$0.00,,$0.00,$0.00,"$35,000.00","$35,000.00",0.00
,1000.0000.2110.52010.010,,Social,Worker Benefits,$0.00,,$0.00,,$0.00,$0.00,"$10,781.00","$10,781.00",0.00
,1000.0000.2110.52310.010,,Social,Worker Retirement,$0.00,,$0.00,,$0.00,$0.00,"$1,565.00","$1,565.00",0.00
Program:,OVERHEAD,- 0000,,,$0.00,,$0.00,,$0.00,$0.00,"$47,346.00","$47,346.00",0.00
Function:,Attendance,& Social,Work,- 2110,$0.00,,$0.00,,$0.00,$0.00,"$47,346.00","$47,346.00",0.00
,1000.0000.2120.51010.010,,,Guidance Salaries,"$58,967.74","$55,616.41",,"$97,478.35",,"$104,837.00","$149,369.00","$44,532.00",42.48
,1000.0000.2120.52010.010,,,Benefits,"$5,541.90","$3,385.99",,"$11,156.53",,"$16,523.00","$25,594.00","$9,071.00",54.90
,1000.0000.2120.52310.010,,,Retirement,"$2,588.64",,$610.43,,"$3,743.10","$4,377.00","$6,676.00","$2,299.00",52.52
,1000.0000.2120.53000.010,,,Professional Services,$0.00,,$0.00,,$0.00,$300.00,$300.00,$0.00,0.00
,1000.0000.2120.54330.010,,,Software,$0.00,,$0.00,,$333.33,$334.00,$334.00,$0.00,0.00
,1000.0000.2120.55810.010,,Travel,- Guidance,$0.00,,$0.00,,$0.00,$0.00,$200.00,$200.00,0.00
,1000.0000.2120.56100.010,,,Supplies,$325.92,,$535.09,,$94.31,$250.00,$525.00,$275.00,110.00
,1000.0000.2120.57300.010,,,Equipment,$0.00,,$266.82,,$500.00,$500.00,$750.00,$250.00,50.00
,1000.0000.2120.58100.010,,Dues,& Fees,$0.00,,$0.00,,$254.00,$508.00,$608.00,$100.00,19.69
Program:,OVERHEAD,- 0000,,,"$67,424.20","$60,414.74",,"$113,559.62",,"$127,629.00","$184,356.00","$56,727.00",44.45
Function:,,COUNSELING -,2120,,"$67,424.20","$60,414.74",,"$113,559.62",,"$127,629.00","$184,356.00","$56,727.00",44.45
,1000.0000.2130.51010.010,,Nurse,Salary,"$65,996.06","$68,809.41",,"$82,035.80",,"$72,464.00","$75,001.00","$2,537.00",3.50
,1000.0000.2130.51200.010,,Nurse,Substitute - DCS,$0.00,,$0.00,,"$1,470.00",$0.00,$0.00,$0.00,0.00
,Page 40,of 80,,,,,,,,,,,
,,,,,,RSU,No.,5,,,,,
Article,5,Student and,Staff,Support- Adopted,,,,,,,,,
From,Date:,7/1/2023,To,Date: 6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,
,1000.0000.2130.52000.010,,Employee,Benefits,$0.00,,$0.00,,$28.70,$0.00,$0.00,$0.00,0.00
,1000.0000.2130.52010.010,,Nurse Benefits,,"$15,120.47","$3,342.45",,"$20,269.20",,"$16,073.00","$20,643.00","$4,570.00",28.43
,1000.0000.2130.52300.010,,Retirement,- Stipends,$0.00,,$0.00,,$53.78,$0.00,$0.00,$0.00,0.00
,1000.0000.2130.52310.010,,Retirement,,"$2,745.34",,$649.02,,"$4,728.33","$3,014.00","$3,353.00",$339.00,11.25
,1000.0000.2130.53000.010,,Professional,Services,$0.00,,$129.00,,$31.00,$300.00,$300.00,$0.00,0.00
,1000.0000.2130.54310.010,,Repairs &,Maintenance,$0.00,,$0.00,,$0.00,$135.00,$135.00,$0.00,0.00
,1000.0000.2130.55800.010,,Travel,,$0.00,,$0.00,,$5.04,$100.00,$0.00,($100.00),(100.00)
,1000.0000.2130.56000.010,,Supplies,,"$1,093.40","$1,019.53",,,$792.18,"$1,228.78","$1,437.00",$208.22,16.95
Program:,OVERHEAD,- 0000,,,"$84,955.27","$73,949.41",,"$109,414.03",,"$93,314.78","$100,869.00","$7,554.22",8.10
Function:,HEALTH,SERVICES,- 2130,,"$84,955.27","$73,949.41",,"$109,414.03",,"$93,314.78","$100,869.00","$7,554.22",8.10
,1000.0000.2213.51500.010,,Stipends-Acad,Leadership and LCC,$0.00,,$0.00,"$29,535.00",,"$19,586.00","$27,177.00","$7,591.00",38.76
