,,,,,RSU,No.,5,,,,,
,Article 6,System,Administration - Proposed,,,,,,,,,
From,Date:,3/22/2023,To Date:,3/22/2023 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
,Account,,Description,,,,,,,,,
,1000.0000.2320.56400.900,,Books,$40.00,,$506.25,,$23.96,$300.00,$100.00,($200.00),(66.67)
,1000.0000.2320.57340.900,,Technology Equipment,"($8,136.04)",,$557.90,,$0.00,"$2,000.00","$1,000.00","($1,000.00)",(50.00)
,1000.0000.2320.58100.900,,Dues and Fees,"$9,055.03","$12,387.80",,"$11,579.74",,"$11,000.00","$6,406.00","($4,594.00)",(41.76)
,1000.0000.2320.59000.900,,Aspirations / Miscellaneous,"$5,000.00",,$0.00,"$11,927.48",,"$12,172.00","$8,600.00","($3,572.00)",(29.35)
,1000.0000.2500.51040.900,,Administrator Salary,"$99,948.36","$116,394.97",,"$169,613.56",,"$107,120.00","$109,200.00","$2,080.00",1.94
,1000.0000.2500.51180.900,,Salaries,"$157,762.30","$151,962.36",,"$167,949.65",,"$176,005.00","$170,726.00","($5,279.00)",(3.00)
,1000.0000.2500.52040.900,,Admin Benefits,"$20,441.32","$7,460.21",,"$18,841.70",,"$20,506.00","$43,094.00","$22,588.00",110.15
,1000.0000.2500.52080.900,,Benefits,"$43,718.08","$34,474.33",,"$44,249.41",,"$56,348.00","$56,221.00",($127.00),(0.23)
,1000.0000.2500.52340.900,,Retirement,$0.00,,$0.00,,$0.00,"$10,819.00","$5,678.00","($5,141.00)",(47.52)
,1000.0000.2500.52380.900,,Retirement,$0.00,,$0.00,,$0.00,$0.00,"$8,877.00","$8,877.00",0.00
,1000.0000.2500.53300.900,,Training & Development,Services $0.00,,$0.00,,$0.00,"$2,100.00","$2,000.00",($100.00),(4.76)
,1000.0000.2500.55800.900,,Travel,$0.00,,$0.00,,$52.65,$250.00,$250.00,$0.00,0.00
,1000.0000.2500.55810.900,,Travel,$380.09,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2500.56000.900,,Supplies,$0.00,,$0.00,,$0.00,$0.00,"$2,125.00","$2,125.00",0.00
,1000.0000.2500.58100.900,,Dues and Fees,"$4,254.97",,$0.20,,"$3,479.89","$3,500.00","$1,529.00","($1,971.00)",(56.31)
Grand,Total:,,,"$859,568.00","$898,751.93",,"$1,017,846.04",,"$1,082,988.00","$1,074,251.00","($8,737.00)",(0.81)
,,,,,End,of Report,,,,,,
,,03/22/2023,,,,,,,,,Page 41,
,,,,,RSU,No.,5,,,,,
Article 7,School,Administration,- Proposed,,,,,,,,,
From Date:,3/22/2023,,To Date:,3/22/2023 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
1000.0000.2400.51040.010,,Admin,Salary,"$206,448.92","$221,072.09",,"$216,412.08",,"$232,372.00","$229,606.00","($2,766.00)",(1.19)
1000.0000.2400.51040.020,,Admin,Salary,"$103,443.90","$111,372.40",,"$108,562.31",,"$115,408.00","$193,651.00","$78,243.00",67.80
1000.0000.2400.51040.030,,Admin,Salary,"$103,383.90","$111,353.31",,"$108,629.62",,"$115,408.00","$117,628.00","$2,220.00",1.92
1000.0000.2400.51040.040,,Admin,Salaries,"$103,443.90","$110,948.89",,"$108,332.18",,"$115,408.00","$117,628.00","$2,220.00",1.92
1000.0000.2400.51040.050,,Admin,Salaries,"$187,602.00","$201,025.11",,"$196,822.52",,"$208,416.00","$208,800.00",$384.00,0.18
1000.0000.2400.51040.300,,Admin,Salaries,"$212,137.98","$229,411.83",,"$225,067.52",,"$238,347.00","$239,136.00",$789.00,0.33
1000.0000.2400.51180.010,,Support,Wages,"$70,847.07","$79,948.21",,"$83,712.52",,"$81,013.00","$82,032.00","$1,019.00",1.26
1000.0000.2400.51180.020,,Support,Wages,"$42,914.92","$56,965.58",,"$51,070.34",,"$57,783.00","$51,961.00","($5,822.00)",(10.08)
1000.0000.2400.51180.030,,Support,Wages,"$34,566.08","$37,425.53",,"$42,917.55",,"$37,149.00","$35,686.00","($1,463.00)",(3.94)
1000.0000.2400.51180.040,,Support,Wages,"$44,824.24","$49,988.67",,"$47,047.36",,"$46,634.00","$47,563.00",$929.00,1.99
1000.0000.2400.51180.050,,Support,Wages,"$63,820.50","$85,005.23",,"$76,805.11",,"$87,841.00","$73,487.00","($14,354.00)",(16.34)
1000.0000.2400.51180.300,,Support,Wages,"$98,815.16","$113,072.35",,"$115,475.39",,"$93,747.00","$105,399.00","$11,652.00",12.43
1000.0000.2400.52040.010,,Admin,Benefits,"$51,003.43","$46,526.14",,"$49,286.08",,"$59,256.00","$64,477.00","$5,221.00",8.81
1000.0000.2400.52040.020,,Admin,Benefits,"$8,420.61","$5,725.00",,,"$7,065.47","$12,266.00","$42,363.00","$30,097.00",245.37
1000.0000.2400.52040.030,,Admin,Benefits,"$14,045.69","$9,921.64",,"$11,289.80",,"$29,524.00","$28,251.00","($1,273.00)",(4.31)
1000.0000.2400.52040.040,,Admin,Benefits,"$24,953.59","$22,775.77",,"$24,797.81",,"$28,039.00","$32,414.00","$4,375.00",15.60
1000.0000.2400.52040.050,,Admin,Benefits,"$29,709.84","$33,758.93",,"$40,722.68",,"$51,997.00","$54,875.00","$2,878.00",5.53
1000.0000.2400.52040.300,,Admin,Benefits,"$48,868.89","$46,547.83",,"$48,897.96",,"$56,798.00","$65,073.00","$8,275.00",14.57
1000.0000.2400.52080.010,,Support,Benefits,"$16,166.35","$16,319.87",,"$22,953.12",,"$38,103.00","$37,655.00",($448.00),(1.18)
1000.0000.2400.52080.020,,Support,Benefits,"$9,504.11","$5,520.61",,"$12,081.62",,"$18,827.00","$17,564.00","($1,263.00)",(6.71)
