,,,,,RSU,No.,5,,,,,
Article,5,Student and,Staff Support-,Adopted,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.0000.2220.51020.030,,Ed Tech Salaries,"$31,013.51","$25,741.74",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2220.52010.030,,Librarian Benefits,"$2,938.83","$1,633.18",,,"$2,380.49","$2,508.00","$8,525.00","$6,017.00",239.91
,1000.0000.2220.52020.030,,Ed Tech Benefits,"$3,149.05","$2,283.61",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2220.52310.030,,Retirement,"$1,151.82",,($10.08),,"$1,279.70","$1,402.00","$1,597.00",$195.00,13.91
,1000.0000.2220.52320.030,,Retirement,"$1,153.77",,$22.69,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2220.54330.030,,Software,"$1,042.50","$1,042.50",,,"$1,060.35","$1,043.00","$1,129.00",$86.00,8.25
,1000.0000.2220.56000.030,,Supplies,$159.62,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2220.56100.030,,Instructional Supplies,$0.00,,$150.10,,$32.25,$338.74,$350.00,$11.26,3.32
,1000.0000.2220.56400.030,,Books & Periodicals,"$6,607.35","$4,218.09",,,"$3,749.06","$2,275.50","$2,663.00",$387.50,17.03
Program:,OVERHEAD,- 0000,,"$74,359.25","$59,744.36",,"$37,916.28",,"$41,292.24","$49,990.00","$8,697.76",21.06
Function:,LIBRARY,SERVICES,- 2220,"$74,359.25","$59,744.36",,"$37,916.28",,"$41,292.24","$49,990.00","$8,697.76",21.06
,1000.0000.2230.51010.030,,Teacher Salaries,"$36,648.56",($956.06),,,$60.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.52000.030,,Benefits,$0.00,"$3,220.83",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.52010.030,,Teacher Benefits,"$7,852.49",,$902.04,,$1.01,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.52310.030,,Retirement,"$1,560.88",,$141.62,,$2.30,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.54330.030,,Software,$0.00,,$0.00,,$96.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.56500.030,,Supplies,$342.80,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,"$46,404.73","$3,308.43",,,$159.31,$0.00,$0.00,$0.00,0.00
Function:,,INSTRUCTION,RELATED TECHNOLOGY -,"$46,404.73","$3,308.43",,,$159.31,$0.00,$0.00,$0.00,0.00
2230,,,,,,,,,,,,
Cost,Center:,POWNAL,ELEMENTARY - 030,"$248,472.10","$244,083.64",,"$160,554.49",,"$172,293.50","$185,737.00","$13,443.50",7.80
,Page 47,of 80,,,,,,,,,,
