,,,,,RSU,No. 5,,,,,,,
FY27,Article,9 Operations,&,Maintenance- Proposed,,,,,,,,,
From,Date:,7/1/2026,To,Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,Description,,,,,,,,,
,1000.0000.2600.51180.030,,,Custodial Salaries,"$65,224.21","$97,052.51",,"$82,112.69","$100,353.00","$100,729.00",,$376.00,0.37
,1000.0000.2600.52080.030,,,Custodian Benefits,"$11,523.07","$21,268.09",,"$15,219.76","$26,752.00","$36,655.00",,"$9,903.00",37.02
,1000.0000.2600.52380.030,,,Retirement,$0.00,,$0.00,$0.00,"$5,018.00","$5,439.00",,$421.00,8.39
,1000.0000.2600.53000.030,,,Purchased Professional,$0.00,,$0.00,$0.00,$118.00,$118.00,,$0.00,0.00
,1000.0000.2600.53300.030,,,Employee Training,$0.00,,$0.00,$0.00,$125.00,$125.00,,$0.00,0.00
,1000.0000.2600.54300.030,,,Purchased Repairs/Maint,"$34,487.40","$52,590.76",,"$62,694.89","$37,764.00","$40,389.00",,"$2,625.00",6.95
,1000.0000.2600.55200.030,,,Insurance,"$9,190.98","$20,520.21",,"$12,750.00","$14,025.00","$14,025.00",,$0.00,0.00
,1000.0000.2600.55320.030,,,Telephone,"$2,967.72",,"$4,082.39","$6,347.21","$3,057.00","$6,537.00",,"$3,480.00",113.84
,1000.0000.2600.55800.030,,,Travel,$0.00,,$37.52,$0.00,$15.00,$15.00,,$0.00,0.00
,1000.0000.2600.56000.030,,,Supplies,"$18,226.32","$12,283.95",,"$6,713.44","$12,925.00","$13,652.00",,$727.00,5.62
,1000.0000.2600.56011.030,,,Materials for Repair,"$3,264.73",,"$2,064.97",$429.09,"$6,700.00","$6,700.00",,$0.00,0.00
,1000.0000.2600.56013.030,,,Major Maintenance,$0.00,"$15,303.41",,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.0000.2600.56050.030,,,Furniture & Equipment -,"$2,321.35",,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
,,,,Non Instructional PES,,,,,,,,,
,1000.0000.2600.56220.030,,,Electricity,"$11,965.22","$12,057.25",,"$16,163.12","$8,000.00","$8,000.00",,$0.00,0.00
,1000.0000.2600.56240.030,,,Heating Fuel,"$26,368.55","$27,016.12",,"$19,448.98","$28,000.00","$21,000.00","($7,000.00)",,(25.00)
,Program:,OVERHEAD - 0000,,,"$185,539.55","$264,277.18",,"$221,879.18","$242,852.00","$253,384.00","$10,532.00",,4.34
,Function:,OPERATION OF PLANT,- 2600,,"$185,539.55","$264,277.18",,"$221,879.18","$242,852.00","$253,384.00","$10,532.00",,4.34
Cost,Center:,POWNAL ELEMENTARY,- 030,,"$185,539.55","$264,277.18",,"$221,879.18","$242,852.00","$253,384.00","$10,532.00",,4.34
,,,,,Page,80 of 89,,,,,,,
