,,,,,RSU,No.,5,,,,,,
Article 7,School,Administration,- Adopted,,,,,,,,,,
From Date:,3/22/2023,To,Date: 3/22/2023,Definition:,,FY24,Proposed,,,,,,
,,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted,Dollar,Difference,,Difference
,,,,,,,,,FY24,Adopted,,,
Account,,Description,,,,,,,,,,,
1000.0000.2400.55800.300,,Travel,,$693.05,,$0.00,,$0.00,"$1,250.00","$1,250.00",,$0.00,0.00
1000.0000.2400.56000.010,,Supplies,,$0.00,"$1,150.22",,,$800.52,"$1,030.00","$1,200.00",,$170.00,16.50
1000.0000.2400.56000.020,,Supplies,,$736.60,,$140.64,,$339.12,$500.00,$500.00,,$0.00,0.00
1000.0000.2400.56000.030,,Supplies,,$504.19,,$184.60,,$294.54,$300.00,$300.00,,$0.00,0.00
1000.0000.2400.56000.040,,Supplies,,$968.42,,$0.00,,$51.69,$500.00,$250.00,,($250.00),(50.00)
1000.0000.2400.56000.050,,Supplies,,$567.29,,$502.37,,$469.58,$500.00,$500.00,,$0.00,0.00
1000.0000.2400.56000.300,,Supplies,,"$1,307.38","$2,000.00",,,"$2,344.00","$2,000.00","$1,400.00",,($600.00),(30.00)
1000.0000.2400.56100.010,,Supplies,,$835.90,,$75.65,,$0.00,$0.00,$0.00,,$0.00,0.00
1000.0000.2400.56400.010,,Books,,$63.44,,$160.76,,$81.72,$150.00,$150.00,,$0.00,0.00
1000.0000.2400.56400.030,,Admin Books,,$0.00,,$0.00,,$0.00,$0.00,$300.00,,$300.00,0.00
1000.0000.2400.56400.040,,Admin Books,,$0.00,,$0.00,,$0.00,$0.00,$100.00,,$100.00,0.00
1000.0000.2400.56400.300,,Admin Books,,$0.00,,$0.00,,$0.00,$0.00,$780.00,,$780.00,0.00
1000.0000.2400.58100.010,,Dues & Fees,,$630.00,,$730.00,,$878.00,"$1,150.00","$1,150.00",,$0.00,0.00
1000.0000.2400.58100.020,,Dues & Fees,,$290.00,,$340.00,,$340.00,$575.00,$575.00,,$0.00,0.00
1000.0000.2400.58100.030,,Dues & Fees,,$290.00,,$429.00,,$234.00,$575.00,$400.00,,($175.00),(30.43)
1000.0000.2400.58100.040,,Dues & Fees,,$290.00,,$0.00,,$399.00,$450.00,$399.00,,($51.00),(11.33)
1000.0000.2400.58100.050,,Dues & Fees,,$565.00,,$0.00,,$736.00,$900.00,$900.00,,$0.00,0.00
1000.0000.2400.58100.300,,Dues and,Fees,"$5,751.00","$5,278.00",,,"$5,314.59","$6,823.00","$7,209.00",,$386.00,5.66
1000.0000.2400.58150.010,,Fingerprinting,Fees - DCS,$0.00,,$0.00,,$70.00,$0.00,$0.00,,$0.00,0.00
1000.0000.2400.58150.040,,Fingerprinting,Fees,$0.00,,$0.00,,$125.00,$0.00,$0.00,,$0.00,0.00
1000.0000.2400.58150.050,,Fingerprinting,Fees - FMS,$0.00,,$0.00,,$70.00,$0.00,$0.00,,$0.00,0.00
1000.0000.2400.58150.300,,Fingerprinting,Fees - FHS,$0.00,,$0.00,,$55.00,$0.00,$0.00,,$0.00,0.00
Function:,SCHOOL ADMINISTRATION,- 2400,,"$1,636,101.48","$1,670,327.86",,"$1,748,588.03",,"$1,942,616.00","$2,067,029.00",,"$124,413.00",6.40
,03/22/2023,,,,,,,,,,,Page 44,
