,,,,,,,RSU,No.,5,,,,,
Article,2,Special,Education-,,Adopted,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
Function:,REGULAR,,INSTRUCTION -,1000,,"$487,332.19","$493,252.51",,"$642,535.83",,"$685,116.00","$788,389.00","$103,273.00",15.07
,1000.2800.2110.51010.050,,Social,Worker,Salary,"$68,962.66","$73,331.28",,"$76,892.22",,"$80,852.00","$85,029.00","$4,177.00",5.17
,1000.2800.2110.52010.050,,Social,Worker,Benefits,"$15,633.43","$3,503.61",,"$15,691.80",,"$16,262.00","$21,412.00","$5,150.00",31.67
,1000.2800.2110.52310.050,,Retirement,,,"$2,868.84",,$695.46,,"$3,157.23","$3,363.00","$3,801.00",$438.00,13.02
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,"$87,464.93","$77,530.35",,"$95,741.25",,"$100,477.00","$110,242.00","$9,765.00",9.72
Function:,Attendance,& Social,Work -,2110,,"$87,464.93","$77,530.35",,"$95,741.25",,"$100,477.00","$110,242.00","$9,765.00",9.72
,1000.2800.2140.51010.050,,,Psychological,Services Salary,"$25,389.96","$32,555.53",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.52010.050,,Psych,Services,Benefit,"$5,029.35","$1,247.17",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.52310.050,,Retirement,,,"$1,056.17",,$294.30,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.55800.050,,Travel,,,$0.00,,$0.00,,$116.00,$125.00,$0.00,($125.00),(100.00)
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,"$31,475.48","$34,097.00",,,$116.00,$125.00,$0.00,($125.00),(100.00)
Function:,,PSYCHOLOGICAL,- 2140,,,"$31,475.48","$34,097.00",,,$116.00,$125.00,$0.00,($125.00),(100.00)
,1000.2800.2150.51010.050,,Speech,&,Audiology Salaries,"$42,364.58","$40,173.71",,"$40,280.03",,"$40,991.00","$43,149.00","$2,158.00",5.26
,1000.2800.2150.52010.050,,Speech,&,Audiology Benefits,"$10,554.71","$2,199.01",,,"$9,774.95","$10,047.00","$8,683.00","($1,364.00)",(13.58)
,1000.2800.2150.52310.050,,Retirement,,,"$1,762.38",,$373.38,,"$1,653.96","$1,705.00","$1,928.00",$223.00,13.08
,1000.2800.2150.55800.050,,Travel,,,$8.99,,$0.00,,$0.00,$125.00,$0.00,($125.00),(100.00)
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,"$54,690.66","$42,746.10",,"$51,708.94",,"$52,868.00","$53,760.00",$892.00,1.69
Function:,SPEECH,& AUDIOLOGY,-,2150,,"$54,690.66","$42,746.10",,"$51,708.94",,"$52,868.00","$53,760.00",$892.00,1.69
,Page 23,of 80,,,,,,,,,,,,
