,,,,,,,,RSU No.,5,,,,,,,,
,Article 5,Student and,Staff,Support-,Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,Adopted,,,
,Account,,,,Description,,,,,,,,,,,,
Cost,Center:,DURHAM,COMMUNITY,- 010,,"$242,603.61","$411,111.79",,"$397,425.20",,"$513,747.00",,"$508,351.00",,"($5,396.00)",,(1.05)
,1000.0000.2110.51010.020,,Social,Worker,Salaries,,$0.00,,$0.00,,$0.00,"$21,853.00",,"$22,550.00",,$697.00,3.19
,1000.0000.2110.52010.020,,Social,Worker,Benefits,,$0.00,,$0.00,,$0.00,"$5,367.00",,"$6,865.00","$1,498.00",,27.91
,1000.0000.2110.52310.020,,Social,Worker,Retirement,,$0.00,,$0.00,,$0.00,$976.00,,"$1,079.00",,$103.00,10.55
,Program:,OVERHEAD - 0000,,,,$0.00,,$0.00,,$0.00,"$28,196.00",,"$30,494.00",,"$2,298.00",,8.15
,Function: Attendance,& Social,Work -,2110,,$0.00,,$0.00,,$0.00,"$28,196.00",,"$30,494.00",,"$2,298.00",,8.15
,1000.0000.2120.51010.020,,,Guidance Salaries,,,"$87,743.97",,"$86,229.57","$91,711.65",,"$75,001.00",,"$75,001.00",,$0.00,0.00
,1000.0000.2120.52010.020,,Benefits,,,,"$4,814.02",,"$25,047.49","$21,749.14",,"$23,343.00",,"$31,297.00","$7,954.00",,34.07
,1000.0000.2120.52310.020,,,Retirement,,,$608.10,,"$3,311.12","$3,521.64",,"$3,353.00",,"$3,608.00",,$255.00,7.61
,1000.0000.2120.53000.020,,,Purchased,Professional,,$0.00,,$0.00,$300.00,,$400.00,,$400.00,,$0.00,0.00
,1000.0000.2120.54330.020,,Software,,,,$0.00,,$333.33,$333.33,,$334.00,,$334.00,,$0.00,0.00
,1000.0000.2120.56100.020,,Supplies,,,,$107.33,,$0.00,$133.85,,$350.00,,$350.00,,$0.00,0.00
,1000.0000.2120.56400.020,,Books,,,,$274.79,,$0.00,,$41.96,$350.00,,$350.00,,$0.00,0.00
,1000.0000.2120.57300.020,,,Equipment,,,$497.92,,$0.00,,$0.00,$750.00,,$0.00,($750.00),,(100.00)
,Program:,OVERHEAD - 0000,,,,"$94,046.13","$114,921.51",,"$117,791.57",,"$103,881.00",,"$111,340.00",,"$7,459.00",,7.18
,Function:,COUNSELING -,2120,,,"$94,046.13","$114,921.51",,"$117,791.57",,"$103,881.00",,"$111,340.00",,"$7,459.00",,7.18
,1000.0000.2130.51010.020,,Nurse,Salary,,,"$58,597.77",,"$71,298.62","$76,828.38",,"$82,170.00",,"$80,487.00","($1,683.00)",,(2.05)
,1000.0000.2130.51200.020,,Nurse,Substitute,- MSS,,$0.00,,$690.00,"$1,050.00",,,$0.00,$0.00,,$0.00,0.00
,03/27/2024,,,,,,,,,,,,,,,43 of 81,
